source_file_path,source_entity_type,source_entity_name,package_name,dependency_type,declared_version_range
functions/package.json,unknown,claude-code-plugins-functions,firebase-admin,dependencies,^13.0.0
functions/package.json,unknown,claude-code-plugins-functions,firebase-functions,dependencies,^6.0.0
marketplace/package.json,marketplace,marketplace,@playwright/test,devDependencies,^1.57.0
marketplace/package.json,marketplace,marketplace,@tailwindcss/vite,dependencies,^4.1.18
marketplace/package.json,marketplace,marketplace,archiver,devDependencies,^7.0.1
marketplace/package.json,marketplace,marketplace,astro,dependencies,^5.16.9
marketplace/package.json,marketplace,marketplace,fuse.js,dependencies,^7.1.0
marketplace/package.json,marketplace,marketplace,tailwindcss,dependencies,^4.1.18
package.json,root,claude-code-plugins-monorepo,@types/node,devDependencies,^20.19.27
package.json,root,claude-code-plugins-monorepo,archiver,devDependencies,^7.0.1
package.json,root,claude-code-plugins-monorepo,eslint,devDependencies,^9.39.2
package.json,root,claude-code-plugins-monorepo,js-yaml,devDependencies,^4.1.1
package.json,root,claude-code-plugins-monorepo,prettier,devDependencies,^3.7.4
package.json,root,claude-code-plugins-monorepo,typescript,devDependencies,^5.5.0
package.json,root,claude-code-plugins-monorepo,vitest,devDependencies,^2.0.0
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,@types/cors,devDependencies,^2.8.17
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,@types/express,devDependencies,^5.0.0
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,@types/node,devDependencies,^22.10.2
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,@types/ws,devDependencies,^8.5.13
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,chokidar,dependencies,^4.0.3
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,cors,dependencies,^2.8.5
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,express,dependencies,^4.21.2
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,typescript,devDependencies,^5.7.3
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,ws,dependencies,^8.18.0
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@tailwindcss/postcss,devDependencies,^4.1.18
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@tanstack/react-query,dependencies,^5.62.11
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@types/react,devDependencies,^18.3.17
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@types/react-dom,devDependencies,^18.3.5
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@types/react-window,devDependencies,^1.8.8
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@vitejs/plugin-react,devDependencies,^4.3.4
packages/analytics-dashboard/package.json,package,@analytics/dashboard,autoprefixer,devDependencies,^10.4.20
packages/analytics-dashboard/package.json,package,@analytics/dashboard,date-fns,dependencies,^4.1.0
packages/analytics-dashboard/package.json,package,@analytics/dashboard,immer,dependencies,^10.1.1
packages/analytics-dashboard/package.json,package,@analytics/dashboard,postcss,devDependencies,^8.4.49
packages/analytics-dashboard/package.json,package,@analytics/dashboard,react,dependencies,^18.3.1
packages/analytics-dashboard/package.json,package,@analytics/dashboard,react-dom,dependencies,^18.3.1
packages/analytics-dashboard/package.json,package,@analytics/dashboard,react-window,dependencies,^1.8.10
packages/analytics-dashboard/package.json,package,@analytics/dashboard,recharts,dependencies,^2.15.0
packages/analytics-dashboard/package.json,package,@analytics/dashboard,tailwindcss,devDependencies,^4.1.18
packages/analytics-dashboard/package.json,package,@analytics/dashboard,typescript,devDependencies,^5.5.0
packages/analytics-dashboard/package.json,package,@analytics/dashboard,vite,devDependencies,^6.0.11
packages/analytics-dashboard/package.json,package,@analytics/dashboard,zustand,dependencies,^5.0.2
packages/cli/package.json,package,@intentsolutionsio/ccpi,@eslint/js,devDependencies,^9.39.2
packages/cli/package.json,package,@intentsolutionsio/ccpi,@types/fs-extra,devDependencies,^11.0.4
packages/cli/package.json,package,@intentsolutionsio/ccpi,@types/node,devDependencies,^20.19.27
packages/cli/package.json,package,@intentsolutionsio/ccpi,axios,dependencies,^1.7.9
packages/cli/package.json,package,@intentsolutionsio/ccpi,chalk,dependencies,^5.3.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,commander,dependencies,^12.1.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,eslint,devDependencies,^9.39.2
packages/cli/package.json,package,@intentsolutionsio/ccpi,fs-extra,dependencies,^11.2.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,ora,dependencies,^8.1.1
packages/cli/package.json,package,@intentsolutionsio/ccpi,typescript,devDependencies,^5.5.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,typescript-eslint,devDependencies,^8.46.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,vitest,devDependencies,^2.0.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,yaml,dependencies,^2.7.0
plugins/devops/sugar/mcp-server/package.json,plugin,sugar-mcp-server,eslint,devDependencies,^9.39.1
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,@modelcontextprotocol/sdk,dependencies,^1.25.2
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,@types/express,devDependencies,^5.0.6
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,@types/node,devDependencies,^25.0.6
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,express,dependencies,^5.2.1
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,typescript,devDependencies,^5.3.2
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,zod,dependencies,^4.3.5
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,@modelcontextprotocol/sdk,dependencies,^1.25.2
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,@types/node,devDependencies,^25.0.6
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,@vitest/coverage-v8,devDependencies,^4.0.17
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,openapi-types,dependencies,^12.1.3
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,typescript,devDependencies,^5.6.0
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,vitest,devDependencies,^4.0.17
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,yaml,dependencies,^2.8.2
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,zod,dependencies,^4.3.5
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,zod-to-json-schema,dependencies,^3.25.1
plugins/mcp/design-to-code/package.json,mcp-plugin,@claude-code-plugins-plus/design-to-code,@modelcontextprotocol/sdk,dependencies,^1.25.2
plugins/mcp/design-to-code/package.json,mcp-plugin,@claude-code-plugins-plus/design-to-code,@types/node,devDependencies,^25.0.6
plugins/mcp/design-to-code/package.json,mcp-plugin,@claude-code-plugins-plus/design-to-code,typescript,devDependencies,^5.6.0
plugins/mcp/design-to-code/package.json,mcp-plugin,@claude-code-plugins-plus/design-to-code,vitest,devDependencies,^4.0.17
plugins/mcp/design-to-code/package.json,mcp-plugin,@claude-code-plugins-plus/design-to-code,zod,dependencies,^4.3.5
plugins/mcp/design-to-code/package.json,mcp-plugin,@claude-code-plugins-plus/design-to-code,zod-to-json-schema,dependencies,^3.25.1
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,@modelcontextprotocol/sdk,dependencies,^1.25.2
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,@types/node,devDependencies,^25.0.6
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,@vitest/coverage-v8,devDependencies,^4.0.17
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,typescript,devDependencies,^5.6.0
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,vitest,devDependencies,^4.0.17
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,zod,dependencies,^4.3.5
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,zod-to-json-schema,dependencies,^3.25.1
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@biomejs/biome,devDependencies,^1.9.4
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@modelcontextprotocol/sdk,dependencies,^1.27.1
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@octokit/rest,dependencies,^21.1.1
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@types/node,devDependencies,^22.13.10
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@vercel/ncc,devDependencies,^0.38.4
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,commander,dependencies,^13.1.0
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,typescript,devDependencies,^5.7.3
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,vitest,devDependencies,^3.0.8
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,yaml,dependencies,^2.7.0
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,zod,dependencies,^3.24.2
plugins/mcp/pr-to-spec/site/package.json,mcp-plugin,pr-to-spec-site,@tailwindcss/vite,dependencies,^4.1.18
plugins/mcp/pr-to-spec/site/package.json,mcp-plugin,pr-to-spec-site,astro,dependencies,^5.16.9
plugins/mcp/pr-to-spec/site/package.json,mcp-plugin,pr-to-spec-site,tailwindcss,dependencies,^4.1.18
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,@eslint/js,devDependencies,^9.39.2
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,@modelcontextprotocol/sdk,dependencies,^1.25.2
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,@types/node,devDependencies,^25.0.6
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,eslint,devDependencies,^9.39.2
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,glob,dependencies,^13.0.0
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,simple-git,dependencies,^3.30.0
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,tsx,devDependencies,^4.21.0
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,typescript,devDependencies,^5.5.0
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,typescript-eslint,devDependencies,^8.53.0
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,vitest,devDependencies,^4.0.17
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,zod,dependencies,^4.3.5
plugins/mcp/slack-channel/package.json,mcp-plugin,claude-channel-slack,@modelcontextprotocol/sdk,dependencies,^1.0.0
plugins/mcp/slack-channel/package.json,mcp-plugin,claude-channel-slack,@slack/socket-mode,dependencies,^2.0.0
plugins/mcp/slack-channel/package.json,mcp-plugin,claude-channel-slack,@slack/web-api,dependencies,^7.0.0
plugins/mcp/slack-channel/package.json,mcp-plugin,claude-channel-slack,@types/bun,devDependencies,^1.0.0
plugins/mcp/slack-channel/package.json,mcp-plugin,claude-channel-slack,typescript,devDependencies,^5.4.0
plugins/mcp/workflow-orchestrator/package.json,mcp-plugin,@claude-code-plugins-plus/workflow-orchestrator,@modelcontextprotocol/sdk,dependencies,^1.25.2
plugins/mcp/workflow-orchestrator/package.json,mcp-plugin,@claude-code-plugins-plus/workflow-orchestrator,@types/node,devDependencies,^25.0.6
plugins/mcp/workflow-orchestrator/package.json,mcp-plugin,@claude-code-plugins-plus/workflow-orchestrator,typescript,devDependencies,^5.6.0
plugins/mcp/workflow-orchestrator/package.json,mcp-plugin,@claude-code-plugins-plus/workflow-orchestrator,vitest,devDependencies,^4.0.17
plugins/mcp/workflow-orchestrator/package.json,mcp-plugin,@claude-code-plugins-plus/workflow-orchestrator,zod,dependencies,^4.3.5
plugins/mcp/workflow-orchestrator/package.json,mcp-plugin,@claude-code-plugins-plus/workflow-orchestrator,zod-to-json-schema,dependencies,^3.25.1
plugins/skill-enhancers/axiom/package.json,plugin,axiom,vitepress,devDependencies,^1.0.0
plugins/skill-enhancers/web-to-github-issue/package.json,plugin,web-to-github-issue,@octokit/rest,dependencies,^20.0.2
plugins/skill-enhancers/web-to-github-issue/package.json,plugin,web-to-github-issue,@vitest/coverage-v8,devDependencies,^3.2.4
plugins/skill-enhancers/web-to-github-issue/package.json,plugin,web-to-github-issue,@vitest/ui,devDependencies,^3.2.4
plugins/skill-enhancers/web-to-github-issue/package.json,plugin,web-to-github-issue,vitest,devDependencies,^3.2.4
tests/e2e/package.json,unknown,@claude-code-plugins/e2e-tests,@types/node,devDependencies,^20.19.27
tests/e2e/package.json,unknown,@claude-code-plugins/e2e-tests,@vitest/ui,devDependencies,^2.0.0
tests/e2e/package.json,unknown,@claude-code-plugins/e2e-tests,typescript,devDependencies,^5.5.0
tests/e2e/package.json,unknown,@claude-code-plugins/e2e-tests,vitest,devDependencies,^2.0.0
