Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
cohere-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Cohere SDK/CLI authentication,"cohere install auth, install and configure cohere sdk/cli authentication",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere install auth in under 15 minutes,true,onboarding,plugins/saas-packs/cohere-pack/skills/cohere-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cohere-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Cohere example,"cohere hello world, create a minimal working cohere example",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere hello world in under 15 minutes,true,onboarding,plugins/saas-packs/cohere-pack/skills/cohere-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cohere-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Cohere local development workflow,"cohere local dev loop, configure cohere local development workflow",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/cohere-pack/skills/cohere-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cohere-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Cohere SDK patterns,"cohere sdk patterns, apply production-ready cohere sdk patterns",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/cohere-pack/skills/cohere-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cohere-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Cohere primary workflow,"cohere primary workflow, execute cohere primary workflow",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/cohere-pack/skills/cohere-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cohere-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Cohere core feature integration,"cohere core feature, implement cohere core feature integration",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere core feature in under 15 minutes,true,onboarding,plugins/saas-packs/cohere-pack/skills/cohere-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cohere-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Cohere common errors,"cohere common errors, diagnose and fix cohere common errors",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere common errors in under 15 minutes,true,operations,plugins/saas-packs/cohere-pack/skills/cohere-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cohere-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Cohere debug evidence for support,"cohere debug bundle, collect cohere debug evidence for support",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere debug bundle in under 15 minutes,true,operations,plugins/saas-packs/cohere-pack/skills/cohere-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cohere-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Cohere rate limiting and backoff,"cohere rate limits, implement cohere rate limiting and backoff",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere rate limits in under 15 minutes,true,operations,plugins/saas-packs/cohere-pack/skills/cohere-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cohere-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Cohere security best practices,"cohere security basics, apply cohere security best practices",Claude Code skill; Cohere SDK; local/cloud development,Working Cohere integration; Tests passing; Documentation updated,Faster Cohere integration; Reduced errors; Team productivity,Complete Cohere security basics in under 15 minutes,true,operations,plugins/saas-packs/cohere-pack/skills/cohere-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
