Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
guidewire-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Guidewire SDK/CLI authentication,"guidewire install auth, install and configure guidewire sdk/cli authentication",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire install auth in under 15 minutes,true,onboarding,plugins/saas-packs/guidewire-pack/skills/guidewire-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
guidewire-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Guidewire example,"guidewire hello world, create a minimal working guidewire example",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire hello world in under 15 minutes,true,onboarding,plugins/saas-packs/guidewire-pack/skills/guidewire-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
guidewire-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Guidewire local development workflow,"guidewire local dev loop, configure guidewire local development workflow",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/guidewire-pack/skills/guidewire-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
guidewire-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Guidewire SDK patterns,"guidewire sdk patterns, apply production-ready guidewire sdk patterns",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/guidewire-pack/skills/guidewire-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
guidewire-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Guidewire primary workflow,"guidewire primary workflow, execute guidewire primary workflow",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/guidewire-pack/skills/guidewire-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
guidewire-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Guidewire core feature integration,"guidewire core feature, implement guidewire core feature integration",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire core feature in under 15 minutes,true,onboarding,plugins/saas-packs/guidewire-pack/skills/guidewire-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
guidewire-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Guidewire common errors,"guidewire common errors, diagnose and fix guidewire common errors",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire common errors in under 15 minutes,true,operations,plugins/saas-packs/guidewire-pack/skills/guidewire-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
guidewire-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Guidewire debug evidence for support,"guidewire debug bundle, collect guidewire debug evidence for support",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire debug bundle in under 15 minutes,true,operations,plugins/saas-packs/guidewire-pack/skills/guidewire-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
guidewire-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Guidewire rate limiting and backoff,"guidewire rate limits, implement guidewire rate limiting and backoff",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire rate limits in under 15 minutes,true,operations,plugins/saas-packs/guidewire-pack/skills/guidewire-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
guidewire-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Guidewire security best practices,"guidewire security basics, apply guidewire security best practices",Claude Code skill; Guidewire SDK; local/cloud development,Working Guidewire integration; Tests passing; Documentation updated,Faster Guidewire integration; Reduced errors; Team productivity,Complete Guidewire security basics in under 15 minutes,true,operations,plugins/saas-packs/guidewire-pack/skills/guidewire-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
