Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
notion-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Notion SDK/CLI authentication,"notion install auth, install and configure notion sdk/cli authentication",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion install auth in under 15 minutes,true,onboarding,plugins/saas-packs/notion-pack/skills/notion-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
notion-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Notion example,"notion hello world, create a minimal working notion example",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion hello world in under 15 minutes,true,onboarding,plugins/saas-packs/notion-pack/skills/notion-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
notion-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Notion local development workflow,"notion local dev loop, configure notion local development workflow",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/notion-pack/skills/notion-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
notion-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Notion SDK patterns,"notion sdk patterns, apply production-ready notion sdk patterns",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/notion-pack/skills/notion-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
notion-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Notion primary workflow,"notion primary workflow, execute notion primary workflow",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/notion-pack/skills/notion-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
notion-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Notion core feature integration,"notion core feature, implement notion core feature integration",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion core feature in under 15 minutes,true,onboarding,plugins/saas-packs/notion-pack/skills/notion-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
notion-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Notion common errors,"notion common errors, diagnose and fix notion common errors",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion common errors in under 15 minutes,true,operations,plugins/saas-packs/notion-pack/skills/notion-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
notion-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Notion debug evidence for support,"notion debug bundle, collect notion debug evidence for support",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion debug bundle in under 15 minutes,true,operations,plugins/saas-packs/notion-pack/skills/notion-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
notion-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Notion rate limiting and backoff,"notion rate limits, implement notion rate limiting and backoff",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion rate limits in under 15 minutes,true,operations,plugins/saas-packs/notion-pack/skills/notion-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
notion-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Notion security best practices,"notion security basics, apply notion security best practices",Claude Code skill; Notion SDK; local/cloud development,Working Notion integration; Tests passing; Documentation updated,Faster Notion integration; Reduced errors; Team productivity,Complete Notion security basics in under 15 minutes,true,operations,plugins/saas-packs/notion-pack/skills/notion-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
