Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
fondo-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Fondo SDK/CLI authentication,"fondo install auth, install and configure fondo sdk/cli authentication",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo install auth in under 15 minutes,true,onboarding,plugins/saas-packs/fondo-pack/skills/fondo-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fondo-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Fondo example,"fondo hello world, create a minimal working fondo example",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo hello world in under 15 minutes,true,onboarding,plugins/saas-packs/fondo-pack/skills/fondo-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fondo-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Fondo local development workflow,"fondo local dev loop, configure fondo local development workflow",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/fondo-pack/skills/fondo-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fondo-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Fondo SDK patterns,"fondo sdk patterns, apply production-ready fondo sdk patterns",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/fondo-pack/skills/fondo-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fondo-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Fondo primary workflow,"fondo primary workflow, execute fondo primary workflow",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/fondo-pack/skills/fondo-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fondo-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Fondo core feature integration,"fondo core feature, implement fondo core feature integration",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo core feature in under 15 minutes,true,onboarding,plugins/saas-packs/fondo-pack/skills/fondo-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fondo-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Fondo common errors,"fondo common errors, diagnose and fix fondo common errors",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo common errors in under 15 minutes,true,operations,plugins/saas-packs/fondo-pack/skills/fondo-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fondo-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Fondo debug evidence for support,"fondo debug bundle, collect fondo debug evidence for support",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo debug bundle in under 15 minutes,true,operations,plugins/saas-packs/fondo-pack/skills/fondo-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fondo-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Fondo rate limiting and backoff,"fondo rate limits, implement fondo rate limiting and backoff",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo rate limits in under 15 minutes,true,operations,plugins/saas-packs/fondo-pack/skills/fondo-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fondo-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Fondo security best practices,"fondo security basics, apply fondo security best practices",Claude Code skill; Fondo SDK; local/cloud development,Working Fondo integration; Tests passing; Documentation updated,Faster Fondo integration; Reduced errors; Team productivity,Complete Fondo security basics in under 15 minutes,true,operations,plugins/saas-packs/fondo-pack/skills/fondo-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
