Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
mindtickle-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Mindtickle SDK/CLI authentication,"mindtickle install auth, install and configure mindtickle sdk/cli authentication",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle install auth in under 15 minutes,true,onboarding,plugins/saas-packs/mindtickle-pack/skills/mindtickle-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mindtickle-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Mindtickle example,"mindtickle hello world, create a minimal working mindtickle example",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle hello world in under 15 minutes,true,onboarding,plugins/saas-packs/mindtickle-pack/skills/mindtickle-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mindtickle-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Mindtickle local development workflow,"mindtickle local dev loop, configure mindtickle local development workflow",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/mindtickle-pack/skills/mindtickle-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mindtickle-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Mindtickle SDK patterns,"mindtickle sdk patterns, apply production-ready mindtickle sdk patterns",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/mindtickle-pack/skills/mindtickle-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mindtickle-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Mindtickle primary workflow,"mindtickle primary workflow, execute mindtickle primary workflow",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/mindtickle-pack/skills/mindtickle-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mindtickle-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Mindtickle core feature integration,"mindtickle core feature, implement mindtickle core feature integration",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle core feature in under 15 minutes,true,onboarding,plugins/saas-packs/mindtickle-pack/skills/mindtickle-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mindtickle-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Mindtickle common errors,"mindtickle common errors, diagnose and fix mindtickle common errors",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle common errors in under 15 minutes,true,operations,plugins/saas-packs/mindtickle-pack/skills/mindtickle-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mindtickle-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Mindtickle debug evidence for support,"mindtickle debug bundle, collect mindtickle debug evidence for support",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle debug bundle in under 15 minutes,true,operations,plugins/saas-packs/mindtickle-pack/skills/mindtickle-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mindtickle-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Mindtickle rate limiting and backoff,"mindtickle rate limits, implement mindtickle rate limiting and backoff",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle rate limits in under 15 minutes,true,operations,plugins/saas-packs/mindtickle-pack/skills/mindtickle-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mindtickle-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Mindtickle security best practices,"mindtickle security basics, apply mindtickle security best practices",Claude Code skill; Mindtickle SDK; local/cloud development,Working Mindtickle integration; Tests passing; Documentation updated,Faster Mindtickle integration; Reduced errors; Team productivity,Complete Mindtickle security basics in under 15 minutes,true,operations,plugins/saas-packs/mindtickle-pack/skills/mindtickle-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
