id,filename,name,triggers,jobs_json,scripts_called,env_vars
1,automerge.yml,automerge,"[""pull_request""]","{""automerge"": {""steps"": 1, ""scripts_called"": []}}",[],[]
2,cli-publish.yml,Publish CLI to npm,"[""push""]","{""quality-gate"": {""steps"": 8, ""scripts_called"": []}, ""publish"": {""steps"": 9, ""scripts_called"": []}, ""verify-publish"": {""steps"": 3, ""scripts_called"": []}}",[],[]
3,cli-test.yml,CLI Cross-Platform Testing,"[""push"", ""pull_request""]","{""test-cli"": {""steps"": 15, ""scripts_called"": []}, ""test-deno"": {""steps"": 6, ""scripts_called"": []}, ""test-summary"": {""steps"": 2, ""scripts_called"": []}}",[],[]
4,codeql.yml,CodeQL Security Analysis,"[""push"", ""pull_request""]","{""analyze"": {""steps"": 4, ""scripts_called"": []}}",[],[]
5,daily-skill-generator.yml,Daily Skill Generator,"[""workflow_dispatch""]","{""add-skill"": {""steps"": 4, ""scripts_called"": []}}",[],[]
6,deploy-firebase.yml,Deploy to Firebase Hosting,"[""push"", ""workflow_dispatch""]","{""build-and-deploy"": {""steps"": 13, ""scripts_called"": []}}",[],[]
7,deploy-marketplace.yml,Deploy Marketplace to GitHub Pages,"[""push"", ""workflow_dispatch""]","{""build"": {""steps"": 11, ""scripts_called"": [""scripts/validate-routes.mjs"", ""scripts/validate-internal-links.mjs"", ""scripts/validate-playbook-routes.mjs"", ""scripts/validate-links.mjs""]}, ""deploy"": {""steps"": 1, ""scripts_called"": []}}","[""scripts/validate-internal-links.mjs"", ""scripts/validate-links.mjs"", ""scripts/validate-playbook-routes.mjs"", ""scripts/validate-routes.mjs""]",[]
8,gemini-code-review.yml,Gemini PR Review,"[""pull_request""]","{""review"": {""steps"": 2, ""scripts_called"": []}}",[],[]
9,maintainer-ready-automerge.yml,maintainer-ready-automerge,"[""pull_request""]","{""enable-auto-merge"": {""steps"": 1, ""scripts_called"": []}}",[],[]
10,publish-mcp-registry.yml,Publish MCP Servers to Registry,"[""push"", ""workflow_dispatch""]","{""publish"": {""steps"": 7, ""scripts_called"": []}}",[],[]
11,release.yml,Release Pipeline,"[""workflow_dispatch""]","{""release"": {""steps"": 15, ""scripts_called"": [""scripts/validate-all.sh"", ""scripts/test-installation.sh""]}}","[""scripts/test-installation.sh"", ""scripts/validate-all.sh""]",[]
12,security-audit.yml,security-audit,"[""workflow_dispatch""]","{""audit"": {""steps"": 5, ""scripts_called"": []}}",[],[]
13,sync-external.yml,Sync External Plugins,"[""workflow_dispatch""]","{""sync"": {""steps"": 9, ""scripts_called"": [""scripts/sync-external.mjs"", ""scripts/sync-marketplace.cjs""]}}","[""scripts/sync-external.mjs"", ""scripts/sync-marketplace.cjs""]",[]
14,update-metrics.yml,Update Metrics,"[""schedule"", ""workflow_dispatch""]","{""update-metrics"": {""steps"": 4, ""scripts_called"": [""scripts/update-metrics.mjs""]}}","[""scripts/update-metrics.mjs""]",[]
15,validate-plugins.yml,Validate Plugins,"[""workflow_dispatch"", ""pull_request"", ""push""]","{""validate"": {""steps"": 9, ""scripts_called"": [""scripts/sync-marketplace.cjs""]}, ""verify"": {""steps"": 6, ""scripts_called"": [""scripts/run-verification-pipeline.mjs""]}, ""test"": {""steps"": 16, ""scripts_called"": [""scripts/validate-all-plugins.sh""]}, ""check-package-manager"": {""steps"": 3, ""scripts_called"": [""scripts/check-package-manager.mjs""]}, ""marketplace-validation"": {""steps"": 12, ""scripts_called"": [""scripts/validate-internal-links.mjs"", ""scripts/validate-playbook-routes.mjs"", ""scripts/check-official-links.mjs"", ""scripts/check-performance.mjs"", ""scripts/validate-cowork-downloads.mjs"", ""scripts/check-routes.mjs"", ""scripts/validate-cowork-security.mjs""]}, ""playwright-tests"": {""steps"": 10, ""scripts_called"": []}, ""production-e2e"": {""steps"": 7, ""scripts_called"": []}, ""cli-smoke-tests"": {""steps"": 13, ""scripts_called"": []}}","[""scripts/check-official-links.mjs"", ""scripts/check-package-manager.mjs"", ""scripts/check-performance.mjs"", ""scripts/check-routes.mjs"", ""scripts/run-verification-pipeline.mjs"", ""scripts/sync-marketplace.cjs"", ""scripts/validate-all-plugins.sh"", ""scripts/validate-cowork-downloads.mjs"", ""scripts/validate-cowork-security.mjs"", ""scripts/validate-internal-links.mjs"", ""scripts/validate-playbook-routes.mjs""]",[]
