Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
techsmith-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure TechSmith SDK/CLI authentication,"techsmith install auth, install and configure techsmith sdk/cli authentication",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith install auth in under 15 minutes,true,onboarding,plugins/saas-packs/techsmith-pack/skills/techsmith-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working TechSmith example,"techsmith hello world, create a minimal working techsmith example",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith hello world in under 15 minutes,true,onboarding,plugins/saas-packs/techsmith-pack/skills/techsmith-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure TechSmith local development workflow,"techsmith local dev loop, configure techsmith local development workflow",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/techsmith-pack/skills/techsmith-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready TechSmith SDK patterns,"techsmith sdk patterns, apply production-ready techsmith sdk patterns",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/techsmith-pack/skills/techsmith-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute TechSmith primary workflow,"techsmith primary workflow, execute techsmith primary workflow",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/techsmith-pack/skills/techsmith-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement TechSmith core feature integration,"techsmith core feature, implement techsmith core feature integration",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith core feature in under 15 minutes,true,onboarding,plugins/saas-packs/techsmith-pack/skills/techsmith-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix TechSmith common errors,"techsmith common errors, diagnose and fix techsmith common errors",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith common errors in under 15 minutes,true,operations,plugins/saas-packs/techsmith-pack/skills/techsmith-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect TechSmith debug evidence for support,"techsmith debug bundle, collect techsmith debug evidence for support",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith debug bundle in under 15 minutes,true,operations,plugins/saas-packs/techsmith-pack/skills/techsmith-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement TechSmith rate limiting and backoff,"techsmith rate limits, implement techsmith rate limiting and backoff",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith rate limits in under 15 minutes,true,operations,plugins/saas-packs/techsmith-pack/skills/techsmith-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply TechSmith security best practices,"techsmith security basics, apply techsmith security best practices",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith security basics in under 15 minutes,true,operations,plugins/saas-packs/techsmith-pack/skills/techsmith-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
techsmith-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute TechSmith production deployment checklist,"techsmith prod checklist, execute techsmith production deployment checklist",Claude Code skill; TechSmith SDK; local/cloud development,Working TechSmith integration; Tests passing; Documentation updated,Faster TechSmith integration; Reduced errors; Team productivity,Complete TechSmith prod checklist in under 15 minutes,true,operations,plugins/saas-packs/techsmith-pack/skills/techsmith-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
