Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
algolia-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Algolia SDK/CLI authentication,"algolia install auth, install and configure algolia sdk/cli authentication",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia install auth in under 15 minutes,true,onboarding,plugins/saas-packs/algolia-pack/skills/algolia-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
algolia-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Algolia example,"algolia hello world, create a minimal working algolia example",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia hello world in under 15 minutes,true,onboarding,plugins/saas-packs/algolia-pack/skills/algolia-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
algolia-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Algolia local development workflow,"algolia local dev loop, configure algolia local development workflow",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/algolia-pack/skills/algolia-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
algolia-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Algolia SDK patterns,"algolia sdk patterns, apply production-ready algolia sdk patterns",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/algolia-pack/skills/algolia-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
algolia-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Algolia primary workflow,"algolia primary workflow, execute algolia primary workflow",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/algolia-pack/skills/algolia-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
algolia-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Algolia core feature integration,"algolia core feature, implement algolia core feature integration",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia core feature in under 15 minutes,true,onboarding,plugins/saas-packs/algolia-pack/skills/algolia-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
algolia-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Algolia common errors,"algolia common errors, diagnose and fix algolia common errors",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia common errors in under 15 minutes,true,operations,plugins/saas-packs/algolia-pack/skills/algolia-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
algolia-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Algolia debug evidence for support,"algolia debug bundle, collect algolia debug evidence for support",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia debug bundle in under 15 minutes,true,operations,plugins/saas-packs/algolia-pack/skills/algolia-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
algolia-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Algolia rate limiting and backoff,"algolia rate limits, implement algolia rate limiting and backoff",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia rate limits in under 15 minutes,true,operations,plugins/saas-packs/algolia-pack/skills/algolia-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
algolia-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Algolia security best practices,"algolia security basics, apply algolia security best practices",Claude Code skill; Algolia SDK; local/cloud development,Working Algolia integration; Tests passing; Documentation updated,Faster Algolia integration; Reduced errors; Team productivity,Complete Algolia security basics in under 15 minutes,true,operations,plugins/saas-packs/algolia-pack/skills/algolia-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
