Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
castai-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Cast AI SDK/CLI authentication,"castai install auth, install and configure cast ai sdk/cli authentication",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI install auth in under 15 minutes,true,onboarding,plugins/saas-packs/castai-pack/skills/castai-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
castai-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Cast AI example,"castai hello world, create a minimal working cast ai example",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI hello world in under 15 minutes,true,onboarding,plugins/saas-packs/castai-pack/skills/castai-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
castai-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Cast AI local development workflow,"castai local dev loop, configure cast ai local development workflow",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/castai-pack/skills/castai-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
castai-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Cast AI SDK patterns,"castai sdk patterns, apply production-ready cast ai sdk patterns",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/castai-pack/skills/castai-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
castai-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Cast AI primary workflow,"castai primary workflow, execute cast ai primary workflow",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/castai-pack/skills/castai-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
castai-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Cast AI core feature integration,"castai core feature, implement cast ai core feature integration",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI core feature in under 15 minutes,true,onboarding,plugins/saas-packs/castai-pack/skills/castai-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
castai-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Cast AI common errors,"castai common errors, diagnose and fix cast ai common errors",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI common errors in under 15 minutes,true,operations,plugins/saas-packs/castai-pack/skills/castai-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
castai-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Cast AI debug evidence for support,"castai debug bundle, collect cast ai debug evidence for support",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI debug bundle in under 15 minutes,true,operations,plugins/saas-packs/castai-pack/skills/castai-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
castai-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Cast AI rate limiting and backoff,"castai rate limits, implement cast ai rate limiting and backoff",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI rate limits in under 15 minutes,true,operations,plugins/saas-packs/castai-pack/skills/castai-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
castai-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Cast AI security best practices,"castai security basics, apply cast ai security best practices",Claude Code skill; Cast AI SDK; local/cloud development,Working Cast AI integration; Tests passing; Documentation updated,Faster Cast AI integration; Reduced errors; Team productivity,Complete Cast AI security basics in under 15 minutes,true,operations,plugins/saas-packs/castai-pack/skills/castai-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
