Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
alchemy-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Alchemy SDK/CLI authentication,"alchemy install auth, install and configure alchemy sdk/cli authentication",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy install auth in under 15 minutes,true,onboarding,plugins/saas-packs/alchemy-pack/skills/alchemy-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Alchemy example,"alchemy hello world, create a minimal working alchemy example",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy hello world in under 15 minutes,true,onboarding,plugins/saas-packs/alchemy-pack/skills/alchemy-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Alchemy local development workflow,"alchemy local dev loop, configure alchemy local development workflow",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/alchemy-pack/skills/alchemy-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Alchemy SDK patterns,"alchemy sdk patterns, apply production-ready alchemy sdk patterns",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/alchemy-pack/skills/alchemy-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Alchemy primary workflow,"alchemy primary workflow, execute alchemy primary workflow",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/alchemy-pack/skills/alchemy-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Alchemy core feature integration,"alchemy core feature, implement alchemy core feature integration",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy core feature in under 15 minutes,true,onboarding,plugins/saas-packs/alchemy-pack/skills/alchemy-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Alchemy common errors,"alchemy common errors, diagnose and fix alchemy common errors",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy common errors in under 15 minutes,true,operations,plugins/saas-packs/alchemy-pack/skills/alchemy-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Alchemy debug evidence for support,"alchemy debug bundle, collect alchemy debug evidence for support",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy debug bundle in under 15 minutes,true,operations,plugins/saas-packs/alchemy-pack/skills/alchemy-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Alchemy rate limiting and backoff,"alchemy rate limits, implement alchemy rate limiting and backoff",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy rate limits in under 15 minutes,true,operations,plugins/saas-packs/alchemy-pack/skills/alchemy-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Alchemy security best practices,"alchemy security basics, apply alchemy security best practices",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy security basics in under 15 minutes,true,operations,plugins/saas-packs/alchemy-pack/skills/alchemy-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Alchemy production deployment checklist,"alchemy prod checklist, execute alchemy production deployment checklist",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy prod checklist in under 15 minutes,true,operations,plugins/saas-packs/alchemy-pack/skills/alchemy-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Alchemy SDK upgrades,"alchemy upgrade migration, plan and execute alchemy sdk upgrades",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/alchemy-pack/skills/alchemy-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Alchemy CI/CD integration,"alchemy ci integration, configure alchemy ci/cd integration",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy ci integration in under 15 minutes,true,cicd,plugins/saas-packs/alchemy-pack/skills/alchemy-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Alchemy integrations to production,"alchemy deploy pipeline, deploy alchemy integrations to production",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/alchemy-pack/skills/alchemy-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Alchemy webhook handling,"alchemy webhooks events, implement alchemy webhook handling",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/alchemy-pack/skills/alchemy-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Alchemy API performance,"alchemy performance tuning, optimize alchemy api performance",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/alchemy-pack/skills/alchemy-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Alchemy costs and usage,"alchemy cost tuning, optimize alchemy costs and usage",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/alchemy-pack/skills/alchemy-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
alchemy-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Alchemy reference architecture,"alchemy reference architecture, implement alchemy reference architecture",Claude Code skill; Alchemy SDK; local/cloud development,Working Alchemy integration; Tests passing; Documentation updated,Faster Alchemy integration; Reduced errors; Team productivity,Complete Alchemy reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/alchemy-pack/skills/alchemy-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
