Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
openevidence-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure OpenEvidence SDK/CLI authentication,"openevidence install auth, install and configure openevidence sdk/cli authentication",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence install auth in under 15 minutes,true,onboarding,plugins/saas-packs/openevidence-pack/skills/openevidence-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openevidence-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working OpenEvidence example,"openevidence hello world, create a minimal working openevidence example",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence hello world in under 15 minutes,true,onboarding,plugins/saas-packs/openevidence-pack/skills/openevidence-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openevidence-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure OpenEvidence local development workflow,"openevidence local dev loop, configure openevidence local development workflow",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/openevidence-pack/skills/openevidence-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openevidence-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready OpenEvidence SDK patterns,"openevidence sdk patterns, apply production-ready openevidence sdk patterns",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/openevidence-pack/skills/openevidence-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openevidence-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute OpenEvidence primary workflow,"openevidence primary workflow, execute openevidence primary workflow",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/openevidence-pack/skills/openevidence-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openevidence-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement OpenEvidence core feature integration,"openevidence core feature, implement openevidence core feature integration",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence core feature in under 15 minutes,true,onboarding,plugins/saas-packs/openevidence-pack/skills/openevidence-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openevidence-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix OpenEvidence common errors,"openevidence common errors, diagnose and fix openevidence common errors",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence common errors in under 15 minutes,true,operations,plugins/saas-packs/openevidence-pack/skills/openevidence-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openevidence-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect OpenEvidence debug evidence for support,"openevidence debug bundle, collect openevidence debug evidence for support",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence debug bundle in under 15 minutes,true,operations,plugins/saas-packs/openevidence-pack/skills/openevidence-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openevidence-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement OpenEvidence rate limiting and backoff,"openevidence rate limits, implement openevidence rate limiting and backoff",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence rate limits in under 15 minutes,true,operations,plugins/saas-packs/openevidence-pack/skills/openevidence-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openevidence-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply OpenEvidence security best practices,"openevidence security basics, apply openevidence security best practices",Claude Code skill; OpenEvidence SDK; local/cloud development,Working OpenEvidence integration; Tests passing; Documentation updated,Faster OpenEvidence integration; Reduced errors; Team productivity,Complete OpenEvidence security basics in under 15 minutes,true,operations,plugins/saas-packs/openevidence-pack/skills/openevidence-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
