id,path,language,purpose,script_type,arguments,inputs,outputs,dependencies
1,scripts/BADGE-AUTOMATION.md,unknown,Badge Automation System,utility,[],[],[],[]
2,scripts/PIPELINE-SUMMARY.md,unknown,Pipeline Automation Summary,utility,[],[],[],[]
3,scripts/PRODUCTION_SAFETY_GUIDE.md,unknown,Production Safety Guide: Vertex AI Skills Generator,utility,[],[],[],[]
4,scripts/README.md,unknown,Scripts Directory,utility,[],[],[],[]
5,scripts/SKILLS_AUTOMATION.md,unknown,Agent Skills Automation,utility,[],[],[],[]
6,scripts/TURSO-BACKUP-GUIDE.md,unknown,Turso Backup System - Quick Start Guide,utility,[],[],[],[]
7,scripts/add-missing-plugins.sh,Bash,Add missing plugins to marketplace.extended.json,adder,[],[],[],[]
8,scripts/add-missing-simple.sh,Bash,Manually add the 8 missing plugins with proper data,adder,[],[],[],[]
9,scripts/analyze-skill-names-gemini.py,Python,analyze-skill-names-gemini.py,analyzer,[],"[""file reads""]","[""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""json"", ""typing"", ""sys""]"
10,scripts/analyze-skill-names.py,Python,analyze-skill-names.py,analyzer,[],"[""file reads"", ""environment variables""]","[""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""vertexai"", ""json"", ""vertexai.generative_models"", ""typing"", ""sys""]"
11,scripts/archive-organize-docs.py,Python,Base directory,utility,[],[],"[""stdout""]","[""pathlib"", ""os"", ""shutil""]"
12,scripts/audit-content-quality.py,Python,audit-content-quality.py,auditor,"[""--json"", ""--severity"", ""--top"", ""--summary-only"", ""--category"", ""--verbose""]",[],"[""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""sys"", ""re"", ""json"", ""argparse"", ""collections"", ""typing"", ""hashlib""]"
13,scripts/audit-plugin-agents.sh,Bash,Initialize counters,auditor,[],[],[],[]
14,scripts/audit-plugin-commands.sh,Bash,Initialize counters,auditor,[],[],[],[]
15,scripts/audit-plugin-directories.sh,Bash,Initialize counters,auditor,[],[],[],[]
16,scripts/audit-plugin-manifests.sh,Bash,Initialize counters,auditor,[],[],[],[]
17,scripts/audit-run-full.sh,Bash,ANTHROPIC CLAUDE CODE PLUGIN COMPLIANCE AUDIT SUITE,auditor,[],[],[],[]
18,scripts/audit-skills-quality.py,Python,"Extract YAML frontmatter""""""",auditor,[],"[""file reads""]","[""stdout""]","[""json"", ""re"", ""os"", ""pathlib""]"
19,scripts/automation-post-batch.sh,Bash,POST-BATCH AUTOMATION WORKFLOW,utility,[],[],[],[]
20,scripts/automation-trigger-post-batch.sh,Bash,Auto-Trigger Post-Batch Automation,utility,[],[],[],[]
21,scripts/backup-turso-database.sh,Bash,Turso Plugin Backup System,utility,[],[],[],[]
22,scripts/batch-fix-skills.py,Python,batch-fix-skills.py,fixer,[],[],"[""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""datetime"", ""re"", ""json"", ""yaml"", ""typing"", ""sys"", ""subprocess""]"
23,scripts/build-cowork-zips.mjs,JavaScript,build-cowork-zips.mjs,generator,[],"[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]","[""archiver""]"
24,scripts/check-official-links.mjs,JavaScript,Official Link Allowlist Validation Gate,validator,[],"[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]",[]
25,scripts/check-package-manager.mjs,JavaScript,check-package-manager.mjs,validator,[],"[""file reads""]","[""stdout"", ""exit codes""]",[]
26,scripts/check-performance.mjs,JavaScript,Performance Budget Validation Gate,validator,[],"[""file reads""]","[""stdout"", ""exit codes""]",[]
27,scripts/check-routes.mjs,JavaScript,Route Crawl Validation Gate,validator,[],"[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]",[]
28,scripts/cleanup-skill-adapter.sh,Bash,Clean up legacy skill-adapter directories and modernize structure,cleaner,[],[],[],[]
29,scripts/create-category-readmes.py,Python,"Generate README.md files for each skill category.""""""",generator,[],[],"[""stdout""]","[""pathlib"", ""os""]"
30,scripts/enhance-add-agent-capabilities.sh,Bash,Add capabilities to agents with empty arrays,enhancer,[],[],[],[]
31,scripts/enhance-cleanup-directories.sh,Bash,Clean up empty agent directories,enhancer,[],[],[],[]
32,scripts/enhance-expand-content.sh,Bash,Expand minimal command and agent content,enhancer,[],[],[],[]
33,scripts/enhance-fix-emails.sh,Bash,Fix placeholder emails in plugin.json files,fixer,[],[],[],[]
34,scripts/enhance-marketplace-metadata.cjs,JavaScript,enhance-marketplace-metadata.cjs,enhancer,[],"[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]","[""path"", ""fs""]"
35,scripts/enhance-run-all.sh,Bash,Master script to run all quality enhancements,enhancer,[],[],[],[]
36,scripts/enhance-skill-adapters.sh,Bash,Enhance skill-adapter directories with professional supporting files,enhancer,[],[],[],[]
37,scripts/enhance-skills-structure.sh,Bash,Enhance all skills with professional supporting file structure,enhancer,[],[],[],[]
38,scripts/fix-action-verbs.py,Python,Map skill name patterns to appropriate action verbs,fixer,[],[],"[""stdout""]","[""re"", ""os"", ""pathlib""]"
39,scripts/fix-all-frontmatter.py,Python,Valid categories per nixtla standard,fixer,"[""--dry-run"", ""--path""]",[],"[""stdout"", ""exit codes""]","[""pathlib"", ""re"", ""yaml"", ""typing"", ""sys""]"
40,scripts/fix-all-manifests.sh,Bash,Fix all plugin.json manifests by removing invalid fields,fixer,[],[],[],[]
41,scripts/fix-all-skills.py,Python,fix-all-skills.py,fixer,"[""--dry-run"", ""--path""]",[],"[""stdout"", ""exit codes""]","[""pathlib"", ""re"", ""yaml"", ""typing"", ""sys""]"
42,scripts/fix-code-blocks-v2.py,Python,Common magic numbers and their meanings,fixer,[],[],"[""stdout"", ""exit codes""]","[""re"", ""sys"", ""pathlib""]"
43,scripts/fix-code-blocks.py,Python,Common magic numbers and their meanings,fixer,[],[],"[""stdout"", ""exit codes""]","[""re"", ""sys"", ""pathlib""]"
44,scripts/fix-dead-references.py,Python,"Remove checkbox lines referencing nonexistent files. Returns count of removed lines.""""""",fixer,[],[],"[""stdout"", ""exit codes""]","[""re"", ""sys"", ""pathlib""]"
45,scripts/fix-frontmatter-validation.py,Python,Shortcut abbreviation mappings for common patterns,fixer,"[""--dry-run"", ""--path""]",[],"[""stdout"", ""exit codes""]","[""re"", ""os"", ""sys"", ""pathlib""]"
46,scripts/fix-frontmatter.py,Python,"Fix frontmatter issues in SKILL.md content.""""""",fixer,[],[],"[""stdout"", ""exit codes""]","[""re"", ""sys"", ""pathlib""]"
47,scripts/fix-geepers-frontmatter.py,Python,"Fix a single file by moving examples from frontmatter to body.""""""",fixer,[],[],"[""stdout""]","[""re"", ""pathlib""]"
48,scripts/fix-missing-refs.py,Python,"Create implementation.md files where they're referenced but don't exist.""""""",fixer,[],[],"[""stdout"", ""exit codes""]","[""re"", ""sys"", ""pathlib""]"
49,scripts/fix-missing-sections.py,Python,fix-missing-sections.py,fixer,[],"[""CLI arguments""]","[""stdout"", ""exit codes""]","[""pathlib"", ""re"", ""the"", ""typing"", ""sys""]"
50,scripts/fix-openrouter-skills.py,Python,"Fix OpenRouter skills to meet nixtla quality standards.""""""",fixer,[],[],"[""stdout""]","[""re"", ""os"", ""pathlib""]"
51,scripts/fix-plugin-manifests.sh,Bash,Find all plugin.json files with invalid fields,fixer,[],[],[],[]
52,scripts/fix-purpose-statements.py,Python,"Fix purpose statement and Instructions formatting.""""""",fixer,[],[],"[""stdout"", ""exit codes""]","[""re"", ""sys"", ""pathlib""]"
53,scripts/fix-purpose-v2.py,Python,fix-purpose-v2.py,fixer,[],[],"[""stdout"", ""exit codes""]","[""re"", ""sys"", ""pathlib""]"
54,scripts/fix-remaining-skills.py,Python,Skills that need immediate attention (from audit report),fixer,[],"[""file reads""]","[""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""json"", ""typing"", ""sys""]"
55,scripts/fix-remaining-verbs.py,Python,Verbs accepted by validate-skills-schema.py,fixer,[],"[""file reads""]","[""stdout""]","[""re"", ""json"", ""pathlib""]"
56,scripts/fix-skill-names.py,Python,Convert Title Case to hyphen-case.,fixer,[],[],"[""stdout""]","[""re"", ""os"", ""pathlib""]"
57,scripts/fix-skill-purpose.py,Python,"Add a markdown H1 title + purpose statement if missing.""""""",fixer,"[""--dry-run"", ""--path""]",[],"[""stdout""]","[""re"", ""sys"", ""pathlib""]"
58,scripts/fix-skills-enterprise.py,Python,Enterprise defaults,fixer,[],"[""file reads"", ""CLI arguments""]","[""file writes"", ""stdout"", ""exit codes""]","[""re"", ""sys"", ""pathlib""]"
59,scripts/fix-stub-scripts.py,Python,fix-stub-scripts.py,fixer,[],[],"[""stdout"", ""exit codes""]","[""re"", ""sys"", ""pathlib""]"
60,scripts/generate-badges.mjs,JavaScript,generate-badges.mjs,generator,[],"[""file reads"", ""CLI arguments""]","[""stdout"", ""exit codes""]",[]
61,scripts/generate-life-sciences-plugin.py,Python,Vertex AI SDK,generator,[],"[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""datetime"", ""vertexai"", ""json"", ""argparse"", ""vertexai.generative_models"", ""typing"", ""sys""]"
62,scripts/generate-missing-assets.py,Python,generate-missing-assets.py,generator,"[""--plugin"", ""--dry-run"", ""--limit""]","[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""datetime"", ""re"", ""json"", ""argparse"", ""time"", ""typing"", ""sys"", ""sqlite3""]"
63,scripts/generate-playbooks-gemini.py,Python,generate-playbooks-gemini.py,generator,[],[],"[""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""vertexai"", ""vertexai.generative_models"", ""sys""]"
64,scripts/generate-saas-beads.py,Python,generate-saas-beads.py,generator,"[""--deps-only"", ""--vendor""]","[""file reads""]","[""stdout""]","[""csv"", ""pathlib"", ""argparse""]"
65,scripts/migrate-credentials.sh,Bash,Complete Credential Migration to admincostplus User,migrator,[],[],[],[]
66,scripts/migrate-skill-structure.sh,Bash,Migrate Agent Skills from non-compliant to compliant structure,migrator,[],[],[],[]
67,scripts/migrate-skills-schema.py,Python,Tool categorization rules,migrator,"[""--dry-run"", ""--limit"", ""path""]","[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]","[""re"", ""os"", ""sys"", ""pathlib""]"
68,scripts/migrate-skills.py,Python,"Load the skill name mappings""""""",migrator,"[""--dry-run"", ""--execute""]","[""file reads""]","[""stdout"", ""exit codes""]","[""pathlib"", ""json"", ""sys"", ""shutil""]"
69,scripts/overnight-skill-fix.py,Python,Configuration,fixer,"[""--project"", ""--output"", ""--config"", ""--config"", ""--strict"", ""target"", ""--output"", ""--json"", ""--type"", ""--output""]","[""file reads""]","[""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""datetime"", ""shutil"", ""re"", ""json"", ""concurrent.futures"", ""argparse"", ""time"", ""typing"", ""sys"", ""subprocess""]"
70,scripts/quick-test.sh,Bash,Quick Test Runner,test-helper,[],[],[],[]
71,scripts/refactor-skills-pda.py,Python,"Extract sections from markdown content.""""""",utility,"[""path"", ""--dry-run"", ""--min-lines""]",[],"[""stdout""]","[""re"", ""sys"", ""pathlib""]"
72,scripts/run-verification-pipeline.mjs,JavaScript,run-verification-pipeline.mjs,utility,[],"[""file reads"", ""CLI arguments""]","[""file writes"", ""stdout"", ""exit codes""]",[]
73,scripts/skill-batch-fixer.py,Python,Auto-fix all skills with simple gaps,fixer,[],[],"[""stdout"", ""exit codes""]","[""pathlib"", ""re"", ""argparse"", ""typing"", ""sys""]"
74,scripts/skill-gap-report.py,Python,skill-gap-report.py,analyzer,[],[],"[""stdout"", ""exit codes""]","[""pathlib"", ""csv"", ""re"", ""json"", ""argparse"", ""typing"", ""sys""]"
75,scripts/skills-enhancer-batch.py,Python,skills-enhancer-batch.py,enhancer,"[""--limit"", ""--dry-run"", ""--plugin""]","[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""datetime"", ""vertexai"", ""shutil"", ""json"", ""vertexai.generative_models"", ""random"", ""time"", ""typing"", ""sys"", ""sqlite3""]"
