Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
shopify-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Shopify SDK/CLI authentication,"shopify install auth, install and configure shopify sdk/cli authentication",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify install auth in under 15 minutes,true,onboarding,plugins/saas-packs/shopify-pack/skills/shopify-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Shopify example,"shopify hello world, create a minimal working shopify example",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify hello world in under 15 minutes,true,onboarding,plugins/saas-packs/shopify-pack/skills/shopify-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Shopify local development workflow,"shopify local dev loop, configure shopify local development workflow",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/shopify-pack/skills/shopify-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Shopify SDK patterns,"shopify sdk patterns, apply production-ready shopify sdk patterns",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/shopify-pack/skills/shopify-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Shopify primary workflow,"shopify primary workflow, execute shopify primary workflow",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/shopify-pack/skills/shopify-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Shopify core feature integration,"shopify core feature, implement shopify core feature integration",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify core feature in under 15 minutes,true,onboarding,plugins/saas-packs/shopify-pack/skills/shopify-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Shopify common errors,"shopify common errors, diagnose and fix shopify common errors",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify common errors in under 15 minutes,true,operations,plugins/saas-packs/shopify-pack/skills/shopify-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Shopify debug evidence for support,"shopify debug bundle, collect shopify debug evidence for support",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify debug bundle in under 15 minutes,true,operations,plugins/saas-packs/shopify-pack/skills/shopify-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Shopify rate limiting and backoff,"shopify rate limits, implement shopify rate limiting and backoff",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify rate limits in under 15 minutes,true,operations,plugins/saas-packs/shopify-pack/skills/shopify-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Shopify security best practices,"shopify security basics, apply shopify security best practices",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify security basics in under 15 minutes,true,operations,plugins/saas-packs/shopify-pack/skills/shopify-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Shopify production deployment checklist,"shopify prod checklist, execute shopify production deployment checklist",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify prod checklist in under 15 minutes,true,operations,plugins/saas-packs/shopify-pack/skills/shopify-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Shopify SDK upgrades,"shopify upgrade migration, plan and execute shopify sdk upgrades",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/shopify-pack/skills/shopify-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Shopify CI/CD integration,"shopify ci integration, configure shopify ci/cd integration",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify ci integration in under 15 minutes,true,cicd,plugins/saas-packs/shopify-pack/skills/shopify-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Shopify integrations to production,"shopify deploy pipeline, deploy shopify integrations to production",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/shopify-pack/skills/shopify-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Shopify webhook handling,"shopify webhooks events, implement shopify webhook handling",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/shopify-pack/skills/shopify-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
shopify-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Shopify API performance,"shopify performance tuning, optimize shopify api performance",Claude Code skill; Shopify SDK; local/cloud development,Working Shopify integration; Tests passing; Documentation updated,Faster Shopify integration; Reduced errors; Team productivity,Complete Shopify performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/shopify-pack/skills/shopify-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
