Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
firecrawl-install-auth,"Backend developers, Data engineers, AI engineers","Install and configure FireCrawl SDK authentication including API key setup and connection verification","install firecrawl, setup firecrawl, firecrawl auth, configure firecrawl API key","Claude Code skill; FireCrawl platform; local/cloud development","Installed SDK package, configured environment variable or .env file, successful connection verification output","Reduced setup time, standardized authentication across team","Complete FireCrawl SDK setup in under 5 minutes with verified connection","true","onboarding","plugins/saas-packs/firecrawl-pack/skills/firecrawl-install-auth/","Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-hello-world,"New FireCrawl users, Developers learning web scraping","Create a minimal working FireCrawl example demonstrating core scraping and markdown conversion","firecrawl hello world, firecrawl example, firecrawl quick start, simple firecrawl scrape","Claude Code skill; FireCrawl platform; local/cloud development","Working code file with FireCrawl client initialization and successful scrape response with markdown output","Faster developer onboarding, reduced learning curve","Execute first successful FireCrawl scrape within minutes of setup","true","onboarding","plugins/saas-packs/firecrawl-pack/skills/firecrawl-hello-world/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-local-dev-loop,"Backend developers, Data engineers, AI engineers","Configure FireCrawl local development with testing, caching, and fast iteration cycles","firecrawl dev setup, firecrawl local development, firecrawl dev environment, develop with firecrawl","Claude Code skill; FireCrawl platform; local/cloud development","Working development environment with request caching, configured test suite, environment variable management","Faster development cycles, improved developer productivity, reduced API costs during development","Achieve cached responses for repeated scrapes during development","true","onboarding","plugins/saas-packs/firecrawl-pack/skills/firecrawl-local-dev-loop/","Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-sdk-patterns,"Senior developers, Tech leads, Data engineers","Apply production-ready FireCrawl SDK patterns including singleton, error handling, and retry logic","firecrawl SDK patterns, firecrawl best practices, firecrawl code patterns, idiomatic firecrawl","Claude Code skill; FireCrawl platform; local/cloud development","Type-safe client singleton, robust error handling, automatic retry with exponential backoff, response validation","Reduced production incidents, improved code maintainability","Zero SDK-related production incidents through proper patterns","true","onboarding","plugins/saas-packs/firecrawl-pack/skills/firecrawl-sdk-patterns/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-scrape-single,"Backend developers, Data engineers, AI engineers","Scrape a single URL and convert to clean markdown with metadata extraction and content formatting","firecrawl scrape page, single page scrape, convert page to markdown, extract page content","Claude Code skill; FireCrawl platform; local/cloud development","Successful single URL scrape with clean markdown output, metadata extracted, proper error handling","Reliable content extraction, LLM-ready output format","Scrape any single page with 95%+ content accuracy","true","onboarding","plugins/saas-packs/firecrawl-pack/skills/firecrawl-scrape-single/","Read, Write, Edit, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-crawl-site,"Backend developers, Data engineers, Content managers","Crawl entire websites or sections with depth control, URL filtering, and sitemap respect","firecrawl crawl website, crawl entire site, website crawler, crawl domain","Claude Code skill; FireCrawl platform; local/cloud development","Completed site crawl with all pages extracted, proper depth limits, filtered URLs, sitemap utilized","Comprehensive content extraction, complete site coverage","Crawl 1000+ pages with proper rate limiting and complete coverage","true","onboarding","plugins/saas-packs/firecrawl-pack/skills/firecrawl-crawl-site/","Read, Write, Edit, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-common-errors,"All FireCrawl developers, Support engineers","Diagnose and fix top 10 most common FireCrawl errors including timeouts, blocked requests, and parsing failures","firecrawl error, fix firecrawl, firecrawl not working, debug firecrawl, firecrawl timeout","Claude Code skill; FireCrawl platform; local/cloud development","Identified error cause, applied fix, verified resolution","Reduced downtime, faster issue resolution, improved developer self-service","Resolve 90% of common errors without escalation","true","operations","plugins/saas-packs/firecrawl-pack/skills/firecrawl-common-errors/","Read, Grep, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-debug-bundle,"Support engineers, DevOps engineers, Senior developers","Collect comprehensive diagnostic information for FireCrawl support tickets including request logs, responses, and network tests","firecrawl debug, firecrawl support bundle, collect firecrawl logs, firecrawl diagnostic","Claude Code skill; FireCrawl platform; local/cloud development","Debug bundle archive with environment info, redacted logs, request/response samples, and network test results","Faster support ticket resolution, better root cause analysis","Generate complete support bundle in under 2 minutes","true","operations","plugins/saas-packs/firecrawl-pack/skills/firecrawl-debug-bundle/","Read, Bash(grep:*), Bash(curl:*), Bash(tar:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-rate-limits,"Backend developers, Data engineers, Platform engineers","Implement rate limiting, exponential backoff with jitter, and request queuing for FireCrawl API","firecrawl rate limit, firecrawl throttling, firecrawl 429, firecrawl retry, firecrawl backoff","Claude Code skill; FireCrawl platform; local/cloud development","Reliable API calls with automatic retry, request queuing, proper rate limit header handling","Zero rate limit-related outages, improved API reliability","Handle 100% of rate limit scenarios gracefully","true","operations","plugins/saas-packs/firecrawl-pack/skills/firecrawl-rate-limits/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-security-basics,"Security engineers, DevOps engineers, Data engineers","Apply security best practices for API keys, proxy configuration, and request authentication","firecrawl security, firecrawl secrets, secure firecrawl, firecrawl API key security, firecrawl proxy","Claude Code skill; FireCrawl platform; local/cloud development","Secure API key storage, proxy rotation configured, request headers managed, audit logging enabled","Reduced security incidents, protected scraping infrastructure, anti-detection","Zero credential exposure incidents, stealth scraping capability","true","operations","plugins/saas-packs/firecrawl-pack/skills/firecrawl-security-basics/","Read, Write, Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-prod-checklist,"DevOps engineers, Release managers, Data engineers","Execute production scraping checklist including pre-flight checks, rate limiting, and error handling","firecrawl production, deploy firecrawl, firecrawl go-live, firecrawl launch checklist","Claude Code skill; FireCrawl platform; local/cloud development","Deployed scraping pipeline, health checks passing, monitoring active, error handling documented","Zero-downtime deployments, reduced production incidents","100% deployment success rate with graceful degradation","true","operations","plugins/saas-packs/firecrawl-pack/skills/firecrawl-prod-checklist/","Read, Bash(curl:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-upgrade-migration,"Tech leads, Platform engineers, Senior developers","Analyze, plan, and execute FireCrawl SDK upgrades with breaking change detection and rollback procedures","upgrade firecrawl, firecrawl migration, firecrawl breaking changes, update firecrawl SDK","Claude Code skill; FireCrawl platform; local/cloud development","Updated SDK version, fixed breaking changes, passing test suite, documented rollback procedure","Smooth version transitions, reduced upgrade-related incidents","Complete SDK upgrades with zero production impact","true","operations","plugins/saas-packs/firecrawl-pack/skills/firecrawl-upgrade-migration/","Read, Write, Edit, Bash(npm:*), Bash(pip:*), Bash(git:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-ci-integration,"DevOps engineers, Data engineers, MLOps engineers","Configure FireCrawl CI/CD integration with GitHub Actions, automated testing, and scheduled crawls","firecrawl CI, firecrawl GitHub Actions, firecrawl automated tests, CI firecrawl, scheduled crawl","Claude Code skill; FireCrawl platform; local/cloud development","Automated test pipeline, PR checks configured, scheduled crawl jobs, integration tests ready","Faster release cycles, improved scraping quality, reliable scheduled jobs","100% automated testing coverage for FireCrawl integrations","true","cicd","plugins/saas-packs/firecrawl-pack/skills/firecrawl-ci-integration/","Read, Write, Edit, Bash(gh:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-deploy-pipeline,"DevOps engineers, Platform engineers, Data engineers","Deploy FireCrawl scraping pipelines to cloud functions, containers, and scheduled jobs","deploy firecrawl, firecrawl cloud function, firecrawl container, firecrawl scheduled job, firecrawl Lambda","Claude Code skill; FireCrawl platform; local/cloud development","Pipeline deployed, secrets configured, health check functional, environment-specific config in place","Multi-platform deployment capability, reduced deployment complexity","Deploy scraping pipeline to any platform in under 10 minutes","true","cicd","plugins/saas-packs/firecrawl-pack/skills/firecrawl-deploy-pipeline/","Read, Write, Edit, Bash(gcloud:*), Bash(aws:*), Bash(docker:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
firecrawl-webhooks-events,"Backend developers, Data engineers, Integration engineers","Implement webhook handlers for crawl completion notifications and event-driven data processing","firecrawl webhook, firecrawl events, firecrawl crawl complete, handle firecrawl notifications","Claude Code skill; FireCrawl platform; local/cloud development","Webhook endpoint configured, event handlers implemented, completion notifications processing","Reliable event-driven pipelines, real-time crawl completion handling","100% crawl completion notifications processed, zero missed events","true","cicd","plugins/saas-packs/firecrawl-pack/skills/firecrawl-webhooks-events/","Read, Write, Edit, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
