Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
retellai-install-auth,"Voice AI developers, Full-stack developers, Platform engineers","Install and configure Retell AI SDK authentication including API key setup and connection verification","install retell ai, setup retell, retell auth, configure retell API key","Claude Code skill; Retell AI platform; local/cloud development","Installed SDK package, configured environment variable or .env file, successful connection verification output","Reduced setup time, standardized authentication across team","Complete Retell AI SDK setup in under 5 minutes with verified connection","true","onboarding","plugins/saas-packs/retellai-pack/skills/retellai-install-auth/","Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-hello-world,"New Retell AI users, Developers learning voice AI","Create a minimal working Retell AI example demonstrating core API patterns for voice agent creation","retell hello world, retell example, retell quick start, simple retell voice agent","Claude Code skill; Retell AI platform; local/cloud development","Working code file with Retell client initialization and successful agent creation response","Faster developer onboarding, reduced learning curve for voice AI","Execute first successful Retell AI API call within minutes of setup","true","onboarding","plugins/saas-packs/retellai-pack/skills/retellai-hello-world/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-local-dev-loop,"Voice AI developers, Full-stack developers","Configure Retell AI local development with webhook tunneling, testing, and fast iteration cycles","retell dev setup, retell local development, retell dev environment, develop with retell","Claude Code skill; Retell AI platform; local/cloud development","Working development environment with ngrok tunnel, configured test suite, environment variable management","Faster development cycles, improved developer productivity for voice agents","Achieve sub-minute test cycles for Retell AI voice agent development","true","onboarding","plugins/saas-packs/retellai-pack/skills/retellai-local-dev-loop/","Read, Write, Edit, Bash(npm:*), Bash(ngrok:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-agent-creation,"Voice AI developers, Conversation designers, Product managers","Create and configure Retell AI voice agents with custom prompts, voices, and behavior settings","create retell agent, retell voice agent, configure retell agent, retell agent setup","Claude Code skill; Retell AI platform; local/cloud development","Working voice agent with custom prompt, selected voice, and configured behavior parameters","Reduced time-to-first-agent, standardized agent configurations across team","Deploy first functional voice agent within 30 minutes","true","onboarding","plugins/saas-packs/retellai-pack/skills/retellai-agent-creation/","Read, Write, Edit, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-voice-selection,"Voice AI developers, UX designers, Brand managers","Select and configure AI voices from Retell AI voice library including ElevenLabs and PlayHT integrations","retell voice, select retell voice, retell voice options, configure voice retell","Claude Code skill; Retell AI platform; local/cloud development","Voice configured with appropriate provider, accent, gender, and speaking style for use case","Brand-aligned voice experience, improved user engagement","Select optimal voice for use case within 15 minutes","true","onboarding","plugins/saas-packs/retellai-pack/skills/retellai-voice-selection/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-phone-integration,"Voice AI developers, Telephony engineers, DevOps engineers","Configure Retell AI phone number integration for inbound and outbound calling capabilities","retell phone number, retell telephony, retell inbound calls, retell outbound calls","Claude Code skill; Retell AI platform; local/cloud development","Phone number provisioned, inbound routing configured, outbound calling enabled","Revenue-generating voice channel, reduced support costs via automation","Complete phone integration with test call within 1 hour","true","onboarding","plugins/saas-packs/retellai-pack/skills/retellai-phone-integration/","Read, Write, Edit, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-common-errors,"All Retell AI developers, Support engineers","Diagnose and fix top 10 most common Retell AI errors including auth failures, webhook issues, and voice synthesis problems","retell error, fix retell, retell not working, debug retell, retell troubleshoot","Claude Code skill; Retell AI platform; local/cloud development","Identified error cause, applied fix, verified resolution","Reduced downtime, faster issue resolution, improved developer self-service","Resolve 90% of common errors without escalation","true","operations","plugins/saas-packs/retellai-pack/skills/retellai-common-errors/","Read, Grep, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-debug-bundle,"Support engineers, DevOps engineers, Senior developers","Collect comprehensive diagnostic information for Retell AI support tickets including logs, config, and call recordings","retell debug, retell support bundle, collect retell logs, retell diagnostic","Claude Code skill; Retell AI platform; local/cloud development","Debug bundle archive with environment info, redacted logs, config, and call metadata","Faster support ticket resolution, better root cause analysis","Generate complete support bundle in under 2 minutes","true","operations","plugins/saas-packs/retellai-pack/skills/retellai-debug-bundle/","Read, Bash(grep:*), Bash(curl:*), Bash(tar:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-call-handling,"Voice AI developers, Backend developers, Support engineers","Implement robust call handling with connection management, error recovery, and graceful termination","retell call handling, retell connection, manage retell calls, retell call lifecycle","Claude Code skill; Retell AI platform; local/cloud development","Reliable call handling with automatic reconnection, timeout management, and clean termination","Improved call quality, reduced dropped calls, better user experience","99.5% call completion rate with graceful error handling","true","operations","plugins/saas-packs/retellai-pack/skills/retellai-call-handling/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-security-basics,"Security engineers, DevOps engineers, Platform engineers","Apply security best practices for API keys, webhook secrets, and call recording access control","retell security, retell secrets, secure retell, retell API key security","Claude Code skill; Retell AI platform; local/cloud development","Secure API key storage, webhook signature verification, recording access controls","Reduced security incidents, compliance readiness, protected call data","Zero credential exposure incidents, 100% webhook signature verification","true","operations","plugins/saas-packs/retellai-pack/skills/retellai-security-basics/","Read, Write, Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
