Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
glean-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Glean SDK/CLI authentication,"glean install auth, install and configure glean sdk/cli authentication",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean install auth in under 15 minutes,true,onboarding,plugins/saas-packs/glean-pack/skills/glean-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
glean-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Glean example,"glean hello world, create a minimal working glean example",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean hello world in under 15 minutes,true,onboarding,plugins/saas-packs/glean-pack/skills/glean-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
glean-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Glean local development workflow,"glean local dev loop, configure glean local development workflow",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/glean-pack/skills/glean-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
glean-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Glean SDK patterns,"glean sdk patterns, apply production-ready glean sdk patterns",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/glean-pack/skills/glean-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
glean-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Glean primary workflow,"glean primary workflow, execute glean primary workflow",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/glean-pack/skills/glean-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
glean-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Glean core feature integration,"glean core feature, implement glean core feature integration",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean core feature in under 15 minutes,true,onboarding,plugins/saas-packs/glean-pack/skills/glean-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
glean-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Glean common errors,"glean common errors, diagnose and fix glean common errors",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean common errors in under 15 minutes,true,operations,plugins/saas-packs/glean-pack/skills/glean-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
glean-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Glean debug evidence for support,"glean debug bundle, collect glean debug evidence for support",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean debug bundle in under 15 minutes,true,operations,plugins/saas-packs/glean-pack/skills/glean-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
glean-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Glean rate limiting and backoff,"glean rate limits, implement glean rate limiting and backoff",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean rate limits in under 15 minutes,true,operations,plugins/saas-packs/glean-pack/skills/glean-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
glean-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Glean security best practices,"glean security basics, apply glean security best practices",Claude Code skill; Glean SDK; local/cloud development,Working Glean integration; Tests passing; Documentation updated,Faster Glean integration; Reduced errors; Team productivity,Complete Glean security basics in under 15 minutes,true,operations,plugins/saas-packs/glean-pack/skills/glean-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
