Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
fireflies-install-auth,Developer setting up Fireflies integration,Configure API authentication and OAuth tokens for Fireflies.ai,Initial project setup or credential rotation,Local development environment and CI secrets,API key validated with test request; OAuth flow completes successfully; credentials stored securely,Meeting recording and transcription pipeline operational within 30 minutes,Enable secure programmatic access to Fireflies API,true,Onboarding,fireflies-install-auth/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-hello-world,New developer exploring Fireflies API,Create first API call to fetch recent meetings and transcripts,After authentication is configured,Local development environment,Successful API response with meeting list; transcript content retrieved; JSON parsed correctly,Developer confident in basic API operations; foundation for advanced integrations,Validate API connectivity and understand response structures,true,Onboarding,fireflies-hello-world/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-local-dev-loop,Developer building Fireflies integrations,Set up local development environment with hot reload and test transcripts,During active development phase,Local workstation with Node.js or Python,Mock server running; test transcripts available; changes reflect immediately,Faster iteration cycles; reduced time to feature completion,Establish efficient local development workflow,true,Onboarding,fireflies-local-dev-loop/,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-common-errors,Developer troubleshooting Fireflies API issues,Diagnose and resolve common API errors and integration failures,When encountering 4xx/5xx errors or unexpected behavior,Development or production environment,Error identified from response codes; root cause documented; fix applied,Reduced support tickets; faster issue resolution; improved developer productivity,Quick resolution of typical Fireflies integration problems,true,Onboarding,fireflies-common-errors/,"Read, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-known-pitfalls,Developer planning Fireflies integration,Understand limitations rate limits and edge cases before implementation,Architecture and planning phase,Documentation review and design sessions,Pitfalls documented in architecture decisions; workarounds identified; team informed,Avoided production incidents; reduced rework; informed technical decisions,Prevent common mistakes in Fireflies implementations,true,Onboarding,fireflies-known-pitfalls/,"Read, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-meeting-integration,DevOps engineer configuring video platform integration,Connect Fireflies to Zoom Teams or Google Meet for automatic recording,When setting up automated meeting capture,Cloud calendar and video conferencing platforms,Bot joins meetings automatically; recordings captured; transcripts generated,100% meeting capture rate; no manual intervention required,Seamless automatic meeting transcription across platforms,true,Operations,fireflies-meeting-integration/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-transcript-export,Developer building data pipelines,Export transcripts in various formats for downstream processing,After meetings are transcribed,Data warehouse or analytics platform,Exports complete with timestamps; speaker labels accurate; formats validated,Meeting intelligence available for business analysis; compliance requirements met,Enable transcript data for analytics and archival,true,Operations,fireflies-transcript-export/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-search-meetings,Developer implementing meeting discovery,Build search functionality across meeting transcripts and metadata,When users need to find specific discussions,Application search interface,Full-text search returning relevant results; filters working; response times under 500ms,Users find information quickly; knowledge discovery improved,Enable efficient discovery of meeting content,true,Operations,fireflies-search-meetings/,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-crm-sync,Integration engineer connecting sales systems,Sync meeting notes and action items to CRM platforms,After meetings with prospects or customers,Salesforce HubSpot or Pipedrive integration,CRM records updated automatically; meeting links attached; action items synced,Sales team has complete meeting context; no manual data entry,Automate CRM enrichment with meeting intelligence,true,Operations,fireflies-crm-sync/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-action-items,Developer building task management integration,Extract and route action items from meeting transcripts,After transcription completes,Task management systems like Asana Jira or Notion,Action items parsed correctly; assignees identified; due dates extracted; tasks created,Higher action item completion rate; improved meeting accountability,Automate task creation from meeting commitments,true,Operations,fireflies-action-items/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-ci-integration,DevOps engineer adding Fireflies to pipeline,Integrate Fireflies API validation into CI/CD workflow,When automating deployment pipeline,GitHub Actions GitLab CI or Jenkins,API health checks pass in CI; schema validation automated; test coverage reported,Deployment confidence; early detection of breaking changes,Ensure Fireflies integration quality in automated pipelines,true,CI/CD,fireflies-ci-integration/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-multi-env-setup,Platform engineer managing environments,Configure Fireflies across development staging and production,When establishing environment parity,Multiple cloud environments or accounts,Environment-specific configs working; secrets isolated; feature flags configured,Consistent behavior across environments; safe testing of changes,Enable proper environment separation for Fireflies,true,CI/CD,fireflies-multi-env-setup/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-deploy-pipeline,Release engineer automating deployments,Build automated deployment pipeline for Fireflies integrations,When establishing production release process,CI/CD platform with staging and production targets,Zero-downtime deploys; rollback capability; deployment notifications,Faster safer releases; reduced deployment anxiety,Automate Fireflies integration deployments,true,CI/CD,fireflies-deploy-pipeline/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-prod-checklist,Tech lead preparing for launch,Validate production readiness for Fireflies integration,Before go-live or major releases,Production environment review,All checklist items verified; monitoring active; runbooks documented,Smooth production launch; stakeholder confidence,Ensure production-grade Fireflies deployment,true,CI/CD,fireflies-prod-checklist/,"Read, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-upgrade-migration,Developer upgrading Fireflies SDK,Migrate to new Fireflies API versions with minimal disruption,When new API versions are released,Development and staging environments first,New API calls working; deprecated endpoints replaced; tests passing,Zero downtime upgrades; access to new features,Safe migration to newer Fireflies API versions,true,CI/CD,fireflies-upgrade-migration/,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-observability,SRE implementing monitoring,Set up comprehensive observability for Fireflies integration,After initial deployment stabilizes,Monitoring and alerting infrastructure,Metrics dashboards live; alerts configured; logs aggregated; traces available,Proactive issue detection; faster incident response,Enable production visibility for Fireflies operations,true,Enterprise,fireflies-observability/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-cost-tuning,FinOps engineer optimizing spend,Analyze and optimize Fireflies API usage and costs,During cost review or budget planning,Cloud billing and usage analytics,Usage patterns documented; optimization applied; cost reduction quantified,Reduced monthly Fireflies spend; predictable costs,Optimize Fireflies costs without sacrificing functionality,true,Enterprise,fireflies-cost-tuning/,"Read, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-load-scale,Platform engineer scaling infrastructure,Configure Fireflies integration for high meeting volumes,When usage exceeds initial capacity,Auto-scaling cloud infrastructure,Queue handling load spikes; parallel processing working; no dropped meetings,Handle enterprise meeting volumes reliably,Scale Fireflies integration for enterprise load,true,Enterprise,fireflies-load-scale/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-team-management,IT administrator managing workspace,Configure team settings permissions and access controls,When onboarding teams or managing access,Fireflies admin console and SSO provider,SSO configured; roles assigned; audit logs enabled; compliance settings applied,Secure compliant team access; simplified user management,Enterprise team administration for Fireflies,true,Enterprise,fireflies-team-management/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-reference-architecture,Solutions architect designing integration,Design enterprise-grade Fireflies integration architecture,During solution design phase,Architecture documentation and diagrams,Architecture documented; components defined; data flows mapped; security reviewed,Clear implementation roadmap; stakeholder alignment,Define best-practice Fireflies integration patterns,true,Enterprise,fireflies-reference-architecture/,"Read, Write, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-advanced-troubleshooting,Senior engineer debugging complex issues,Diagnose complex Fireflies integration failures and edge cases,When standard troubleshooting fails,Production debugging tools and logs,Root cause identified; fix validated; prevention documented,Reduced MTTR; knowledge base expanded,Resolve difficult Fireflies integration problems,true,Advanced,fireflies-advanced-troubleshooting/,"Read, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-debug-bundle,Support engineer collecting diagnostics,Generate comprehensive debug information for support cases,When escalating to Fireflies support,Local and production environments,Debug bundle complete; logs sanitized; reproduction steps documented,Faster support resolution; complete context provided,Enable efficient support case resolution,true,Advanced,fireflies-debug-bundle/,"Read, Write, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-ai-summary-tuning,ML engineer optimizing AI output,Customize AI-generated meeting summaries and insights,When default summaries need improvement,Fireflies AI configuration settings,Custom prompts applied; summary quality improved; key topics captured accurately,More relevant actionable meeting summaries,Optimize AI summary quality for specific use cases,true,Advanced,fireflies-ai-summary-tuning/,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fireflies-reliability-patterns,Principal engineer designing resilience,Implement reliability patterns for mission-critical meeting capture,When building fault-tolerant integrations,Distributed systems infrastructure,Circuit breakers active; retries configured; fallbacks working; chaos tested,99.9% meeting capture reliability; graceful degradation,Build resilient Fireflies integration architecture,true,Advanced,fireflies-reliability-patterns/,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
