Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
klaviyo-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Klaviyo SDK/CLI authentication,"klaviyo install auth, install and configure klaviyo sdk/cli authentication",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo install auth in under 15 minutes,true,onboarding,plugins/saas-packs/klaviyo-pack/skills/klaviyo-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klaviyo-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Klaviyo example,"klaviyo hello world, create a minimal working klaviyo example",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo hello world in under 15 minutes,true,onboarding,plugins/saas-packs/klaviyo-pack/skills/klaviyo-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klaviyo-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Klaviyo local development workflow,"klaviyo local dev loop, configure klaviyo local development workflow",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/klaviyo-pack/skills/klaviyo-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klaviyo-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Klaviyo SDK patterns,"klaviyo sdk patterns, apply production-ready klaviyo sdk patterns",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/klaviyo-pack/skills/klaviyo-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klaviyo-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Klaviyo primary workflow,"klaviyo primary workflow, execute klaviyo primary workflow",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/klaviyo-pack/skills/klaviyo-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klaviyo-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Klaviyo core feature integration,"klaviyo core feature, implement klaviyo core feature integration",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo core feature in under 15 minutes,true,onboarding,plugins/saas-packs/klaviyo-pack/skills/klaviyo-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klaviyo-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Klaviyo common errors,"klaviyo common errors, diagnose and fix klaviyo common errors",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo common errors in under 15 minutes,true,operations,plugins/saas-packs/klaviyo-pack/skills/klaviyo-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klaviyo-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Klaviyo debug evidence for support,"klaviyo debug bundle, collect klaviyo debug evidence for support",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo debug bundle in under 15 minutes,true,operations,plugins/saas-packs/klaviyo-pack/skills/klaviyo-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klaviyo-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Klaviyo rate limiting and backoff,"klaviyo rate limits, implement klaviyo rate limiting and backoff",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo rate limits in under 15 minutes,true,operations,plugins/saas-packs/klaviyo-pack/skills/klaviyo-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klaviyo-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Klaviyo security best practices,"klaviyo security basics, apply klaviyo security best practices",Claude Code skill; Klaviyo SDK; local/cloud development,Working Klaviyo integration; Tests passing; Documentation updated,Faster Klaviyo integration; Reduced errors; Team productivity,Complete Klaviyo security basics in under 15 minutes,true,operations,plugins/saas-packs/klaviyo-pack/skills/klaviyo-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
