Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
clari-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Clari SDK/CLI authentication,"clari install auth, install and configure clari sdk/cli authentication",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari install auth in under 15 minutes,true,onboarding,plugins/saas-packs/clari-pack/skills/clari-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clari-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Clari example,"clari hello world, create a minimal working clari example",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari hello world in under 15 minutes,true,onboarding,plugins/saas-packs/clari-pack/skills/clari-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clari-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Clari local development workflow,"clari local dev loop, configure clari local development workflow",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/clari-pack/skills/clari-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clari-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Clari SDK patterns,"clari sdk patterns, apply production-ready clari sdk patterns",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/clari-pack/skills/clari-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clari-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Clari primary workflow,"clari primary workflow, execute clari primary workflow",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/clari-pack/skills/clari-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clari-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Clari core feature integration,"clari core feature, implement clari core feature integration",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari core feature in under 15 minutes,true,onboarding,plugins/saas-packs/clari-pack/skills/clari-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clari-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Clari common errors,"clari common errors, diagnose and fix clari common errors",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari common errors in under 15 minutes,true,operations,plugins/saas-packs/clari-pack/skills/clari-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clari-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Clari debug evidence for support,"clari debug bundle, collect clari debug evidence for support",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari debug bundle in under 15 minutes,true,operations,plugins/saas-packs/clari-pack/skills/clari-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clari-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Clari rate limiting and backoff,"clari rate limits, implement clari rate limiting and backoff",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari rate limits in under 15 minutes,true,operations,plugins/saas-packs/clari-pack/skills/clari-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clari-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Clari security best practices,"clari security basics, apply clari security best practices",Claude Code skill; Clari SDK; local/cloud development,Working Clari integration; Tests passing; Documentation updated,Faster Clari integration; Reduced errors; Team productivity,Complete Clari security basics in under 15 minutes,true,operations,plugins/saas-packs/clari-pack/skills/clari-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
