Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
exa-install-auth,"Developers, AI/ML engineers, Full-stack developers","Install and configure Exa SDK authentication including API key setup and connection verification","install exa, setup exa, exa auth, configure exa API key, exa sdk setup","Claude Code skill; Exa platform; local/cloud development","Installed SDK package, configured EXA_API_KEY environment variable, successful connection verification with test search","Reduced setup time, standardized authentication across team","Complete Exa SDK setup in under 5 minutes with verified connection","true","onboarding","plugins/saas-packs/exa-pack/skills/exa-install-auth/","Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
exa-hello-world,"New Exa users, Developers learning neural search","Create a minimal working Exa example demonstrating basic semantic search patterns","exa hello world, exa example, exa quick start, simple exa search","Claude Code skill; Exa platform; local/cloud development","Working code file with Exa client initialization and successful semantic search response","Faster developer onboarding, reduced learning curve","Execute first successful Exa semantic search within minutes of setup","true","onboarding","plugins/saas-packs/exa-pack/skills/exa-hello-world/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
exa-search-modes,"Developers, AI engineers, Content analysts","Master Exa search modes including neural, keyword, and auto with appropriate use cases","exa search mode, neural search, keyword search, auto search, exa search type","Claude Code skill; Exa platform; local/cloud development","Implemented all three search modes with proper selection logic based on query type","Optimized search quality for different query types, improved relevance","Select optimal search mode for 95% of query patterns automatically","true","onboarding","plugins/saas-packs/exa-pack/skills/exa-search-modes/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
exa-content-extraction,"Backend developers, Data engineers, Content processors","Configure Exa content extraction with text, highlights, and full page content options","exa contents, exa text extraction, exa highlights, get page content exa","Claude Code skill; Exa platform; local/cloud development","Content extraction configured with appropriate options, clean text output, highlighted snippets working","Reduced downstream processing, structured content ingestion","Extract clean, structured content from 95% of web pages","true","onboarding","plugins/saas-packs/exa-pack/skills/exa-content-extraction/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
exa-sdk-patterns,"Senior developers, Tech leads, Platform engineers","Apply production-ready Exa SDK patterns including client singleton, error handling, and retry logic","exa SDK patterns, exa best practices, exa code patterns, idiomatic exa","Claude Code skill; Exa platform; local/cloud development","Type-safe client singleton, robust error handling, automatic retry with exponential backoff","Reduced production incidents, improved code maintainability","Zero SDK-related production incidents through proper patterns","true","onboarding","plugins/saas-packs/exa-pack/skills/exa-sdk-patterns/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
exa-filters-domains,"Developers, Research analysts, Content curators","Implement domain filtering, date ranges, and category filters for precise search targeting","exa domain filter, exa include domain, exa exclude domain, exa date filter","Claude Code skill; Exa platform; local/cloud development","Domain inclusion/exclusion working, date range filtering configured, category-specific searches operational","Focused search results, reduced noise in results","Filter accuracy of 99% for domain and date constraints","true","onboarding","plugins/saas-packs/exa-pack/skills/exa-filters-domains/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
exa-common-errors,"All Exa developers, Support engineers","Diagnose and fix top 10 most common Exa errors including rate limits, invalid queries, and auth failures","exa error, fix exa, exa not working, debug exa, exa 401, exa 429","Claude Code skill; Exa platform; local/cloud development","Identified error cause, applied fix, verified resolution","Reduced downtime, faster issue resolution, improved developer self-service","Resolve 90% of common errors without escalation","true","operations","plugins/saas-packs/exa-pack/skills/exa-common-errors/","Read, Grep, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
exa-debug-bundle,"Support engineers, DevOps engineers, Senior developers","Collect comprehensive diagnostic information for Exa support tickets including logs, config, and request traces","exa debug, exa support bundle, collect exa logs, exa diagnostic","Claude Code skill; Exa platform; local/cloud development","Debug bundle archive with environment info, redacted logs, request traces, and error analysis","Faster support ticket resolution, better root cause analysis","Generate complete support bundle in under 2 minutes","true","operations","plugins/saas-packs/exa-pack/skills/exa-debug-bundle/","Read, Bash(grep:*), Bash(curl:*), Bash(tar:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
exa-rate-limits,"Backend developers, Performance engineers, Platform engineers","Implement rate limiting, exponential backoff with jitter, and request queuing for Exa API","exa rate limit, exa throttling, exa 429, exa retry, exa backoff","Claude Code skill; Exa platform; local/cloud development","Reliable API calls with automatic retry, proper rate limit header handling, request queuing","Zero rate limit-related outages, improved API reliability","Handle 100% of rate limit scenarios gracefully","true","operations","plugins/saas-packs/exa-pack/skills/exa-rate-limits/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
exa-security-basics,"Security engineers, DevOps engineers, Platform engineers","Apply security best practices for API keys, secrets rotation, and secure request handling","exa security, exa secrets, secure exa, exa API key security, exa key rotation","Claude Code skill; Exa platform; local/cloud development","Secure API key storage, environment-specific access controls, key rotation procedure documented","Reduced security incidents, compliance readiness, protected API access","Zero credential exposure incidents, regular key rotation implemented","true","operations","plugins/saas-packs/exa-pack/skills/exa-security-basics/","Read, Write, Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
