Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
anthropic-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Anthropic SDK/CLI authentication,"anthropic install auth, install and configure anthropic sdk/cli authentication",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic install auth in under 15 minutes,true,onboarding,plugins/saas-packs/anthropic-pack/skills/anthropic-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anthropic-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Anthropic example,"anthropic hello world, create a minimal working anthropic example",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic hello world in under 15 minutes,true,onboarding,plugins/saas-packs/anthropic-pack/skills/anthropic-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anthropic-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Anthropic local development workflow,"anthropic local dev loop, configure anthropic local development workflow",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/anthropic-pack/skills/anthropic-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anthropic-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Anthropic SDK patterns,"anthropic sdk patterns, apply production-ready anthropic sdk patterns",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/anthropic-pack/skills/anthropic-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anthropic-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Anthropic primary workflow,"anthropic primary workflow, execute anthropic primary workflow",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/anthropic-pack/skills/anthropic-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anthropic-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Anthropic core feature integration,"anthropic core feature, implement anthropic core feature integration",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic core feature in under 15 minutes,true,onboarding,plugins/saas-packs/anthropic-pack/skills/anthropic-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anthropic-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Anthropic common errors,"anthropic common errors, diagnose and fix anthropic common errors",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic common errors in under 15 minutes,true,operations,plugins/saas-packs/anthropic-pack/skills/anthropic-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anthropic-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Anthropic debug evidence for support,"anthropic debug bundle, collect anthropic debug evidence for support",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic debug bundle in under 15 minutes,true,operations,plugins/saas-packs/anthropic-pack/skills/anthropic-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anthropic-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Anthropic rate limiting and backoff,"anthropic rate limits, implement anthropic rate limiting and backoff",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic rate limits in under 15 minutes,true,operations,plugins/saas-packs/anthropic-pack/skills/anthropic-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anthropic-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Anthropic security best practices,"anthropic security basics, apply anthropic security best practices",Claude Code skill; Anthropic SDK; local/cloud development,Working Anthropic integration; Tests passing; Documentation updated,Faster Anthropic integration; Reduced errors; Team productivity,Complete Anthropic security basics in under 15 minutes,true,operations,plugins/saas-packs/anthropic-pack/skills/anthropic-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
