Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
brightdata-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Bright Data SDK/CLI authentication,"brightdata install auth, install and configure bright data sdk/cli authentication",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data install auth in under 15 minutes,true,onboarding,plugins/saas-packs/brightdata-pack/skills/brightdata-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
brightdata-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Bright Data example,"brightdata hello world, create a minimal working bright data example",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data hello world in under 15 minutes,true,onboarding,plugins/saas-packs/brightdata-pack/skills/brightdata-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
brightdata-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Bright Data local development workflow,"brightdata local dev loop, configure bright data local development workflow",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/brightdata-pack/skills/brightdata-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
brightdata-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Bright Data SDK patterns,"brightdata sdk patterns, apply production-ready bright data sdk patterns",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/brightdata-pack/skills/brightdata-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
brightdata-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Bright Data primary workflow,"brightdata primary workflow, execute bright data primary workflow",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/brightdata-pack/skills/brightdata-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
brightdata-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Bright Data core feature integration,"brightdata core feature, implement bright data core feature integration",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data core feature in under 15 minutes,true,onboarding,plugins/saas-packs/brightdata-pack/skills/brightdata-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
brightdata-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Bright Data common errors,"brightdata common errors, diagnose and fix bright data common errors",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data common errors in under 15 minutes,true,operations,plugins/saas-packs/brightdata-pack/skills/brightdata-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
brightdata-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Bright Data debug evidence for support,"brightdata debug bundle, collect bright data debug evidence for support",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data debug bundle in under 15 minutes,true,operations,plugins/saas-packs/brightdata-pack/skills/brightdata-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
brightdata-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Bright Data rate limiting and backoff,"brightdata rate limits, implement bright data rate limiting and backoff",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data rate limits in under 15 minutes,true,operations,plugins/saas-packs/brightdata-pack/skills/brightdata-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
brightdata-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Bright Data security best practices,"brightdata security basics, apply bright data security best practices",Claude Code skill; Bright Data SDK; local/cloud development,Working Bright Data integration; Tests passing; Documentation updated,Faster Bright Data integration; Reduced errors; Team productivity,Complete Bright Data security basics in under 15 minutes,true,operations,plugins/saas-packs/brightdata-pack/skills/brightdata-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
