id,name,path,pack_name,has_readme,has_package_json,plugin_json_shape,file_count
1,discovery-questionnaire,plugins/ai-agency/discovery-questionnaire,ai-agency,1,0,"author,description,keywords,license,name,repository,version",14
2,make-scenario-builder,plugins/ai-agency/make-scenario-builder,ai-agency,1,0,"author,description,keywords,license,name,repository,version",15
3,n8n-workflow-designer,plugins/ai-agency/n8n-workflow-designer,ai-agency,1,0,"author,description,keywords,license,name,repository,version",15
4,roi-calculator,plugins/ai-agency/roi-calculator,ai-agency,1,0,"author,description,keywords,license,name,repository,version",14
5,sow-generator,plugins/ai-agency/sow-generator,ai-agency,1,0,"author,description,keywords,license,name,repository,version",14
6,zapier-zap-builder,plugins/ai-agency/zapier-zap-builder,ai-agency,1,0,"author,description,keywords,license,name,repository,version",14
7,ai-ethics-validator,plugins/ai-ml/ai-ethics-validator,ai-ml,1,0,"author,description,keywords,license,name,repository,version",14
8,ai-sdk-agents,plugins/ai-ml/ai-sdk-agents,ai-ml,1,0,"author,description,keywords,license,name,repository,version",20
9,anomaly-detection-system,plugins/ai-ml/anomaly-detection-system,ai-ml,1,0,"author,description,keywords,license,name,repository,version",11
10,automl-pipeline-builder,plugins/ai-ml/automl-pipeline-builder,ai-ml,1,0,"author,description,keywords,license,name,repository,version",15
11,classification-model-builder,plugins/ai-ml/classification-model-builder,ai-ml,1,0,"author,description,keywords,license,name,repository,version",9
12,clustering-algorithm-runner,plugins/ai-ml/clustering-algorithm-runner,ai-ml,1,0,"author,description,keywords,license,name,repository,version",11
13,computer-vision-processor,plugins/ai-ml/computer-vision-processor,ai-ml,1,0,"author,description,keywords,license,name,repository,version",9
14,data-preprocessing-pipeline,plugins/ai-ml/data-preprocessing-pipeline,ai-ml,1,0,"author,description,keywords,license,name,repository,version",13
15,data-visualization-creator,plugins/ai-ml/data-visualization-creator,ai-ml,1,0,"author,description,keywords,license,name,repository,version",9
16,dataset-splitter,plugins/ai-ml/dataset-splitter,ai-ml,1,0,"author,description,keywords,license,name,repository,version",11
17,deep-learning-optimizer,plugins/ai-ml/deep-learning-optimizer,ai-ml,1,0,"author,description,keywords,license,name,repository,version",10
18,experiment-tracking-setup,plugins/ai-ml/experiment-tracking-setup,ai-ml,1,0,"author,description,keywords,license,name,repository,version",8
19,feature-engineering-toolkit,plugins/ai-ml/feature-engineering-toolkit,ai-ml,1,0,"author,description,keywords,license,name,repository,version",12
20,hyperparameter-tuner,plugins/ai-ml/hyperparameter-tuner,ai-ml,1,0,"author,description,keywords,license,name,repository,version",10
21,jeremy-adk-orchestrator,plugins/ai-ml/jeremy-adk-orchestrator,ai-ml,1,0,"author,description,keywords,license,name,repository,version",19
22,jeremy-adk-software-engineer,plugins/ai-ml/jeremy-adk-software-engineer,ai-ml,1,0,"author,description,keywords,license,name,repository,version",6
23,jeremy-gcp-starter-examples,plugins/ai-ml/jeremy-gcp-starter-examples,ai-ml,1,0,"author,description,keywords,license,name,repository,version",12
24,jeremy-genkit-pro,plugins/ai-ml/jeremy-genkit-pro,ai-ml,1,0,"author,description,keywords,license,name,repository,version",12
25,jeremy-vertex-engine,plugins/ai-ml/jeremy-vertex-engine,ai-ml,1,0,"author,description,keywords,license,name,repository,version",12
26,jeremy-vertex-validator,plugins/ai-ml/jeremy-vertex-validator,ai-ml,1,0,"author,description,keywords,license,name,repository,version",17
27,ml-model-trainer,plugins/ai-ml/ml-model-trainer,ai-ml,1,0,"author,description,keywords,license,name,repository,version",11
28,model-deployment-helper,plugins/ai-ml/model-deployment-helper,ai-ml,1,0,"author,description,keywords,license,name,repository,version",8
29,model-evaluation-suite,plugins/ai-ml/model-evaluation-suite,ai-ml,1,0,"author,description,keywords,license,name,repository,version",9
30,model-explainability-tool,plugins/ai-ml/model-explainability-tool,ai-ml,1,0,"author,description,keywords,license,name,repository,version",11
31,model-versioning-tracker,plugins/ai-ml/model-versioning-tracker,ai-ml,1,0,"author,description,keywords,license,name,repository,version",12
32,neural-network-builder,plugins/ai-ml/neural-network-builder,ai-ml,1,0,"author,description,keywords,license,name,repository,version",8
33,nlp-text-analyzer,plugins/ai-ml/nlp-text-analyzer,ai-ml,1,0,"author,description,keywords,license,name,repository,version",12
34,ollama-local-ai,plugins/ai-ml/ollama-local-ai,ai-ml,1,0,"author,description,keywords,license,name,version",8
35,recommendation-engine,plugins/ai-ml/recommendation-engine,ai-ml,1,0,"author,description,keywords,license,name,repository,version",9
36,regression-analysis-tool,plugins/ai-ml/regression-analysis-tool,ai-ml,1,0,"author,description,keywords,license,name,repository,version",13
37,sentiment-analysis-tool,plugins/ai-ml/sentiment-analysis-tool,ai-ml,1,0,"author,description,keywords,license,name,repository,version",10
38,time-series-forecaster,plugins/ai-ml/time-series-forecaster,ai-ml,1,0,"author,description,keywords,license,name,repository,version",11
39,transfer-learning-adapter,plugins/ai-ml/transfer-learning-adapter,ai-ml,1,0,"author,description,keywords,license,name,repository,version",11
40,api-authentication-builder,plugins/api-development/api-authentication-builder,api-development,1,0,"author,description,keywords,license,name,repository,version",22
41,api-batch-processor,plugins/api-development/api-batch-processor,api-development,1,0,"author,description,keywords,license,name,repository,version",21
42,api-cache-manager,plugins/api-development/api-cache-manager,api-development,1,0,"author,description,keywords,license,name,repository,version",21
43,api-contract-generator,plugins/api-development/api-contract-generator,api-development,1,0,"author,description,keywords,license,name,repository,version",21
44,api-documentation-generator,plugins/api-development/api-documentation-generator,api-development,1,0,"author,description,keywords,license,name,repository,version",21
45,api-error-handler,plugins/api-development/api-error-handler,api-development,1,0,"author,description,keywords,license,name,repository,version",20
46,api-event-emitter,plugins/api-development/api-event-emitter,api-development,1,0,"author,description,keywords,license,name,repository,version",21
47,api-gateway-builder,plugins/api-development/api-gateway-builder,api-development,1,0,"author,description,keywords,license,name,repository,version",20
48,api-load-tester,plugins/api-development/api-load-tester,api-development,1,0,"author,description,keywords,license,name,repository,version",22
49,api-migration-tool,plugins/api-development/api-migration-tool,api-development,1,0,"author,description,keywords,license,name,repository,version",22
50,api-mock-server,plugins/api-development/api-mock-server,api-development,1,0,"author,description,keywords,license,name,repository,version",20
51,api-monitoring-dashboard,plugins/api-development/api-monitoring-dashboard,api-development,1,0,"author,description,keywords,license,name,repository,version",21
52,api-rate-limiter,plugins/api-development/api-rate-limiter,api-development,1,0,"author,description,keywords,license,name,repository,version",20
53,api-request-logger,plugins/api-development/api-request-logger,api-development,1,0,"author,description,keywords,license,name,repository,version",20
54,api-response-validator,plugins/api-development/api-response-validator,api-development,1,0,"author,description,keywords,license,name,repository,version",20
55,api-schema-validator,plugins/api-development/api-schema-validator,api-development,1,0,"author,description,keywords,license,name,repository,version",19
56,api-sdk-generator,plugins/api-development/api-sdk-generator,api-development,1,0,"author,description,keywords,license,name,repository,version",18
57,api-security-scanner,plugins/api-development/api-security-scanner,api-development,1,0,"author,description,keywords,license,name,repository,version",21
58,api-throttling-manager,plugins/api-development/api-throttling-manager,api-development,1,0,"author,description,keywords,license,name,repository,version",21
59,api-versioning-manager,plugins/api-development/api-versioning-manager,api-development,1,0,"author,description,keywords,license,name,repository,version",22
60,graphql-server-builder,plugins/api-development/graphql-server-builder,api-development,1,0,"author,description,keywords,license,name,repository,version",18
61,grpc-service-generator,plugins/api-development/grpc-service-generator,api-development,1,0,"author,description,keywords,license,name,repository,version",23
62,rest-api-generator,plugins/api-development/rest-api-generator,api-development,1,0,"author,description,keywords,license,name,repository,version",21
63,webhook-handler-creator,plugins/api-development/webhook-handler-creator,api-development,1,0,"author,description,keywords,license,name,repository,version",21
64,websocket-server-builder,plugins/api-development/websocket-server-builder,api-development,1,0,"author,description,keywords,license,name,repository,version",21
65,mattyp-changelog,plugins/automation/mattyp-changelog,automation,1,0,"author,description,keywords,license,name,repository,version",20
66,brand-strategy-framework,plugins/business-tools/brand-strategy-framework,business-tools,1,0,"author,description,homepage,keywords,license,name,version",3
67,excel-analyst-pro,plugins/business-tools/excel-analyst-pro,business-tools,1,0,"author,description,keywords,license,name,repository,version",31
68,executive-assistant-skills,plugins/business-tools/executive-assistant-skills,business-tools,1,0,"author,description,homepage,keywords,license,name,repository,version",7
69,wondelai-blue-ocean-strategy,plugins/business-tools/wondelai-blue-ocean-strategy,business-tools,1,0,"author,description,keywords,license,name,repository,version",11
70,wondelai-contagious,plugins/business-tools/wondelai-contagious,business-tools,1,0,"author,description,keywords,license,name,repository,version",13
71,wondelai-cro-methodology,plugins/business-tools/wondelai-cro-methodology,business-tools,1,0,"author,description,keywords,license,name,repository,version",10
72,wondelai-crossing-the-chasm,plugins/business-tools/wondelai-crossing-the-chasm,business-tools,1,0,"author,description,keywords,license,name,repository,version",12
73,wondelai-drive-motivation,plugins/business-tools/wondelai-drive-motivation,business-tools,1,0,"author,description,keywords,license,name,repository,version",11
74,wondelai-hundred-million-offers,plugins/business-tools/wondelai-hundred-million-offers,business-tools,1,0,"author,description,keywords,license,name,repository,version",14
75,wondelai-influence-psychology,plugins/business-tools/wondelai-influence-psychology,business-tools,1,0,"author,description,keywords,license,name,repository,version",14
76,wondelai-jobs-to-be-done,plugins/business-tools/wondelai-jobs-to-be-done,business-tools,1,0,"author,description,keywords,license,name,repository,version",9
77,wondelai-made-to-stick,plugins/business-tools/wondelai-made-to-stick,business-tools,1,0,"author,description,keywords,license,name,repository,version",13
78,wondelai-negotiation,plugins/business-tools/wondelai-negotiation,business-tools,1,0,"author,description,keywords,license,name,repository,version",5
79,wondelai-obviously-awesome,plugins/business-tools/wondelai-obviously-awesome,business-tools,1,0,"author,description,keywords,license,name,repository,version",12
80,wondelai-one-page-marketing,plugins/business-tools/wondelai-one-page-marketing,business-tools,1,0,"author,description,keywords,license,name,repository,version",14
81,wondelai-predictable-revenue,plugins/business-tools/wondelai-predictable-revenue,business-tools,1,0,"author,description,keywords,license,name,repository,version",12
82,wondelai-scorecard-marketing,plugins/business-tools/wondelai-scorecard-marketing,business-tools,1,0,"author,description,keywords,license,name,repository,version",8
83,wondelai-storybrand-messaging,plugins/business-tools/wondelai-storybrand-messaging,business-tools,1,0,"author,description,keywords,license,name,repository,version",10
84,wondelai-traction-eos,plugins/business-tools/wondelai-traction-eos,business-tools,1,0,"author,description,keywords,license,name,repository,version",12
85,b12-claude-plugin,plugins/community/b12-claude-plugin,community,1,0,"author,description,homepage,keywords,license,name,repository,version",4
86,claude-never-forgets,plugins/community/claude-never-forgets,community,1,0,"author,description,keywords,license,name,repository,version",16
87,claude-reflect,plugins/community/claude-reflect,community,1,0,"author,description,keywords,license,name,repository,version",13
88,fairdb-ops-manager,plugins/community/fairdb-ops-manager,community,1,0,"author,description,keywords,license,name,repository,version",25
89,gastown,plugins/community/gastown,community,1,0,"author,description,homepage,keywords,license,name,repository,version",11
90,geepers-agents,plugins/community/geepers-agents,community,1,0,"author,description,homepage,keywords,license,name,repository,version",106
91,jeremy-firebase,plugins/community/jeremy-firebase,community,1,0,"author,description,keywords,license,name,repository,version",18
92,jeremy-firestore,plugins/community/jeremy-firestore,community,1,0,"author,description,keywords,license,name,repository,version",9
93,sprint,plugins/community/sprint,community,1,0,"author,description,homepage,keywords,license,name,repository,version",37
94,zai-cli,plugins/community/zai-cli,community,1,0,"author,description,homepage,keywords,license,name,repository,version",6
95,arbitrage-opportunity-finder,plugins/crypto/arbitrage-opportunity-finder,crypto,1,0,"author,description,keywords,license,name,repository,version",27
96,blockchain-explorer-cli,plugins/crypto/blockchain-explorer-cli,crypto,1,0,"author,description,keywords,license,name,repository,version",26
97,cross-chain-bridge-monitor,plugins/crypto/cross-chain-bridge-monitor,crypto,1,0,"author,description,keywords,license,name,repository,version",27
98,crypto-derivatives-tracker,plugins/crypto/crypto-derivatives-tracker,crypto,1,0,"author,description,keywords,license,name,repository,version",28
99,crypto-news-aggregator,plugins/crypto/crypto-news-aggregator,crypto,1,0,"author,description,keywords,license,name,repository,version",27
100,crypto-portfolio-tracker,plugins/crypto/crypto-portfolio-tracker,crypto,1,0,"author,description,keywords,license,name,repository,version",27
