Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
speak-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Speak SDK/CLI authentication,"speak install auth, install and configure speak sdk/cli authentication",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak install auth in under 15 minutes,true,onboarding,plugins/saas-packs/speak-pack/skills/speak-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
speak-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Speak example,"speak hello world, create a minimal working speak example",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak hello world in under 15 minutes,true,onboarding,plugins/saas-packs/speak-pack/skills/speak-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
speak-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Speak local development workflow,"speak local dev loop, configure speak local development workflow",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/speak-pack/skills/speak-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
speak-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Speak SDK patterns,"speak sdk patterns, apply production-ready speak sdk patterns",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/speak-pack/skills/speak-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
speak-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Speak primary workflow,"speak primary workflow, execute speak primary workflow",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/speak-pack/skills/speak-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
speak-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Speak core feature integration,"speak core feature, implement speak core feature integration",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak core feature in under 15 minutes,true,onboarding,plugins/saas-packs/speak-pack/skills/speak-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
speak-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Speak common errors,"speak common errors, diagnose and fix speak common errors",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak common errors in under 15 minutes,true,operations,plugins/saas-packs/speak-pack/skills/speak-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
speak-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Speak debug evidence for support,"speak debug bundle, collect speak debug evidence for support",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak debug bundle in under 15 minutes,true,operations,plugins/saas-packs/speak-pack/skills/speak-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
speak-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Speak rate limiting and backoff,"speak rate limits, implement speak rate limiting and backoff",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak rate limits in under 15 minutes,true,operations,plugins/saas-packs/speak-pack/skills/speak-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
speak-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Speak security best practices,"speak security basics, apply speak security best practices",Claude Code skill; Speak SDK; local/cloud development,Working Speak integration; Tests passing; Documentation updated,Faster Speak integration; Reduced errors; Team productivity,Complete Speak security basics in under 15 minutes,true,operations,plugins/saas-packs/speak-pack/skills/speak-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
