id,field_name,data_types,count,percentage,unique_value_count,value_pattern,sample_values_json,blank_count
1,allowed-tools,"[""list"", ""string""]",1421,99.6,100,free text,"[""AskUserQuestion"", ""Read"", ""Read, Bash(cmd:*), Grep, Glob"", ""Read, Bash(crypto:news-*)"", ""Read, Bash(crypto:sentiment-*)"", ""Read, Bash(monitoring:*), Bash(metrics:*), Bash(logs:*), Grep, Glob"", ""Read, Bash(python3:*)"", ""Read, Bash(python:*), Grep, Glob"", ""Read, Glob, Grep"", ""Read, Grep, Bash(cmd:*)"", ""Read, Grep, Glob, Bash(cmd:*)"", ""Read, Write"", ""Read, Write, Bash(cmd:*)"", ""Read, Write, Bash(cmd:*), Grep"", ""Read, Write, Bash(crypto:liquidity-*)"", ""Read, Write, Bash(crypto:portfolio-*)"", ""Read, Write, Bash(crypto:tax-*)"", ""Read, Write, Bash(crypto:yield-*)"", ""Read, Write, Bash(curl:*), Bash(ping:*), Bash(traceroute:*), Grep"", ""Read, Write, Bash(logs:*), Bash(grep:*), Bash(awk:*), Grep""]",0
2,argument-hint,"[""list"", ""string""]",19,1.3,19,enum-like,"[""<agent-name or project-id>"", ""<bot-token> <app-token>"", ""<plugin-directory-path>"", ""<project-id> <agent-engine-id> [location]"", ""['assumption or experiment']"", ""['competitor or market']"", ""['document type or topic']"", ""['feature name']"", ""['idea or proposal to challenge']"", ""['meeting topic or attendee']"", ""['metric or question']"", ""['project or team']"", ""['system', 'service', 'or file']"", ""['topic or question']"", ""['what to build']"", ""[framework or use-case]"", ""[project-id]"", ""[{'phase': 'absorb/audit/articulate/align'}]"", ""pair <code> | policy <mode> | add <user_id> | remove <user_id> | channel <id> [opts] | status""]",0
3,author,"[""string""]",1421,99.6,14,enum-like,"[""Ahmed Khaled Mohamed <ahmd.khaled.a.mohamed@gmail.com>"", ""B12.io <support@b12.io>"", ""Bayram Annakov <bayram.annakov@gmail.com>"", ""Claude Code Plugins <plugins@claudecodeplugins.io>"", ""Damien Laine <damien.laine@gmail.com>"", ""Jack Reis <hello@jack.digital>"", ""Jake Kozloski <jakozloski@gmail.com>"", ""Jeremy Longshore <jeremy@intentsolutions.io>"", ""Mattyp <mattyp@claudecodeplugins.io>"", ""Numman Ali <numman.ali@gmail.com>"", ""Rowan Brooks <rowanbrooks100@github.com>"", ""Steven Leggett <contact@roboticforce.io>"", ""Wondelai <hello@wondelai.com>"", ""builtbyzac""]",0
4,compatible-with,"[""string""]",1405,98.5,4,enum-like,"[""claude-code"", ""claude-code, codex"", ""claude-code, codex, openclaw"", ""claude-code, cursor, windsurf, aider, continue""]",0
5,description,"[""string""]",1426,100.0,100,free text,"[""A 7-part brand strategy framework for building comprehensive brand foundations.\nTrigger with phrases like \""create brand strategy\"", \""build brand brief\"", \""define brand positioning\"",\n\""brand messaging\"", \"""", ""Analyze budget vs actual variances in Excel with drill-down and root cause analysis.\nUse when performing variance analysis or explaining budget differences.\nTrigger with phrases like 'excel variance',"", ""Analyze datasets by running clustering algorithms (K-means, DBSCAN, hierarchical) to identify data groups. Use when requesting \""run clustering\"", \""cluster analysis\"", or \""group data points\"". Trigger wit"", ""Analyze what customers truly need by discovering the \""job\"" they hire your product to do. Use when the user mentions \""customer discovery\"", \""why customers churn\"", \""what job does this solve\"", \""competing "", ""Apply the six principles of ethical persuasion (reciprocity, commitment, social proof, authority, liking, scarcity) to product design, copy, and sales. Use when the user mentions \""social proof\"", \""pers"", ""Audit websites and landing pages for conversion issues and design evidence-based A/B tests. Use when the user mentions \""landing page isn''t converting\"", \""conversion rate\"", \""A/B test\"", \""why visitors le"", ""Build a complete marketing plan covering the full customer journey from stranger to raving fan. Use when the user mentions \""marketing plan\"", \""target market\"", \""USP\"", \""lead nurture\"", \""customer lifetime "", ""Build a scalable outbound B2B sales process with specialized roles (SDR, AE, CSM). Use when the user mentions \""outbound sales\"", \""Cold Calling 2.0\"", \""prospecting emails\"", \""sales pipeline\"", \""SDR process"", ""Build and evaluate classification models for supervised learning tasks with labeled data. Use when requesting \""build a classifier\"", \""create classification model\"", or \""train classifier\"". Trigger with r"", ""Build automated machine learning pipelines with feature engineering, model selection, and hyperparameter tuning.\nUse when automating ML workflows from data preparation through model deployment.\nTrigge"", ""Build clear brand messaging using narrative structure that positions the customer as hero. Use when the user mentions \""brand message\"", \""website copy\"", \""elevator pitch\"", \""one-liner\"", \""messaging isn''t "", ""Build discounted cash flow (DCF) valuation models in Excel. Use when creating\nDCF models, calculating enterprise value, or valuing companies.\nTrigger with phrases like 'excel dcf', 'build dcf model', "", ""Build event-driven APIs with webhooks, Server-Sent Events, and real-time notifications.\nUse when building event-driven API architectures.\nTrigger with phrases like \""add webhooks\"", \""implement events\"", "", ""Build leveraged buyout (LBO) models in Excel with debt schedules and IRR analysis.\nUse when structuring LBO transactions or analyzing PE returns.\nTrigger with phrases like 'excel lbo', 'build lbo mode"", ""Build product positioning by mapping competitive alternatives, unique attributes, and best-fit customers to the right market category. Use when the user mentions \""positioning\"", \""competitive alternativ"", ""Build production Firebase Genkit applications including RAG systems, multi-step flows, and tool calling for Node.js/Python/Go. Deploy to Firebase Functions or Cloud Run with AI monitoring. Use when as"", ""Build production-ready GraphQL servers with schema design, resolvers, and subscriptions.\nUse when building GraphQL APIs with schemas and resolvers.\nTrigger with phrases like \""build GraphQL API\"", \""crea"", ""Build quiz and assessment funnels that generate qualified leads at 30-50% conversion. Use when the user mentions \""lead magnet\"", \""quiz funnel\"", \""assessment tool\"", \""lead generation\"", or \""score-based seg"", ""Build real-time API monitoring dashboards with metrics, alerts, and health checks.\nUse when tracking API health and performance metrics.\nTrigger with phrases like \""monitor the API\"", \""add API metrics\"","", ""Build scalable WebSocket servers for real-time bidirectional communication.\nUse when enabling real-time bidirectional communication.\nTrigger with phrases like \""build WebSocket server\"", \""add real-time ""]",0
6,effort,"[""string""]",6,0.4,2,enum-like,"[""high"", ""medium""]",0
7,license,"[""string""]",1421,99.6,2,enum-like,"[""Apache-2.0"", ""MIT""]",0
8,model,"[""string""]",2,0.1,1,enum-like,"[""inherit""]",0
9,name,"[""string""]",1426,100.0,100,free text,"[""action-items-todoist"", ""adapting-transfer-learning-models"", ""adk-deployment-specialist"", ""adk-engineer"", ""agent-patterns"", ""analyzing-text-sentiment"", ""analyzing-text-with-nlp"", ""api-contract"", ""blue-ocean-strategy"", ""brand-strategy"", ""building-api-authentication"", ""building-api-gateway"", ""building-automl-pipelines"", ""building-classification-models"", ""building-graphql-server"", ""building-neural-networks"", ""building-recommendation-systems"", ""building-websocket-server"", ""changelog-orchestrator"", ""claude-reflect""]",0
10,tags,"[""list""]",44,3.1,15,enum-like,"[""['box', 'cloud-storage', 'filesystem', 'sync', 'collaboration', 'document-management']"", ""['calendar', 'automation', 'meetings', 'productivity', 'workflow']"", ""['code-generation', 'requirements', 'automation', 'api-design']"", ""['deployment', 'infrastructure', 'automation', 'devops', 'terraform', 'cloud']"", ""['github', 'git', 'beginner', 'intermediate', 'advanced', 'vibe-coding', 'version-control', 'learning', 'onboarding']"", ""['github', 'pull-request', 'ci-cd', 'dashboard', 'devops', 'merge', 'code-review']"", ""['obsidian', 'development', 'hot-reload', 'debugging', 'testing']"", ""['obsidian', 'patterns', 'production', 'typescript', 'best-practices']"", ""['obsidian', 'plugin-development', 'typescript', 'scaffolding']"", ""['obsidian', 'ui-components', 'views', 'modals', 'editor']"", ""['retellai', 'voice-ai', 'saas']"", ""['skill-creation', 'validation', 'meta-tooling']"", ""['slack', 'web-search', 'automation', 'team-communication', 'digest']"", ""['testing', 'cross-browser', 'mobile-testing', 'real-device', 'cloud-testing']"", ""['vertex-ai', 'security', 'compliance', 'validation', 'production-readiness', 'gcp']""]",0
