Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
posthog-install-auth,Developers new to PostHog,Install PostHog SDK and configure authentication with API keys and project setup,When starting a new PostHog integration or adding analytics to an application,Application codebase and PostHog dashboard,SDK installed and authenticated with valid API key; test event successfully captured and visible in dashboard,Analytics foundation established enabling data-driven product decisions from day one,Get PostHog SDK installed and authenticating within 15 minutes,true,Onboarding,posthog-install-auth/SKILL.md,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-hello-world,Developers validating PostHog setup,Send first test event and verify it appears in PostHog dashboard with correct properties,After initial SDK installation to confirm end-to-end connectivity,Application code and PostHog events dashboard,Test event captured with all expected properties; event visible in live events stream within 30 seconds,Proof of concept validated confirming analytics pipeline is operational,Capture and verify first event in PostHog within 5 minutes,true,Onboarding,posthog-hello-world/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-local-dev-loop,Developers setting up local PostHog development,Configure local development environment with PostHog including debug mode and event inspection,When establishing local development workflow for PostHog-integrated applications,Local development environment and PostHog project,Debug mode enabled showing captured events in console; local events flowing to development PostHog project,Efficient development workflow enabling rapid iteration on analytics implementation,Establish functional local PostHog development loop in 20 minutes,true,Onboarding,posthog-local-dev-loop/SKILL.md,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-common-errors,Developers troubleshooting PostHog integration issues,Diagnose and resolve common PostHog SDK errors including initialization failures and event capture issues,When encountering errors during PostHog integration or event tracking,Application logs and PostHog SDK configuration,Error identified and resolved; events flowing correctly; no console errors related to PostHog,Reduced debugging time and faster time-to-value for analytics implementation,Resolve common PostHog errors within 10 minutes,true,Onboarding,posthog-common-errors/SKILL.md,"Read, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-known-pitfalls,Developers avoiding PostHog integration mistakes,Learn and prevent common PostHog implementation mistakes including property naming and user identification issues,Before major PostHog implementation work or during code review,Codebase and PostHog implementation patterns,Implementation follows PostHog best practices; no known anti-patterns present in code,Higher quality analytics data from the start; reduced technical debt,Identify and prevent PostHog pitfalls before they cause issues,true,Onboarding,posthog-known-pitfalls/SKILL.md,"Read, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-event-tracking,Product and engineering teams implementing analytics,Implement comprehensive event tracking strategy with proper naming conventions and properties,When building out product analytics coverage across application features,Application codebase and PostHog events configuration,Events captured with consistent naming convention; all key user actions tracked with relevant properties,Complete visibility into user behavior enabling product insights and optimization,Implement event tracking for key user flows within 1 hour,true,Operations,posthog-event-tracking/SKILL.md,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-feature-flags,Engineering teams implementing feature management,Configure and implement PostHog feature flags for controlled rollouts and A/B testing,When launching new features or running experiments,Application code and PostHog feature flags dashboard,Feature flags created and integrated; targeting rules working correctly; fallback behavior verified,Controlled feature releases reducing deployment risk and enabling experimentation,Set up feature flag with targeting rules in 30 minutes,true,Operations,posthog-feature-flags/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-session-replay,Product teams implementing user session analysis,Configure PostHog session recording to capture user sessions for debugging and UX analysis,When needing visibility into actual user behavior and experience,Application frontend and PostHog session replay configuration,Session recordings capturing successfully; privacy controls configured; recordings accessible in dashboard,Direct visibility into user experience enabling faster UX improvements and bug identification,Enable session replay with privacy controls in 30 minutes,true,Operations,posthog-session-replay/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-funnels-analysis,Product analysts creating conversion analysis,Build and analyze conversion funnels to understand user journey and identify drop-off points,When analyzing user conversion flows or optimizing key user journeys,PostHog dashboard and funnel insights,Funnel created with relevant steps; conversion rates calculated; drop-off points identified,Actionable insights into conversion bottlenecks driving product optimization priorities,Create and analyze conversion funnel in 20 minutes,true,Operations,posthog-funnels-analysis/SKILL.md,"Read, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-cohorts-setup,Product and marketing teams segmenting users,Create and configure user cohorts for targeted analysis and feature flag targeting,When needing to segment users for analysis or targeted feature releases,PostHog dashboard cohorts section,Cohorts defined with correct criteria; cohort membership updating correctly; usable in feature flags and insights,Precise user segmentation enabling targeted product decisions and personalized experiences,Create behavioral cohort with dynamic membership in 15 minutes,true,Operations,posthog-cohorts-setup/SKILL.md,"Read, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-ci-integration,DevOps engineers automating PostHog in CI/CD,Integrate PostHog SDK updates and feature flag checks into CI/CD pipelines,When automating analytics deployment and feature flag management,CI/CD configuration files and PostHog API,CI pipeline includes PostHog validation steps; feature flags can be toggled via CI; automated testing includes analytics verification,Reliable automated deployment of analytics changes reducing manual intervention,Configure PostHog CI integration in 45 minutes,true,CI/CD,posthog-ci-integration/SKILL.md,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
posthog-multi-env-setup,Platform engineers managing PostHog across environments,Configure PostHog for multiple environments with proper project separation and environment variables,When managing development staging and production PostHog instances,Environment configuration and PostHog projects,Separate PostHog projects per environment; environment variables correctly configured; no cross-environment data pollution,Clean analytics data per environment enabling accurate production insights,Set up multi-environment PostHog configuration in 30 minutes,true,CI/CD,posthog-multi-env-setup/SKILL.md,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
