Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
deepgram-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Deepgram SDK/CLI authentication,"deepgram install auth, install and configure deepgram sdk/cli authentication",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram install auth in under 15 minutes,true,onboarding,plugins/saas-packs/deepgram-pack/skills/deepgram-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
deepgram-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Deepgram example,"deepgram hello world, create a minimal working deepgram example",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram hello world in under 15 minutes,true,onboarding,plugins/saas-packs/deepgram-pack/skills/deepgram-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
deepgram-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Deepgram local development workflow,"deepgram local dev loop, configure deepgram local development workflow",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/deepgram-pack/skills/deepgram-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
deepgram-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Deepgram SDK patterns,"deepgram sdk patterns, apply production-ready deepgram sdk patterns",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/deepgram-pack/skills/deepgram-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
deepgram-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Deepgram primary workflow,"deepgram primary workflow, execute deepgram primary workflow",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/deepgram-pack/skills/deepgram-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
deepgram-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Deepgram core feature integration,"deepgram core feature, implement deepgram core feature integration",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram core feature in under 15 minutes,true,onboarding,plugins/saas-packs/deepgram-pack/skills/deepgram-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
deepgram-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Deepgram common errors,"deepgram common errors, diagnose and fix deepgram common errors",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram common errors in under 15 minutes,true,operations,plugins/saas-packs/deepgram-pack/skills/deepgram-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
deepgram-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Deepgram debug evidence for support,"deepgram debug bundle, collect deepgram debug evidence for support",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram debug bundle in under 15 minutes,true,operations,plugins/saas-packs/deepgram-pack/skills/deepgram-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
deepgram-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Deepgram rate limiting and backoff,"deepgram rate limits, implement deepgram rate limiting and backoff",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram rate limits in under 15 minutes,true,operations,plugins/saas-packs/deepgram-pack/skills/deepgram-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
deepgram-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Deepgram security best practices,"deepgram security basics, apply deepgram security best practices",Claude Code skill; Deepgram SDK; local/cloud development,Working Deepgram integration; Tests passing; Documentation updated,Faster Deepgram integration; Reduced errors; Team productivity,Complete Deepgram security basics in under 15 minutes,true,operations,plugins/saas-packs/deepgram-pack/skills/deepgram-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
