Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
vercel-install-auth,"Frontend developers, DevOps engineers, Platform engineers","Install and configure Vercel SDK/CLI authentication including API key setup and connection verification","install vercel, setup vercel, vercel auth, configure vercel API key","Claude Code skill; Vercel platform; local/cloud development","Installed SDK package, configured environment variable or .env file, successful connection verification output","Reduced setup time, standardized authentication across team","Complete Vercel SDK setup in under 5 minutes with verified connection","true","onboarding","plugins/saas-packs/vercel-pack/skills/vercel-install-auth/","Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
vercel-hello-world,"New Vercel users, Developers learning Vercel API","Create a minimal working Vercel example demonstrating core API patterns","vercel hello world, vercel example, vercel quick start, simple vercel code","Claude Code skill; Vercel platform; local/cloud development","Working code file with Vercel client initialization and successful API response","Faster developer onboarding, reduced learning curve","Execute first successful Vercel API call within minutes of setup","true","onboarding","plugins/saas-packs/vercel-pack/skills/vercel-hello-world/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
vercel-local-dev-loop,"Frontend developers, Full-stack developers","Configure Vercel local development with hot reload, testing, and fast iteration cycles","vercel dev setup, vercel local development, vercel dev environment, develop with vercel","Claude Code skill; Vercel platform; local/cloud development","Working development environment with hot reload, configured test suite, environment variable management","Faster development cycles, improved developer productivity","Achieve sub-second hot reload for Vercel development changes","true","onboarding","plugins/saas-packs/vercel-pack/skills/vercel-local-dev-loop/","Read, Write, Edit, Bash(npm:*), Bash(pnpm:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
vercel-sdk-patterns,"Senior developers, Tech leads, Platform engineers","Apply production-ready Vercel SDK patterns including singleton, error handling, and retry logic","vercel SDK patterns, vercel best practices, vercel code patterns, idiomatic vercel","Claude Code skill; Vercel platform; local/cloud development","Type-safe client singleton, robust error handling, automatic retry with exponential backoff, runtime validation","Reduced production incidents, improved code maintainability","Zero SDK-related production incidents through proper patterns","true","onboarding","plugins/saas-packs/vercel-pack/skills/vercel-sdk-patterns/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
vercel-deploy-preview,"Frontend developers, DevOps engineers, QA engineers","Deploy preview environments for pull requests and branches - instant previews for every commit","vercel deploy preview, create preview deployment with vercel","Claude Code skill; Vercel platform; local/cloud development","Completed deploy preview with accessible URL and stakeholder sharing capability","Faster PR reviews, reduced integration issues, improved collaboration","Deploy preview available within 60 seconds of commit","true","onboarding","plugins/saas-packs/vercel-pack/skills/vercel-deploy-preview/","Read, Write, Edit, Bash(npm:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
vercel-edge-functions,"Frontend developers, Performance engineers","Build and deploy Edge Functions for ultra-low latency API routes running close to users worldwide","vercel edge function, deploy edge function with vercel","Claude Code skill; Vercel platform; local/cloud development","Completed Edge Functions with sub-50ms response times","Improved user experience, reduced latency globally","Achieve <50ms P95 latency for Edge Function responses","true","onboarding","plugins/saas-packs/vercel-pack/skills/vercel-edge-functions/","Read, Write, Edit, Bash(npm:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
vercel-common-errors,"All Vercel developers, Support engineers","Diagnose and fix top 10 most common Vercel errors including build failures, timeouts, and domain issues","vercel error, fix vercel, vercel not working, debug vercel","Claude Code skill; Vercel platform; local/cloud development","Identified error cause, applied fix, verified resolution","Reduced downtime, faster issue resolution, improved developer self-service","Resolve 90% of common errors without escalation","true","operations","plugins/saas-packs/vercel-pack/skills/vercel-common-errors/","Read, Grep, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
vercel-debug-bundle,"Support engineers, DevOps engineers, Senior developers","Collect comprehensive diagnostic information for Vercel support tickets including logs, config, and network tests","vercel debug, vercel support bundle, collect vercel logs, vercel diagnostic","Claude Code skill; Vercel platform; local/cloud development","Debug bundle archive with environment info, redacted logs, config, and network test results","Faster support ticket resolution, better root cause analysis","Generate complete support bundle in under 2 minutes","true","operations","plugins/saas-packs/vercel-pack/skills/vercel-debug-bundle/","Read, Bash(grep:*), Bash(curl:*), Bash(tar:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
vercel-rate-limits,"Backend developers, Performance engineers, Platform engineers","Implement rate limiting, exponential backoff with jitter, and idempotency patterns for Vercel API","vercel rate limit, vercel throttling, vercel 429, vercel retry, vercel backoff","Claude Code skill; Vercel platform; local/cloud development","Reliable API calls with automatic retry, idempotent requests, proper rate limit header handling","Zero rate limit-related outages, improved API reliability","Handle 100% of rate limit scenarios gracefully","true","operations","plugins/saas-packs/vercel-pack/skills/vercel-rate-limits/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
vercel-security-basics,"Security engineers, DevOps engineers, Platform engineers","Apply security best practices for API keys, secrets rotation, least privilege access, and webhook verification","vercel security, vercel secrets, secure vercel, vercel API key security","Claude Code skill; Vercel platform; local/cloud development","Secure API key storage, environment-specific access controls, audit logging enabled","Reduced security incidents, compliance readiness, protected customer data","Zero credential exposure incidents, 100% webhook signature verification","true","operations","plugins/saas-packs/vercel-pack/skills/vercel-security-basics/","Read, Write, Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
