# Example Cost Report - Cloud Cost Optimizer Plugin
# This file demonstrates the format of cost reports generated by the plugin.
# Replace the placeholders with actual data from your cloud provider.

# Fields: Date, Account ID, Resource ID, Resource Type, Region, Service, Cost, Currency, Usage Unit, Usage Amount

Date,Account ID,Resource ID,Resource Type,Region,Service,Cost,Currency,Usage Unit,Usage Amount
2024-01-01,123456789012,i-0abcdef1234567890,EC2 Instance,us-east-1,Compute,10.50,USD,Instance Hour,168
2024-01-01,123456789012,arn:aws:s3:::my-bucket,S3 Bucket,us-east-1,Storage,2.75,USD,GB-Month,100
2024-01-02,123456789012,i-0abcdef1234567890,EC2 Instance,us-east-1,Compute,10.50,USD,Instance Hour,168
2024-01-02,123456789012,arn:aws:s3:::my-bucket,S3 Bucket,us-east-1,Storage,2.75,USD,GB-Month,100
2024-01-03,123456789012,i-0abcdef1234567890,EC2 Instance,us-east-1,Compute,10.50,USD,Instance Hour,168
2024-01-03,123456789012,arn:aws:s3:::my-bucket,S3 Bucket,us-east-1,Storage,2.75,USD,GB-Month,100
2024-01-04,123456789012,i-0abcdef1234567890,EC2 Instance,us-east-1,Compute,10.50,USD,Instance Hour,168
2024-01-04,123456789012,arn:aws:s3:::my-bucket,S3 Bucket,us-east-1,Storage,2.75,USD,GB-Month,100
2024-01-05,123456789012,i-0abcdef1234567890,EC2 Instance,us-east-1,Compute,10.50,USD,Instance Hour,168
2024-01-05,123456789012,arn:aws:s3:::my-bucket,S3 Bucket,us-east-1,Storage,2.75,USD,GB-Month,100
2024-01-06,123456789012,i-0abcdef1234567890,EC2 Instance,us-east-1,Compute,10.50,USD,Instance Hour,168
2024-01-06,123456789012,arn:aws:s3:::my-bucket,S3 Bucket,us-east-1,Storage,2.75,USD,GB-Month,100
2024-01-07,123456789012,i-0abcdef1234567890,EC2 Instance,us-east-1,Compute,10.50,USD,Instance Hour,168
2024-01-07,123456789012,arn:aws:s3:::my-bucket,S3 Bucket,us-east-1,Storage,2.75,USD,GB-Month,100
# Add more rows as needed. Make sure the data types match the column headers.
# Consider adding columns for tags or other relevant metadata.
