Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
salesforce-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Salesforce SDK/CLI authentication,"salesforce install auth, install and configure salesforce sdk/cli authentication",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce install auth in under 15 minutes,true,onboarding,plugins/saas-packs/salesforce-pack/skills/salesforce-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesforce-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Salesforce example,"salesforce hello world, create a minimal working salesforce example",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce hello world in under 15 minutes,true,onboarding,plugins/saas-packs/salesforce-pack/skills/salesforce-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesforce-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Salesforce local development workflow,"salesforce local dev loop, configure salesforce local development workflow",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/salesforce-pack/skills/salesforce-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesforce-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Salesforce SDK patterns,"salesforce sdk patterns, apply production-ready salesforce sdk patterns",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/salesforce-pack/skills/salesforce-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesforce-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Salesforce primary workflow,"salesforce primary workflow, execute salesforce primary workflow",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/salesforce-pack/skills/salesforce-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesforce-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Salesforce core feature integration,"salesforce core feature, implement salesforce core feature integration",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce core feature in under 15 minutes,true,onboarding,plugins/saas-packs/salesforce-pack/skills/salesforce-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesforce-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Salesforce common errors,"salesforce common errors, diagnose and fix salesforce common errors",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce common errors in under 15 minutes,true,operations,plugins/saas-packs/salesforce-pack/skills/salesforce-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesforce-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Salesforce debug evidence for support,"salesforce debug bundle, collect salesforce debug evidence for support",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce debug bundle in under 15 minutes,true,operations,plugins/saas-packs/salesforce-pack/skills/salesforce-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesforce-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Salesforce rate limiting and backoff,"salesforce rate limits, implement salesforce rate limiting and backoff",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce rate limits in under 15 minutes,true,operations,plugins/saas-packs/salesforce-pack/skills/salesforce-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesforce-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Salesforce security best practices,"salesforce security basics, apply salesforce security best practices",Claude Code skill; Salesforce SDK; local/cloud development,Working Salesforce integration; Tests passing; Documentation updated,Faster Salesforce integration; Reduced errors; Team productivity,Complete Salesforce security basics in under 15 minutes,true,operations,plugins/saas-packs/salesforce-pack/skills/salesforce-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
