Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
vastai-install-auth,"ML engineers, data scientists, DevOps teams","Set up Vast.ai CLI and API authentication with SSH keys and API tokens","Starting new ML projects or onboarding team members to GPU cloud","Local workstations and CI/CD environments connecting to Vast.ai platform","CLI installed and authenticated; API key validated; SSH keys configured for instance access; test instance launch succeeds","Team can provision GPU resources within 5 minutes of onboarding; reduced support tickets for auth issues","Enable frictionless Vast.ai onboarding with secure credential management","Yes - production API keys and SSH configurations",Onboarding,vastai-install-auth,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-hello-world,"New Vast.ai users, ML beginners, solution architects evaluating platform","Launch first GPU instance, run basic CUDA/PyTorch verification, and terminate cleanly","Initial platform exploration or proof-of-concept validation","Vast.ai marketplace with any NVIDIA GPU instance","Instance launches within 60 seconds; CUDA toolkit accessible; PyTorch detects GPU correctly; instance terminates without orphan resources","Stakeholders see working GPU demo; platform viability confirmed for ML workloads","Demonstrate end-to-end GPU rental workflow in under 10 minutes","No - exploratory/demo use case",Onboarding,vastai-hello-world,"Read, Write, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-local-dev-loop,"ML engineers iterating on training code, researchers experimenting with models","Configure local development environment that mirrors Vast.ai instances for rapid iteration","During model development before committing to paid GPU time","Local Docker environment with NVIDIA Container Toolkit or CPU fallback","Local container matches Vast.ai image; code syncs bidirectionally; GPU detected when available; pytest passes locally","Reduced GPU costs by validating code locally first; faster iteration cycles","Minimize wasted GPU hours through local validation","No - local development environment",Onboarding,vastai-local-dev-loop,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-common-errors,"All Vast.ai users encountering issues, support engineers","Diagnose and resolve frequent Vast.ai errors including SSH failures, OOM, and bid rejections","When encountering cryptic errors or unexpected instance behavior","Vast.ai instances and local CLI environments","Error root cause identified; resolution applied; instance restored or restarted successfully","Reduced mean time to resolution; fewer escalations to Vast.ai support","Build error resolution muscle memory for common failure modes","Yes - production troubleshooting",Onboarding,vastai-common-errors,"Read, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-known-pitfalls,"Teams scaling Vast.ai usage, engineers new to spot GPU markets","Avoid common mistakes like insufficient disk allocation, wrong instance types, and bid strategies","Before launching production workloads or scaling training jobs","Vast.ai instance configuration and marketplace bidding","Instance specs match workload requirements; no OOM or disk full errors; bid strategy optimizes cost vs availability","Reduced failed training runs; optimized GPU spend; predictable job completion times","Prevent costly mistakes through proactive guidance","Yes - production planning",Onboarding,vastai-known-pitfalls,"Read, Write",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-data-handling,"ML engineers managing training datasets, data engineers building pipelines","Efficiently transfer large datasets to/from Vast.ai instances using rsync, rclone, or cloud storage","When training on datasets larger than 10GB or requiring persistent storage","Between local storage, cloud buckets (S3/GCS), and Vast.ai instance volumes","Data transfers complete with integrity verification; bandwidth optimized; persistent volumes configured correctly","Training jobs start faster; reduced data transfer costs; no data loss incidents","Master high-performance data movement for GPU workloads","Yes - production data pipelines",Operations,vastai-data-handling,"Read, Write, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-security-basics,"Security-conscious teams, enterprise ML engineers, compliance officers","Implement security best practices including SSH hardening, API key rotation, and network isolation","When handling sensitive data or meeting compliance requirements on Vast.ai","Vast.ai instances and credential management systems","SSH keys rotated regularly; API keys scoped minimally; instances isolated; audit logs enabled","Compliance requirements met; no security incidents; successful security audits","Establish security baseline for GPU cloud operations","Yes - production security controls",Operations,vastai-security-basics,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-rate-limits,"High-volume API users, automated pipeline operators, platform integrators","Understand and work within Vast.ai API rate limits with proper backoff and retry logic","When building automated systems or experiencing API throttling","Application code interfacing with Vast.ai API","Retry logic with exponential backoff implemented; rate limit errors handled gracefully; no dropped requests","Automated systems run reliably; no job failures due to throttling; predictable API behavior","Build resilient integrations that respect platform limits","Yes - production API integration",Operations,vastai-rate-limits,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-sdk-patterns,"Python developers building Vast.ai integrations, ML platform engineers","Use vastai Python SDK effectively with proper error handling and resource cleanup","When building programmatic Vast.ai workflows or custom tooling","Python applications and notebooks interfacing with Vast.ai","SDK calls wrapped with proper exception handling; resources cleaned up on exit; connection pooling optimized","Reduced integration bugs; faster feature development; maintainable codebase","Write production-quality Vast.ai integration code","Yes - production SDK usage",Operations,vastai-sdk-patterns,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-webhooks-events,"Platform engineers building ML infrastructure, automation specialists","Configure webhooks for instance lifecycle events and integrate with monitoring systems","When building event-driven ML pipelines or automated responses to instance state changes","Vast.ai webhook endpoints and receiving infrastructure","Webhooks configured and validated; events processed reliably; retry logic handles failures","Automated responses to instance events; proactive issue detection; reduced manual monitoring","Enable event-driven GPU infrastructure automation","Yes - production event handling",Operations,vastai-webhooks-events,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-ci-integration,"DevOps engineers, MLOps teams, platform engineers","Integrate Vast.ai GPU provisioning into CI/CD pipelines for automated model training and testing","When automating ML workflows in GitHub Actions, GitLab CI, or Jenkins","CI/CD pipeline configurations and Vast.ai API","CI jobs provision GPU instances on-demand; training completes automatically; instances terminate on job completion","Automated model training pipeline; reproducible experiments; no manual GPU provisioning","Achieve fully automated GPU CI/CD workflows","Yes - production CI/CD",CI/CD,vastai-ci-integration,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-multi-env-setup,"Teams with dev/staging/prod environments, enterprise ML organizations","Configure isolated Vast.ai environments with separate credentials and resource quotas","When establishing environment separation for ML development lifecycle","Multiple Vast.ai accounts or projects with distinct configurations","Each environment has isolated credentials; resource quotas enforced; promotion path defined","Clear separation of concerns; reduced risk of production incidents; auditable deployments","Implement proper environment isolation for GPU workloads","Yes - multi-environment production",CI/CD,vastai-multi-env-setup,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-deploy-pipeline,"MLOps engineers, release managers, platform teams","Build end-to-end deployment pipelines for ML models using Vast.ai for training and inference","When productionizing ML models with GPU requirements","CI/CD systems, model registries, and Vast.ai instances","Models trained, validated, and deployed automatically; rollback capability tested; monitoring integrated","Faster time to production for ML models; reduced deployment errors; consistent release process","Establish repeatable ML deployment workflows on GPU cloud","Yes - production deployment",CI/CD,vastai-deploy-pipeline,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-prod-checklist,"Teams launching production ML systems, technical leads, SREs","Validate production readiness with comprehensive checklist covering reliability, security, and observability","Before promoting ML workloads to production on Vast.ai","Production Vast.ai instances and supporting infrastructure","All checklist items verified; monitoring alerts configured; runbooks documented; backup strategy tested","Reduced production incidents; faster incident response; stakeholder confidence","Ensure production-grade GPU deployments","Yes - production readiness",CI/CD,vastai-prod-checklist,"Read, Write",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-upgrade-migration,"Teams upgrading Vast.ai SDK, engineers migrating instance types","Safely upgrade SDK versions and migrate between instance types without disruption","When new SDK versions release or better GPU options become available","Existing Vast.ai integrations and running instances","Upgrade completes without breaking changes; migration validates successfully; rollback tested","Zero-downtime upgrades; access to new features; optimized GPU selection","Execute safe upgrades and migrations for GPU infrastructure","Yes - production maintenance",CI/CD,vastai-upgrade-migration,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-observability,"SREs, MLOps engineers, platform teams","Implement comprehensive observability for Vast.ai workloads including metrics, logs, and traces","When operating production ML systems requiring visibility into GPU utilization and job health","Monitoring systems (Prometheus/Grafana/Datadog) and Vast.ai instances","GPU metrics collected; custom dashboards created; alerting rules defined; log aggregation working","Proactive issue detection; capacity planning data; SLA compliance tracking","Achieve full visibility into GPU cloud operations","Yes - production monitoring",Enterprise,vastai-observability,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-cost-tuning,"FinOps teams, budget-conscious ML teams, engineering managers","Optimize Vast.ai spending through spot bidding strategies, right-sizing, and usage analysis","When GPU costs exceed budget or seeking to maximize training throughput per dollar","Vast.ai billing data, instance configurations, and marketplace pricing","Cost per training run reduced; utilization improved; spending predictable; waste eliminated","GPU budget stays within limits; ROI on ML compute improved; cost allocation accurate","Minimize GPU cloud costs while maintaining performance","Yes - production cost management",Enterprise,vastai-cost-tuning,"Read, Write, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-load-scale,"Platform engineers handling variable ML workloads, training at scale teams","Implement auto-scaling patterns for Vast.ai instances based on job queue depth or training demands","When workload varies significantly or running distributed training jobs","Vast.ai instances coordinated with job queues and orchestration systems","Auto-scaling responds to demand; instances terminate when idle; distributed training coordinates correctly","Handle peak training loads automatically; optimize costs during low demand; meet SLAs","Build elastic GPU infrastructure that scales with demand","Yes - production auto-scaling",Enterprise,vastai-load-scale,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-enterprise-rbac,"Enterprise security teams, platform administrators, compliance engineers","Configure role-based access control for Vast.ai across teams with audit logging and policy enforcement","When multiple teams share Vast.ai resources or compliance requires access controls","Vast.ai team management and integration with identity providers","RBAC policies enforced; audit logs captured; least-privilege access verified; SSO integrated","Compliance requirements satisfied; clear accountability; reduced insider threat risk","Implement enterprise-grade access control for GPU resources","Yes - enterprise security",Enterprise,vastai-enterprise-rbac,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-reference-architecture,"Solution architects, technical leads, enterprise planners","Design and document reference architectures for Vast.ai-based ML platforms","When planning new ML platform implementations or standardizing existing deployments","Architecture documentation and Vast.ai integration patterns","Reference architecture documented; decision rationale captured; component interactions defined","Faster project starts; consistent implementations; reduced architectural debt","Establish proven patterns for GPU cloud architecture","Yes - production architecture",Enterprise,vastai-reference-architecture,"Read, Write",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
vastai-advanced-troubleshooting,"Senior engineers debugging complex issues, SREs handling escalations","Diagnose and resolve complex Vast.ai issues including CUDA errors, networking problems, and performance degradation","When standard troubleshooting fails or issues span multiple components","Vast.ai instances, host systems, and networking infrastructure","Root cause identified for complex issues; performance restored; preventive measures documented","Reduced escalation time; fewer repeat incidents; improved system reliability","Master advanced debugging for GPU cloud infrastructure","Yes - production troubleshooting",Advanced,vastai-advanced-troubleshooting,"Read, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
