Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
ramp-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Ramp SDK/CLI authentication,"ramp install auth, install and configure ramp sdk/cli authentication",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp install auth in under 15 minutes,true,onboarding,plugins/saas-packs/ramp-pack/skills/ramp-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
ramp-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Ramp example,"ramp hello world, create a minimal working ramp example",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp hello world in under 15 minutes,true,onboarding,plugins/saas-packs/ramp-pack/skills/ramp-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
ramp-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Ramp local development workflow,"ramp local dev loop, configure ramp local development workflow",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/ramp-pack/skills/ramp-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
ramp-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Ramp SDK patterns,"ramp sdk patterns, apply production-ready ramp sdk patterns",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/ramp-pack/skills/ramp-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
ramp-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Ramp primary workflow,"ramp primary workflow, execute ramp primary workflow",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/ramp-pack/skills/ramp-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
ramp-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Ramp core feature integration,"ramp core feature, implement ramp core feature integration",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp core feature in under 15 minutes,true,onboarding,plugins/saas-packs/ramp-pack/skills/ramp-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
ramp-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Ramp common errors,"ramp common errors, diagnose and fix ramp common errors",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp common errors in under 15 minutes,true,operations,plugins/saas-packs/ramp-pack/skills/ramp-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
ramp-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Ramp debug evidence for support,"ramp debug bundle, collect ramp debug evidence for support",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp debug bundle in under 15 minutes,true,operations,plugins/saas-packs/ramp-pack/skills/ramp-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
ramp-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Ramp rate limiting and backoff,"ramp rate limits, implement ramp rate limiting and backoff",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp rate limits in under 15 minutes,true,operations,plugins/saas-packs/ramp-pack/skills/ramp-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
ramp-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Ramp security best practices,"ramp security basics, apply ramp security best practices",Claude Code skill; Ramp SDK; local/cloud development,Working Ramp integration; Tests passing; Documentation updated,Faster Ramp integration; Reduced errors; Team productivity,Complete Ramp security basics in under 15 minutes,true,operations,plugins/saas-packs/ramp-pack/skills/ramp-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
