Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
miro-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Miro SDK/CLI authentication,"miro install auth, install and configure miro sdk/cli authentication",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro install auth in under 15 minutes,true,onboarding,plugins/saas-packs/miro-pack/skills/miro-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Miro example,"miro hello world, create a minimal working miro example",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro hello world in under 15 minutes,true,onboarding,plugins/saas-packs/miro-pack/skills/miro-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Miro local development workflow,"miro local dev loop, configure miro local development workflow",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/miro-pack/skills/miro-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Miro SDK patterns,"miro sdk patterns, apply production-ready miro sdk patterns",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/miro-pack/skills/miro-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Miro primary workflow,"miro primary workflow, execute miro primary workflow",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/miro-pack/skills/miro-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Miro core feature integration,"miro core feature, implement miro core feature integration",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro core feature in under 15 minutes,true,onboarding,plugins/saas-packs/miro-pack/skills/miro-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Miro common errors,"miro common errors, diagnose and fix miro common errors",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro common errors in under 15 minutes,true,operations,plugins/saas-packs/miro-pack/skills/miro-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Miro debug evidence for support,"miro debug bundle, collect miro debug evidence for support",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro debug bundle in under 15 minutes,true,operations,plugins/saas-packs/miro-pack/skills/miro-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Miro rate limiting and backoff,"miro rate limits, implement miro rate limiting and backoff",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro rate limits in under 15 minutes,true,operations,plugins/saas-packs/miro-pack/skills/miro-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Miro security best practices,"miro security basics, apply miro security best practices",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro security basics in under 15 minutes,true,operations,plugins/saas-packs/miro-pack/skills/miro-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Miro production deployment checklist,"miro prod checklist, execute miro production deployment checklist",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro prod checklist in under 15 minutes,true,operations,plugins/saas-packs/miro-pack/skills/miro-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Miro SDK upgrades,"miro upgrade migration, plan and execute miro sdk upgrades",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/miro-pack/skills/miro-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Miro CI/CD integration,"miro ci integration, configure miro ci/cd integration",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro ci integration in under 15 minutes,true,cicd,plugins/saas-packs/miro-pack/skills/miro-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Miro integrations to production,"miro deploy pipeline, deploy miro integrations to production",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/miro-pack/skills/miro-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Miro webhook handling,"miro webhooks events, implement miro webhook handling",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/miro-pack/skills/miro-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Miro API performance,"miro performance tuning, optimize miro api performance",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/miro-pack/skills/miro-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Miro costs and usage,"miro cost tuning, optimize miro costs and usage",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/miro-pack/skills/miro-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
miro-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Miro reference architecture,"miro reference architecture, implement miro reference architecture",Claude Code skill; Miro SDK; local/cloud development,Working Miro integration; Tests passing; Documentation updated,Faster Miro integration; Reduced errors; Team productivity,Complete Miro reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/miro-pack/skills/miro-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
