Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
procore-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Procore SDK/CLI authentication,"procore install auth, install and configure procore sdk/cli authentication",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore install auth in under 15 minutes,true,onboarding,plugins/saas-packs/procore-pack/skills/procore-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Procore example,"procore hello world, create a minimal working procore example",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore hello world in under 15 minutes,true,onboarding,plugins/saas-packs/procore-pack/skills/procore-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Procore local development workflow,"procore local dev loop, configure procore local development workflow",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/procore-pack/skills/procore-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Procore SDK patterns,"procore sdk patterns, apply production-ready procore sdk patterns",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/procore-pack/skills/procore-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Procore primary workflow,"procore primary workflow, execute procore primary workflow",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/procore-pack/skills/procore-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Procore core feature integration,"procore core feature, implement procore core feature integration",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore core feature in under 15 minutes,true,onboarding,plugins/saas-packs/procore-pack/skills/procore-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Procore common errors,"procore common errors, diagnose and fix procore common errors",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore common errors in under 15 minutes,true,operations,plugins/saas-packs/procore-pack/skills/procore-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Procore debug evidence for support,"procore debug bundle, collect procore debug evidence for support",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore debug bundle in under 15 minutes,true,operations,plugins/saas-packs/procore-pack/skills/procore-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Procore rate limiting and backoff,"procore rate limits, implement procore rate limiting and backoff",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore rate limits in under 15 minutes,true,operations,plugins/saas-packs/procore-pack/skills/procore-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Procore security best practices,"procore security basics, apply procore security best practices",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore security basics in under 15 minutes,true,operations,plugins/saas-packs/procore-pack/skills/procore-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Procore production deployment checklist,"procore prod checklist, execute procore production deployment checklist",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore prod checklist in under 15 minutes,true,operations,plugins/saas-packs/procore-pack/skills/procore-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Procore SDK upgrades,"procore upgrade migration, plan and execute procore sdk upgrades",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/procore-pack/skills/procore-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Procore CI/CD integration,"procore ci integration, configure procore ci/cd integration",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore ci integration in under 15 minutes,true,cicd,plugins/saas-packs/procore-pack/skills/procore-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Procore integrations to production,"procore deploy pipeline, deploy procore integrations to production",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/procore-pack/skills/procore-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Procore webhook handling,"procore webhooks events, implement procore webhook handling",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/procore-pack/skills/procore-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Procore API performance,"procore performance tuning, optimize procore api performance",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/procore-pack/skills/procore-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Procore costs and usage,"procore cost tuning, optimize procore costs and usage",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/procore-pack/skills/procore-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Procore reference architecture,"procore reference architecture, implement procore reference architecture",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/procore-pack/skills/procore-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
procore-multi-env-setup,"Backend developers, DevOps engineers, Full-stack developers",Configure Procore multi-environment setup,"procore multi env setup, configure procore multi-environment setup",Claude Code skill; Procore SDK; local/cloud development,Working Procore integration; Tests passing; Documentation updated,Faster Procore integration; Reduced errors; Team productivity,Complete Procore multi env setup in under 15 minutes,true,enterprise,plugins/saas-packs/procore-pack/skills/procore-multi-env-setup/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
