Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
together-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Together AI SDK/CLI authentication,"together install auth, install and configure together ai sdk/cli authentication",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI install auth in under 15 minutes,true,onboarding,plugins/saas-packs/together-pack/skills/together-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
together-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Together AI example,"together hello world, create a minimal working together ai example",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI hello world in under 15 minutes,true,onboarding,plugins/saas-packs/together-pack/skills/together-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
together-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Together AI local development workflow,"together local dev loop, configure together ai local development workflow",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/together-pack/skills/together-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
together-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Together AI SDK patterns,"together sdk patterns, apply production-ready together ai sdk patterns",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/together-pack/skills/together-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
together-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Together AI primary workflow,"together primary workflow, execute together ai primary workflow",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/together-pack/skills/together-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
together-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Together AI core feature integration,"together core feature, implement together ai core feature integration",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI core feature in under 15 minutes,true,onboarding,plugins/saas-packs/together-pack/skills/together-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
together-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Together AI common errors,"together common errors, diagnose and fix together ai common errors",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI common errors in under 15 minutes,true,operations,plugins/saas-packs/together-pack/skills/together-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
together-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Together AI debug evidence for support,"together debug bundle, collect together ai debug evidence for support",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI debug bundle in under 15 minutes,true,operations,plugins/saas-packs/together-pack/skills/together-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
together-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Together AI rate limiting and backoff,"together rate limits, implement together ai rate limiting and backoff",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI rate limits in under 15 minutes,true,operations,plugins/saas-packs/together-pack/skills/together-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
together-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Together AI security best practices,"together security basics, apply together ai security best practices",Claude Code skill; Together AI SDK; local/cloud development,Working Together AI integration; Tests passing; Documentation updated,Faster Together AI integration; Reduced errors; Team productivity,Complete Together AI security basics in under 15 minutes,true,operations,plugins/saas-packs/together-pack/skills/together-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
