Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
hootsuite-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Hootsuite SDK/CLI authentication,"hootsuite install auth, install and configure hootsuite sdk/cli authentication",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite install auth in under 15 minutes,true,onboarding,plugins/saas-packs/hootsuite-pack/skills/hootsuite-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hootsuite-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Hootsuite example,"hootsuite hello world, create a minimal working hootsuite example",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite hello world in under 15 minutes,true,onboarding,plugins/saas-packs/hootsuite-pack/skills/hootsuite-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hootsuite-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Hootsuite local development workflow,"hootsuite local dev loop, configure hootsuite local development workflow",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/hootsuite-pack/skills/hootsuite-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hootsuite-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Hootsuite SDK patterns,"hootsuite sdk patterns, apply production-ready hootsuite sdk patterns",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/hootsuite-pack/skills/hootsuite-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hootsuite-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Hootsuite primary workflow,"hootsuite primary workflow, execute hootsuite primary workflow",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/hootsuite-pack/skills/hootsuite-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hootsuite-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Hootsuite core feature integration,"hootsuite core feature, implement hootsuite core feature integration",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite core feature in under 15 minutes,true,onboarding,plugins/saas-packs/hootsuite-pack/skills/hootsuite-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hootsuite-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Hootsuite common errors,"hootsuite common errors, diagnose and fix hootsuite common errors",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite common errors in under 15 minutes,true,operations,plugins/saas-packs/hootsuite-pack/skills/hootsuite-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hootsuite-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Hootsuite debug evidence for support,"hootsuite debug bundle, collect hootsuite debug evidence for support",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite debug bundle in under 15 minutes,true,operations,plugins/saas-packs/hootsuite-pack/skills/hootsuite-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hootsuite-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Hootsuite rate limiting and backoff,"hootsuite rate limits, implement hootsuite rate limiting and backoff",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite rate limits in under 15 minutes,true,operations,plugins/saas-packs/hootsuite-pack/skills/hootsuite-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hootsuite-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Hootsuite security best practices,"hootsuite security basics, apply hootsuite security best practices",Claude Code skill; Hootsuite SDK; local/cloud development,Working Hootsuite integration; Tests passing; Documentation updated,Faster Hootsuite integration; Reduced errors; Team productivity,Complete Hootsuite security basics in under 15 minutes,true,operations,plugins/saas-packs/hootsuite-pack/skills/hootsuite-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
