Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
lucidchart-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Lucidchart SDK/CLI authentication,"lucidchart install auth, install and configure lucidchart sdk/cli authentication",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart install auth in under 15 minutes,true,onboarding,plugins/saas-packs/lucidchart-pack/skills/lucidchart-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lucidchart-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Lucidchart example,"lucidchart hello world, create a minimal working lucidchart example",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart hello world in under 15 minutes,true,onboarding,plugins/saas-packs/lucidchart-pack/skills/lucidchart-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lucidchart-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Lucidchart local development workflow,"lucidchart local dev loop, configure lucidchart local development workflow",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/lucidchart-pack/skills/lucidchart-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lucidchart-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Lucidchart SDK patterns,"lucidchart sdk patterns, apply production-ready lucidchart sdk patterns",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/lucidchart-pack/skills/lucidchart-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lucidchart-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Lucidchart primary workflow,"lucidchart primary workflow, execute lucidchart primary workflow",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/lucidchart-pack/skills/lucidchart-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lucidchart-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Lucidchart core feature integration,"lucidchart core feature, implement lucidchart core feature integration",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart core feature in under 15 minutes,true,onboarding,plugins/saas-packs/lucidchart-pack/skills/lucidchart-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lucidchart-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Lucidchart common errors,"lucidchart common errors, diagnose and fix lucidchart common errors",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart common errors in under 15 minutes,true,operations,plugins/saas-packs/lucidchart-pack/skills/lucidchart-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lucidchart-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Lucidchart debug evidence for support,"lucidchart debug bundle, collect lucidchart debug evidence for support",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart debug bundle in under 15 minutes,true,operations,plugins/saas-packs/lucidchart-pack/skills/lucidchart-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lucidchart-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Lucidchart rate limiting and backoff,"lucidchart rate limits, implement lucidchart rate limiting and backoff",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart rate limits in under 15 minutes,true,operations,plugins/saas-packs/lucidchart-pack/skills/lucidchart-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lucidchart-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Lucidchart security best practices,"lucidchart security basics, apply lucidchart security best practices",Claude Code skill; Lucidchart SDK; local/cloud development,Working Lucidchart integration; Tests passing; Documentation updated,Faster Lucidchart integration; Reduced errors; Team productivity,Complete Lucidchart security basics in under 15 minutes,true,operations,plugins/saas-packs/lucidchart-pack/skills/lucidchart-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
