id,filename,count
1,SKILL.md,1426
2,README.md,516
3,implementation.md,303
4,examples.md,291
5,errors.md,290
6,implementation-guide.md,282
7,directory-structure.md,29
8,settings.yaml,27
9,PRD.md,22
10,ARD.md,22
11,formatters.py,21
12,case-studies.md,15
13,best-practices.md,12
14,formatters.cpython-312.pyc,12
15,generate_report.py,10
16,SKILL.full.md,7
17,report_template.md,6
18,example_dataset.csv,6
19,troubleshooting.md,5
20,report_template.html,5
21,configuration_template.yaml,4
22,how-it-works.md,4
23,config_template.yaml,4
24,team-configuration.md,4
25,example_data.csv,3
26,validate_config.py,3
27,applications.md,3
28,risk_assessor.py,3
29,advanced-patterns.md,3
30,generate_config.py,3
31,SKILL.md.tmp,3
32,init-terraform.sh,3
33,advanced-techniques.md,3
34,code-patterns.md,3
35,sso-integration.md,3
36,pipeline_template.yaml,2
37,config_template.json,2
38,validate_data.py,2
39,data_analyzer.py,2
40,workflow-examples.md,2
41,workflow.md,2
42,security-checklist.md,2
43,requirements.txt,2
44,generate_model.py,2
45,triggers.md,2
46,metrics.md,2
47,price_fetcher.py,2
48,profit_calculator.py,2
49,tx_decoder.py,2
50,protocol_adapters.py,2
51,BTC_USD_1d.csv,2
52,scanner.py,2
53,risk_assessor.cpython-312.pyc,2
54,metrics_calculator.py,2
55,failover.sh,2
56,typography.md,2
57,compliance_report_template.md,2
58,example_config.yaml,2
59,release-workflow.md,2
60,analyze_results.py,2
61,setup_environment.sh,2
62,security-best-practices.md,2
63,performance-optimization.md,2
64,configuration-pitfalls.md,2
65,available-models.md,2
66,model-comparison.md,2
67,migration-scripts.md,2
68,environment-setup.md,2
69,budget-management.md,2
70,kubernetes-deployment.md,2
71,log-analysis.md,2
72,caching-strategies.md,2
73,cost-optimization.md,2
74,evidence-collection-framework.md,2
75,systematic-isolation.md,2
76,timing-analysis.md,2
77,variant-b-service-layer-(moderate).md,2
78,variant-c-microservice-(complex).md,2
79,variant-a-monolith-(simple).md,2
80,cost-estimation.md,2
81,cost-reduction-strategies.md,2
82,google-cloud-run.md,2
83,vercel-deployment.md,2
84,role-implementation.md,2
85,immediate-actions-by-error-type.md,2
86,scaling-patterns.md,2
87,load-testing-with-k6.md,2
88,capacity-planning.md,2
89,implementation-plan.md,2
90,pre-migration-assessment.md,2
91,configuration-structure.md,2
92,metrics-collection.md,2
93,alert-configuration.md,2
94,caching-strategy.md,2
95,eslint-rules.md,2
96,project-structure.md,2
97,key-components.md,2
98,circuit-breaker.md,2
99,dead-letter-queue.md,2
100,idempotency-keys.md,2
101,event-handler-pattern.md,2
102,signature-verification.md,2
103,critical-findings.md,2
104,example_model.pkl,1
105,validate_dataset.py,1
106,validate_model.py,1
107,agent_template.ts,1
108,example_coordinator.ts,1
109,example_workflow.json,1
110,dependency_installer.sh,1
111,agent_setup.sh,1
112,env_setup.sh,1
113,evaluation_report_template.html,1
114,pipeline_deployment.py,1
115,model_config_template.json,1
116,clustering_visualization.ipynb,1
117,image_analyzer.py,1
118,transform_data.py,1
119,pipeline.py,1
120,handle_errors.py,1
121,split_data_config.yaml,1
122,dataset_schema.json,1
123,optimization_config.json,1
124,analyze_model.py,1
125,feature_engineering_template.ipynb,1
126,feature_importance_analyzer.py,1
127,visualization_template.html,1
128,hyperparameter_space_template.json,1
129,deploy-agent.sh,1
130,test-a2a-protocol.py,1
131,setup-project.sh,1
132,example-interactions.md,1
133,code-example-categories.md,1
134,best-practices-applied.md,1
135,create-example.sh,1
136,production-best-practices-applied.md,1
137,init-genkit.sh,1
138,inspection-categories.md,1
139,inspection-workflow.md,1
140,example-inspection-report.md,1
141,inspect-agent.sh,1
142,check-security.py,1
143,monitoring-checklist.md,1
144,performance-compliance-checklist.md,1
145,validate-production.sh,1
146,evaluation_report_template.md,1
147,visualization_script.py,1
148,explanation_template.html,1
149,visualization_styles.css,1
150,example_explanation.json,1
151,versioning_diagram.png,1
152,model_card_template.md,1
153,example_mlflow_workflow.yaml,1
154,version_control.sh,1
155,example_text_inputs.json,1
156,analysis_report_template.md,1
157,error_handling_examples.md,1
158,analyze_text.py,1
159,skill-workflow.md,1
160,model_visualization_template.py,1
161,evaluate_model.py,1
162,sentiment_analysis_report_template.md,1
163,analyze_sentiment.py,1
164,visualization_template.py,1
165,configuration_template.json,1
166,model_architecture.png,1
167,data_preprocessing_example.py,1
168,example_config.json,1
169,generate-contract.sh,1
170,validate-schema.sh,1
171,weekly-template.md,1
172,release-template.md,1
173,default-changelog.md,1
174,quality_score.py,1
175,render_template.py,1
176,dcf-formulas.md,1
177,REFERENCE.md,1
178,lbo-formulas.md,1
179,pivot-formulas.md,1
180,variance-formulas.md,1
181,value-innovation.md,1
182,blue-ocean-examples.md,1
183,errc-grid.md,1
184,strategy-canvas.md,1
185,sequence.md,1
186,non-customers.md,1
187,six-paths.md,1
188,stories-trojan-horse.md,1
189,practical-value.md,1
190,viral-content-patterns.md,1
191,public-visibility.md,1
192,word-of-mouth.md,1
193,social-currency.md,1
194,emotion.md,1
195,funnel-analysis.md,1
196,testing-methodology.md,1
197,PERSUASION.md,1
198,OBJECTIONS.md,1
199,RESEARCH.md,1
200,COPYWRITING.md,1
201,positioning.md,1
202,b2b-saas.md,1
203,beachhead-selection.md,1
204,whole-product.md,1
205,expansion.md,1
206,go-to-market.md,1
207,buyer-segments.md,1
208,type-i.md,1
209,autonomy.md,1
210,extrinsic-rewards.md,1
211,mastery.md,1
212,purpose.md,1
213,value-equation.md,1
214,scarcity-urgency.md,1
215,pricing-strategy.md,1
216,grand-slam-offers.md,1
217,naming-offers.md,1
218,guarantees.md,1
219,offer-creation-checklist.md,1
220,starving-crowd.md,1
221,bonuses-stacking.md,1
222,reciprocity.md,1
223,ethics.md,1
224,unity.md,1
225,authority.md,1
226,liking.md,1
227,copywriting.md,1
228,social-proof.md,1
229,scarcity.md,1
230,commitment-consistency.md,1
231,diagnostics.md,1
232,innovation-process.md,1
233,organizational-change.md,1
234,competitive-strategy.md,1
235,emotional.md,1
236,curse-of-knowledge.md,1
237,simple.md,1
238,concrete.md,1
239,stories.md,1
240,credible.md,1
241,unexpected.md,1
242,techniques.md,1
243,target-customers.md,1
244,value-mapping.md,1
245,team-exercise.md,1
246,competitive-alternatives.md,1
247,market-category.md,1
248,positioning-canvas.md,1
249,unique-attributes.md,1
250,capture-leads.md,1
251,lifetime-value.md,1
252,sales-conversion.md,1
253,target-market.md,1
254,advertising-media.md,1
255,customer-experience.md,1
256,one-page-plan-template.md,1
257,craft-message.md,1
258,referral-systems.md,1
259,nurture-leads.md,1
260,pipeline-math.md,1
261,qualification.md,1
262,team-building.md,1
263,cold-calling-2.md,1
264,lead-types.md,1
265,roles.md,1
266,technical-implementation.md,1
267,industry-examples.md,1
268,analytics-optimization.md,1
269,psychology.md,1
270,multi-channel-consistency.md,1
271,one-liners.md,1
272,email-sequences.md,1
273,brand-script.md,1
274,sales-conversations.md,1
275,website-wireframe.md,1
276,issues.md,1
277,people.md,1
278,process.md,1
279,rocks.md,1
280,level-10.md,1
281,data.md,1
282,vto.md,1
283,manage-memory.py,1
284,LICENSE,1
285,post-commit-reminder.sh,1
286,extract-session-learnings.sh,1
287,check-learnings.sh,1
288,capture-learning.sh,1
289,extract-tool-rejections.sh,1
290,plugin.json,1
291,hooks.json,1
292,skip-reflect.md,1
293,reflect.md,1
294,view-queue.md,1
295,creative-freedom.md,1
296,commands-(you-run-these).md,1
297,system-readiness-checklist.md,1
298,interaction-style.md,1
299,first-contact.md,1
300,init-firebase.sh,1
301,setup-firestore.sh,1
302,ui-test-report.md,1
303,typescript-interfaces.md,1
304,pagination.md,1
305,writing-endpoints.md,1
306,testing-configuration.md,1
307,sprint-phases.md,1
308,arb_finder.py,1
309,triangular_finder.py,1
310,opportunity_scanner.py,1
311,blockchain_explorer.py,1
312,token_resolver.py,1
313,chain_client.py,1
314,config_loader.py,1
315,tx_tracker.py,1
316,bridge_monitor.py,1
317,bridge_fetcher.py,1
318,protocol_adapters.cpython-312.pyc,1
319,config_loader.cpython-312.pyc,1
320,bridge_fetcher.cpython-312.pyc,1
321,tx_tracker.cpython-312.pyc,1
322,basis_calculator.py,1
323,funding_tracker.py,1
324,liquidation_monitor.py,1
325,options_analyzer.py,1
326,oi_analyzer.py,1
327,derivatives_tracker.py,1
328,feed_parser.py,1
329,news_aggregator.py,1
330,scorer.py,1
331,feed_fetcher.py,1
332,feed_fetcher.cpython-312.pyc,1
333,feed_parser.cpython-312.pyc,1
334,scorer.cpython-312.pyc,1
335,sources.yaml,1
336,portfolio_tracker.py,1
337,portfolio_loader.py,1
338,valuation_engine.py,1
339,valuation_engine.cpython-312.pyc,1
340,price_fetcher.cpython-312.pyc,1
341,portfolio_loader.cpython-312.pyc,1
342,indicators.py,1
343,signals.py,1
344,indicators.cpython-312.pyc,1
345,signals.cpython-312.pyc,1
346,exchange_formats.md,1
347,tax_engine.py,1
348,tax_calculator.py,1
349,cost_basis_engine.py,1
350,transaction_parser.py,1
351,report_generator.py,1
352,transaction_parser.cpython-312.pyc,1
353,report_generator.cpython-312.pyc,1
354,cost_basis_engine.cpython-312.pyc,1
355,tax_engine.cpython-312.pyc,1
356,yield_calculator.py,1
357,protocol_fetcher.py,1
358,yield_optimizer.py,1
359,yield_optimizer.cpython-312.pyc,1
360,protocol_fetcher.cpython-312.pyc,1
361,yield_calculator.cpython-312.pyc,1
362,split_calculator.py,1
363,quote_fetcher.py,1
364,mev_assessor.py,1
365,dex_router.py,1
366,route_optimizer.py,1
367,route_optimizer.cpython-312.pyc,1
368,mev_assessor.cpython-312.pyc,1
369,split_calculator.cpython-312.pyc,1
370,quote_fetcher.cpython-312.pyc,1
371,strategy_engine.py,1
372,flash_simulator.py,1
373,pattern_analyzer.py,1
374,gas_optimizer.py,1
375,gas_fetcher.py,1
376,cost_estimator.py,1
377,il_calculator.py,1
378,pool_metrics.py,1
379,pool_fetcher.py,1
380,pool_analyzer.py,1
381,pool_metrics.cpython-312.pyc,1
382,pool_fetcher.cpython-312.pyc,1
383,il_calculator.cpython-312.pyc,1
384,filters.py,1
385,analyzer.py,1
386,scorers.py,1
387,filters.cpython-312.pyc,1
388,scorers.cpython-312.pyc,1
389,analyzer.cpython-312.pyc,1
390,cache_manager.py,1
391,price_tracker.py,1
392,api_client.py,1
393,api_client.cpython-312.pyc,1
394,cache_manager.cpython-312.pyc,1
395,fear_greed.py,1
396,news_sentiment.py,1
397,market_momentum.py,1
398,sentiment_analyzer.py,1
399,news_sentiment.cpython-312.pyc,1
400,fear_greed.cpython-312.pyc,1
401,market_momentum.cpython-312.pyc,1
402,rpc_client.py,1
403,mev_detector.py,1
404,mempool_analyzer.py,1
405,gas_analyzer.py,1
406,rarity_calculator.py,1
407,metadata_fetcher.py,1
408,trait_parser.py,1
409,rarity_analyzer.py,1
410,onchain_analytics.py,1
411,data_fetcher.py,1
412,staking_optimizer.py,1
413,staking_fetcher.py,1
414,staking_fetcher.cpython-312.pyc,1
415,metrics_calculator.cpython-312.pyc,1
416,token_analyzer.py,1
417,event_monitor.py,1
418,launch_tracker.py,1
419,dex_sources.py,1
420,optimize.py,1
421,fetch_data.py,1
422,backtest.py,1
423,strategies.py,1
424,metrics.py,1
425,backtest.cpython-312.pyc,1
426,strategies.cpython-312.pyc,1
427,fetch_data.cpython-312.pyc,1
428,metrics.cpython-312.pyc,1
429,sma_crossover_BTC-USD_20260114_172025_trades.csv,1
430,rsi_reversal_BTC-USD_20260114_172106_trades.csv,1
431,rsi_reversal_BTC-USD_20260114_172106_summary.txt,1
432,optimization_sma_crossover_20260114_172629.txt,1
433,macd_BTC-USD_20260114_172116_summary.txt,1
434,macd_BTC-USD_20260114_172116_chart.png,1
435,sma_crossover_BTC-USD_20260114_172025_equity.csv,1
436,sma_crossover_BTC-USD_20260114_172025_chart.png,1
437,optimization_sma_crossover_20260114_172629.csv,1
438,macd_BTC-USD_20260114_172116_equity.csv,1
439,macd_BTC-USD_20260114_172116_trades.csv,1
440,rsi_reversal_BTC-USD_20260114_172106_equity.csv,1
441,rsi_reversal_BTC-USD_20260114_172106_chart.png,1
442,sma_crossover_BTC-USD_20260114_172025_summary.txt,1
443,.gitignore,1
444,CACHEDIR.TAG,1
445,lastfailed,1
446,nodeids,1
447,test_strategies.py,1
448,test_strategies.cpython-312-pytest-8.4.2.pyc,1
