Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
grammarly-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Grammarly SDK/CLI authentication,"grammarly install auth, install and configure grammarly sdk/cli authentication",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly install auth in under 15 minutes,true,onboarding,plugins/saas-packs/grammarly-pack/skills/grammarly-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Grammarly example,"grammarly hello world, create a minimal working grammarly example",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly hello world in under 15 minutes,true,onboarding,plugins/saas-packs/grammarly-pack/skills/grammarly-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Grammarly local development workflow,"grammarly local dev loop, configure grammarly local development workflow",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/grammarly-pack/skills/grammarly-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Grammarly SDK patterns,"grammarly sdk patterns, apply production-ready grammarly sdk patterns",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/grammarly-pack/skills/grammarly-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Grammarly primary workflow,"grammarly primary workflow, execute grammarly primary workflow",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/grammarly-pack/skills/grammarly-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Grammarly core feature integration,"grammarly core feature, implement grammarly core feature integration",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly core feature in under 15 minutes,true,onboarding,plugins/saas-packs/grammarly-pack/skills/grammarly-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Grammarly common errors,"grammarly common errors, diagnose and fix grammarly common errors",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly common errors in under 15 minutes,true,operations,plugins/saas-packs/grammarly-pack/skills/grammarly-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Grammarly debug evidence for support,"grammarly debug bundle, collect grammarly debug evidence for support",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly debug bundle in under 15 minutes,true,operations,plugins/saas-packs/grammarly-pack/skills/grammarly-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Grammarly rate limiting and backoff,"grammarly rate limits, implement grammarly rate limiting and backoff",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly rate limits in under 15 minutes,true,operations,plugins/saas-packs/grammarly-pack/skills/grammarly-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Grammarly security best practices,"grammarly security basics, apply grammarly security best practices",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly security basics in under 15 minutes,true,operations,plugins/saas-packs/grammarly-pack/skills/grammarly-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Grammarly production deployment checklist,"grammarly prod checklist, execute grammarly production deployment checklist",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly prod checklist in under 15 minutes,true,operations,plugins/saas-packs/grammarly-pack/skills/grammarly-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
grammarly-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Grammarly SDK upgrades,"grammarly upgrade migration, plan and execute grammarly sdk upgrades",Claude Code skill; Grammarly SDK; local/cloud development,Working Grammarly integration; Tests passing; Documentation updated,Faster Grammarly integration; Reduced errors; Team productivity,Complete Grammarly upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/grammarly-pack/skills/grammarly-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
