id,validator_path,field_checked,rule_description,scoring_behavior
1,scripts/validate-all-plugins.sh,unknown,\033[0;31m,pass/fail
2,scripts/validate-all-plugins.sh,unknown,set -e,pass/fail
3,scripts/validate-all-plugins.sh,unknown,🔍 Running comprehensive validation...,pass/fail
4,scripts/validate-all-plugins.sh,unknown,"
    ERRORS=$((ERRORS + 1))
    continue
  fi

  # Validate plugin.json against schema if applicable
  if [[ ",pass/fail
5,scripts/validate-all-plugins.sh,unknown,.name,pass/fail
6,scripts/validate-all-plugins.sh,unknown,name,pass/fail
7,scripts/validate-all-plugins.sh,unknown,.version,pass/fail
8,scripts/validate-all-plugins.sh,unknown,version,pass/fail
9,scripts/validate-all-plugins.sh,unknown,.description,pass/fail
10,scripts/validate-all-plugins.sh,unknown,description,pass/fail
11,scripts/validate-all-plugins.sh,unknown,.author,pass/fail
12,scripts/validate-all-plugins.sh,unknown,author,pass/fail
13,scripts/validate-all-plugins.sh,unknown,keys - [,pass/fail
14,scripts/validate-all-plugins.sh,unknown," ]; then
      echo -e ",pass/fail
15,scripts/validate-all-plugins.sh,unknown,"
      echo ",pass/fail
16,scripts/validate-all-plugins.sh,unknown," | while read -r field; do
        echo -e ",pass/fail
17,scripts/validate-all-plugins.sh,unknown,$json_file,pass/fail
18,scripts/validate-all-plugins.sh,unknown,hooks,pass/fail
19,scripts/validate-all-plugins.sh,unknown,$TARGET_DIR,pass/fail
20,scripts/validate-all-plugins.sh,unknown," -eq 0 ]; then
  echo -e ",pass/fail
21,scripts/validate-all-plugins.sh,unknown,"
fi
echo ",pass/fail
22,scripts/validate-all-plugins.sh,unknown,${YELLOW}⚠️  Python3 not found - skipping frontmatter validation${NC},pass/fail
23,scripts/validate-all-plugins.sh,unknown,  Checking: $md_file,pass/fail
24,scripts/validate-all-plugins.sh,unknown,$TARGET_DIR,pass/fail
25,scripts/validate-all-plugins.sh,unknown,${GREEN}✅ No duplicate shortcuts${NC},pass/fail
26,scripts/validate-all-plugins.sh,unknown,.agents,pass/fail
27,scripts/validate-all-plugins.sh,unknown,$TARGET_DIR,pass/fail
28,scripts/validate-all-plugins.sh,unknown," -eq 0 ]; then
  echo -e ",pass/fail
29,scripts/validate-all-plugins.sh,unknown,$TARGET_DIR,pass/fail
30,scripts/validate-all-plugins.sh,unknown," -eq 0 ]; then
  echo -e ",pass/fail
31,scripts/validate-all-plugins.sh,unknown,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,pass/fail
32,scripts/validate-all-plugins.sh,unknown,"
echo ",pass/fail
33,scripts/validate-all-plugins.sh,unknown,"
    WARNINGS=$((WARNINGS + 1))
  fi
done

echo ",pass/fail
34,scripts/validate-all-plugins.sh,unknown, -eq 0 ] && [ ,pass/fail
35,scripts/validate-all-plugins.sh,unknown," -eq 0 ]; then
  echo -e ",pass/fail
36,scripts/validate-all-plugins.sh,unknown," -eq 0 ]; then
  echo -e ",pass/fail
37,scripts/validate-all-plugins.sh,unknown,"
  echo ",pass/fail
38,scripts/validate-all-plugins.sh,unknown,"
  exit 0
else
  echo -e ",pass/fail
39,scripts/validate-all-plugins.sh,unknown,"
  echo ",pass/fail
40,scripts/validate-plugin.js,unknown,": {
    title: ",pass/fail
41,scripts/validate-plugin.js,unknown,",
    description: ",pass/fail
42,scripts/validate-plugin.js,unknown,": {
    title: ",pass/fail
43,scripts/validate-plugin.js,unknown,",
    description: ",pass/fail
44,scripts/validate-plugin.js,unknown,": {
    title: ",pass/fail
45,scripts/validate-plugin.js,unknown,",
    description: ",pass/fail
46,scripts/validate-plugin.js,unknown,",
    why: ",pass/fail
