id,pack_name,skill_count,total_lines,total_words,total_code_blocks,total_comment_only,total_placeholders,total_real_urls,total_real_imports
1,ai-ml,33,2758,19330,0,0,0,45,0
2,api-development,25,1948,17157,0,0,2,59,0
3,automation,1,60,308,0,0,0,0,0
4,business-tools,26,7812,62580,38,1,0,38,0
5,community,11,983,6276,18,0,0,15,0
6,crypto,25,3064,14942,186,0,0,74,0
7,database,25,2701,24033,20,0,3,114,0
8,design,7,2895,25353,13,0,0,25,0
9,devops,33,2618,19109,13,0,8,128,0
10,examples,7,564,4675,1,0,0,7,0
11,jeremy-google-adk,1,69,460,0,0,0,1,0
12,jeremy-vertex-ai,1,67,417,0,0,0,2,0
13,mcp,2,165,657,7,0,0,0,0
14,packages,3,260,1601,0,0,0,0,0
15,performance,24,2272,13277,0,0,3,0,0
16,productivity,29,5847,35447,54,0,0,21,6
17,saas-packs,1116,155128,611309,4229,175,265,3895,1660
18,security,25,2384,17490,15,0,9,78,0
19,skill-enhancers,7,1102,7052,20,0,0,8,0
20,testing,25,3199,19344,63,0,9,153,38
