Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
databricks-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Databricks SDK/CLI authentication,"databricks install auth, install and configure databricks sdk/cli authentication",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks install auth in under 15 minutes,true,onboarding,plugins/saas-packs/databricks-pack/skills/databricks-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Databricks example,"databricks hello world, create a minimal working databricks example",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks hello world in under 15 minutes,true,onboarding,plugins/saas-packs/databricks-pack/skills/databricks-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Databricks local development workflow,"databricks local dev loop, configure databricks local development workflow",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/databricks-pack/skills/databricks-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Databricks SDK patterns,"databricks sdk patterns, apply production-ready databricks sdk patterns",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/databricks-pack/skills/databricks-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Databricks primary workflow,"databricks primary workflow, execute databricks primary workflow",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/databricks-pack/skills/databricks-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Databricks core feature integration,"databricks core feature, implement databricks core feature integration",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks core feature in under 15 minutes,true,onboarding,plugins/saas-packs/databricks-pack/skills/databricks-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Databricks common errors,"databricks common errors, diagnose and fix databricks common errors",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks common errors in under 15 minutes,true,operations,plugins/saas-packs/databricks-pack/skills/databricks-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Databricks debug evidence for support,"databricks debug bundle, collect databricks debug evidence for support",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks debug bundle in under 15 minutes,true,operations,plugins/saas-packs/databricks-pack/skills/databricks-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Databricks rate limiting and backoff,"databricks rate limits, implement databricks rate limiting and backoff",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks rate limits in under 15 minutes,true,operations,plugins/saas-packs/databricks-pack/skills/databricks-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Databricks security best practices,"databricks security basics, apply databricks security best practices",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks security basics in under 15 minutes,true,operations,plugins/saas-packs/databricks-pack/skills/databricks-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Databricks production deployment checklist,"databricks prod checklist, execute databricks production deployment checklist",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks prod checklist in under 15 minutes,true,operations,plugins/saas-packs/databricks-pack/skills/databricks-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
databricks-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Databricks SDK upgrades,"databricks upgrade migration, plan and execute databricks sdk upgrades",Claude Code skill; Databricks SDK; local/cloud development,Working Databricks integration; Tests passing; Documentation updated,Faster Databricks integration; Reduced errors; Team productivity,Complete Databricks upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/databricks-pack/skills/databricks-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
