Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
veeva-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Veeva SDK/CLI authentication,"veeva install auth, install and configure veeva sdk/cli authentication",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva install auth in under 15 minutes,true,onboarding,plugins/saas-packs/veeva-pack/skills/veeva-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Veeva example,"veeva hello world, create a minimal working veeva example",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva hello world in under 15 minutes,true,onboarding,plugins/saas-packs/veeva-pack/skills/veeva-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Veeva local development workflow,"veeva local dev loop, configure veeva local development workflow",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/veeva-pack/skills/veeva-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Veeva SDK patterns,"veeva sdk patterns, apply production-ready veeva sdk patterns",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/veeva-pack/skills/veeva-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Veeva primary workflow,"veeva primary workflow, execute veeva primary workflow",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/veeva-pack/skills/veeva-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Veeva core feature integration,"veeva core feature, implement veeva core feature integration",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva core feature in under 15 minutes,true,onboarding,plugins/saas-packs/veeva-pack/skills/veeva-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Veeva common errors,"veeva common errors, diagnose and fix veeva common errors",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva common errors in under 15 minutes,true,operations,plugins/saas-packs/veeva-pack/skills/veeva-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Veeva debug evidence for support,"veeva debug bundle, collect veeva debug evidence for support",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva debug bundle in under 15 minutes,true,operations,plugins/saas-packs/veeva-pack/skills/veeva-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Veeva rate limiting and backoff,"veeva rate limits, implement veeva rate limiting and backoff",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva rate limits in under 15 minutes,true,operations,plugins/saas-packs/veeva-pack/skills/veeva-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Veeva security best practices,"veeva security basics, apply veeva security best practices",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva security basics in under 15 minutes,true,operations,plugins/saas-packs/veeva-pack/skills/veeva-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Veeva production deployment checklist,"veeva prod checklist, execute veeva production deployment checklist",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva prod checklist in under 15 minutes,true,operations,plugins/saas-packs/veeva-pack/skills/veeva-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
veeva-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Veeva SDK upgrades,"veeva upgrade migration, plan and execute veeva sdk upgrades",Claude Code skill; Veeva SDK; local/cloud development,Working Veeva integration; Tests passing; Documentation updated,Faster Veeva integration; Reduced errors; Team productivity,Complete Veeva upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/veeva-pack/skills/veeva-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
