Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
evernote-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Evernote SDK/CLI authentication,"evernote install auth, install and configure evernote sdk/cli authentication",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote install auth in under 15 minutes,true,onboarding,plugins/saas-packs/evernote-pack/skills/evernote-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
evernote-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Evernote example,"evernote hello world, create a minimal working evernote example",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote hello world in under 15 minutes,true,onboarding,plugins/saas-packs/evernote-pack/skills/evernote-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
evernote-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Evernote local development workflow,"evernote local dev loop, configure evernote local development workflow",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/evernote-pack/skills/evernote-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
evernote-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Evernote SDK patterns,"evernote sdk patterns, apply production-ready evernote sdk patterns",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/evernote-pack/skills/evernote-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
evernote-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Evernote primary workflow,"evernote primary workflow, execute evernote primary workflow",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/evernote-pack/skills/evernote-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
evernote-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Evernote core feature integration,"evernote core feature, implement evernote core feature integration",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote core feature in under 15 minutes,true,onboarding,plugins/saas-packs/evernote-pack/skills/evernote-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
evernote-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Evernote common errors,"evernote common errors, diagnose and fix evernote common errors",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote common errors in under 15 minutes,true,operations,plugins/saas-packs/evernote-pack/skills/evernote-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
evernote-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Evernote debug evidence for support,"evernote debug bundle, collect evernote debug evidence for support",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote debug bundle in under 15 minutes,true,operations,plugins/saas-packs/evernote-pack/skills/evernote-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
evernote-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Evernote rate limiting and backoff,"evernote rate limits, implement evernote rate limiting and backoff",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote rate limits in under 15 minutes,true,operations,plugins/saas-packs/evernote-pack/skills/evernote-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
evernote-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Evernote security best practices,"evernote security basics, apply evernote security best practices",Claude Code skill; Evernote SDK; local/cloud development,Working Evernote integration; Tests passing; Documentation updated,Faster Evernote integration; Reduced errors; Team productivity,Complete Evernote security basics in under 15 minutes,true,operations,plugins/saas-packs/evernote-pack/skills/evernote-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
