Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
instantly-install-auth,Developer setting up Instantly for first time,Configure API authentication and SDK installation,Initial project setup or new environment configuration,Development environment with Node.js/Python runtime,API key validated and test request returns 200 OK with account info,Development team can authenticate and make API calls within 15 minutes,Enable secure programmatic access to Instantly platform,false,Onboarding,instantly-install-auth/,Read Write Edit Bash Grep,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
instantly-hello-world,New developer learning Instantly API,Create first campaign and send test email,After authentication setup is complete,Local development with API access configured,Campaign created via API and test email delivered successfully,Developer understands core API workflow and campaign structure,Validate development environment and demonstrate basic functionality,false,Onboarding,instantly-hello-world/,Read Write Edit Bash,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
instantly-local-dev-loop,Developer building Instantly integrations,Set up local development workflow with hot reload and testing,During active feature development,Local IDE with Instantly SDK installed,Changes reflect immediately with fast feedback loop under 5 seconds,Developers iterate quickly on email automation features,Maximize development velocity for outreach integrations,false,Onboarding,instantly-local-dev-loop/,Read Write Edit Bash Grep,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
instantly-common-errors,Developer troubleshooting Instantly integration,Diagnose and resolve frequent API errors and SDK issues,When encountering errors during development or testing,Any environment with Instantly integration,Error identified and resolved with documented solution,Reduced debugging time and faster issue resolution,Quick resolution of common integration problems,false,Onboarding,instantly-common-errors/,Read Grep Bash,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
instantly-known-pitfalls,Developer planning Instantly implementation,Avoid common mistakes in cold email platform integration,Before starting new features or major refactoring,Planning and design phase of development,Architecture avoids documented anti-patterns,Reduced rework and technical debt from poor initial design,Prevent common integration mistakes before they occur,false,Onboarding,instantly-known-pitfalls/,Read Grep,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
instantly-campaign-setup,Growth engineer or marketer building campaigns,Create and configure email campaigns programmatically,When launching new outreach initiatives,Production environment with verified sending domains,Campaign created with sequences and leads loaded via API,Campaigns launch on schedule with proper targeting,Automate campaign creation for scalable outreach,true,Operations,instantly-campaign-setup/,Read Write Edit Bash,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
instantly-email-warmup,Email operations engineer,Configure and monitor email warmup for new domains,Before launching campaigns on new sending accounts,Production with new email accounts connected,Warmup pool active with daily volume increasing per schedule,New sending domains achieve inbox placement above 90%,Establish sender reputation for maximum deliverability,true,Operations,instantly-email-warmup/,Read Write Edit Bash Grep,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
instantly-domain-health,Email deliverability specialist,Monitor and maintain sending domain health metrics,Ongoing during active email campaigns,Production environment with active sending,SPF DKIM DMARC records valid and bounce rate under 3%,Consistent inbox placement rates above industry benchmarks,Maintain optimal sender reputation and deliverability,true,Operations,instantly-domain-health/,Read Bash Grep,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
instantly-lead-management,Growth operations engineer,Import manage and segment lead lists via API,When processing new lead data or updating segments,Production with CRM or data pipeline integration,Leads imported with deduplication and validation passing,Lead lists are accurate and properly segmented for targeting,Efficient lead data management at scale,true,Operations,instantly-lead-management/,Read Write Edit Bash,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
instantly-analytics-tracking,Marketing analyst or growth engineer,Track campaign performance and engagement metrics,During active campaigns and for historical analysis,Production with analytics dashboard or data warehouse,Metrics pulled via API match dashboard and update hourly,Clear visibility into campaign ROI and performance trends,Data-driven optimization of email outreach,true,Operations,instantly-analytics-tracking/,Read Write Edit Bash Grep,1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
