Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
apify-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Apify SDK/CLI authentication,"apify install auth, install and configure apify sdk/cli authentication",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify install auth in under 15 minutes,true,onboarding,plugins/saas-packs/apify-pack/skills/apify-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Apify example,"apify hello world, create a minimal working apify example",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify hello world in under 15 minutes,true,onboarding,plugins/saas-packs/apify-pack/skills/apify-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Apify local development workflow,"apify local dev loop, configure apify local development workflow",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/apify-pack/skills/apify-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Apify SDK patterns,"apify sdk patterns, apply production-ready apify sdk patterns",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/apify-pack/skills/apify-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Apify primary workflow,"apify primary workflow, execute apify primary workflow",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/apify-pack/skills/apify-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Apify core feature integration,"apify core feature, implement apify core feature integration",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify core feature in under 15 minutes,true,onboarding,plugins/saas-packs/apify-pack/skills/apify-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Apify common errors,"apify common errors, diagnose and fix apify common errors",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify common errors in under 15 minutes,true,operations,plugins/saas-packs/apify-pack/skills/apify-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Apify debug evidence for support,"apify debug bundle, collect apify debug evidence for support",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify debug bundle in under 15 minutes,true,operations,plugins/saas-packs/apify-pack/skills/apify-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Apify rate limiting and backoff,"apify rate limits, implement apify rate limiting and backoff",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify rate limits in under 15 minutes,true,operations,plugins/saas-packs/apify-pack/skills/apify-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Apify security best practices,"apify security basics, apply apify security best practices",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify security basics in under 15 minutes,true,operations,plugins/saas-packs/apify-pack/skills/apify-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apify-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Apify production deployment checklist,"apify prod checklist, execute apify production deployment checklist",Claude Code skill; Apify SDK; local/cloud development,Working Apify integration; Tests passing; Documentation updated,Faster Apify integration; Reduced errors; Team productivity,Complete Apify prod checklist in under 15 minutes,true,operations,plugins/saas-packs/apify-pack/skills/apify-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
