Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
apollo-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Apollo SDK/CLI authentication,"apollo install auth, install and configure apollo sdk/cli authentication",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo install auth in under 15 minutes,true,onboarding,plugins/saas-packs/apollo-pack/skills/apollo-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apollo-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Apollo example,"apollo hello world, create a minimal working apollo example",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo hello world in under 15 minutes,true,onboarding,plugins/saas-packs/apollo-pack/skills/apollo-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apollo-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Apollo local development workflow,"apollo local dev loop, configure apollo local development workflow",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/apollo-pack/skills/apollo-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apollo-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Apollo SDK patterns,"apollo sdk patterns, apply production-ready apollo sdk patterns",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/apollo-pack/skills/apollo-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apollo-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Apollo primary workflow,"apollo primary workflow, execute apollo primary workflow",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/apollo-pack/skills/apollo-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apollo-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Apollo core feature integration,"apollo core feature, implement apollo core feature integration",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo core feature in under 15 minutes,true,onboarding,plugins/saas-packs/apollo-pack/skills/apollo-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apollo-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Apollo common errors,"apollo common errors, diagnose and fix apollo common errors",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo common errors in under 15 minutes,true,operations,plugins/saas-packs/apollo-pack/skills/apollo-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apollo-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Apollo debug evidence for support,"apollo debug bundle, collect apollo debug evidence for support",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo debug bundle in under 15 minutes,true,operations,plugins/saas-packs/apollo-pack/skills/apollo-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apollo-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Apollo rate limiting and backoff,"apollo rate limits, implement apollo rate limiting and backoff",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo rate limits in under 15 minutes,true,operations,plugins/saas-packs/apollo-pack/skills/apollo-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apollo-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Apollo security best practices,"apollo security basics, apply apollo security best practices",Claude Code skill; Apollo SDK; local/cloud development,Working Apollo integration; Tests passing; Documentation updated,Faster Apollo integration; Reduced errors; Team productivity,Complete Apollo security basics in under 15 minutes,true,operations,plugins/saas-packs/apollo-pack/skills/apollo-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
