Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
navan-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Navan SDK/CLI authentication,"navan install auth, install and configure navan sdk/cli authentication",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan install auth in under 15 minutes,true,onboarding,plugins/saas-packs/navan-pack/skills/navan-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Navan example,"navan hello world, create a minimal working navan example",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan hello world in under 15 minutes,true,onboarding,plugins/saas-packs/navan-pack/skills/navan-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Navan local development workflow,"navan local dev loop, configure navan local development workflow",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/navan-pack/skills/navan-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Navan SDK patterns,"navan sdk patterns, apply production-ready navan sdk patterns",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/navan-pack/skills/navan-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Navan primary workflow,"navan primary workflow, execute navan primary workflow",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/navan-pack/skills/navan-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Navan core feature integration,"navan core feature, implement navan core feature integration",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan core feature in under 15 minutes,true,onboarding,plugins/saas-packs/navan-pack/skills/navan-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Navan common errors,"navan common errors, diagnose and fix navan common errors",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan common errors in under 15 minutes,true,operations,plugins/saas-packs/navan-pack/skills/navan-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Navan debug evidence for support,"navan debug bundle, collect navan debug evidence for support",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan debug bundle in under 15 minutes,true,operations,plugins/saas-packs/navan-pack/skills/navan-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Navan rate limiting and backoff,"navan rate limits, implement navan rate limiting and backoff",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan rate limits in under 15 minutes,true,operations,plugins/saas-packs/navan-pack/skills/navan-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Navan security best practices,"navan security basics, apply navan security best practices",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan security basics in under 15 minutes,true,operations,plugins/saas-packs/navan-pack/skills/navan-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Navan production deployment checklist,"navan prod checklist, execute navan production deployment checklist",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan prod checklist in under 15 minutes,true,operations,plugins/saas-packs/navan-pack/skills/navan-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
navan-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Navan SDK upgrades,"navan upgrade migration, plan and execute navan sdk upgrades",Claude Code skill; Navan SDK; local/cloud development,Working Navan integration; Tests passing; Documentation updated,Faster Navan integration; Reduced errors; Team productivity,Complete Navan upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/navan-pack/skills/navan-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
