id,path,entity_type,checks_json,fields_read,scoring_behavior,cli_flags,output_format
1,scripts/validate-all-plugins.sh,plugin,"[""\\033[0;31m"", ""set -e"", ""\ud83d\udd0d Running comprehensive validation..."", ""\n    ERRORS=$((ERRORS + 1))\n    continue\n  fi\n\n  # Validate plugin.json against schema if applicable\n  if [[ "", "".name"", ""name"", "".version"", ""version"", "".description"", ""description"", "".author"", ""author"", ""keys - ["", "" ]; then\n      echo -e "", ""\n      echo "", "" | while read -r field; do\n        echo -e "", ""$json_file"", ""hooks"", ""$TARGET_DIR"", "" -eq 0 ]; then\n  echo -e "", ""\nfi\necho "", ""${YELLOW}\u26a0\ufe0f  Python3 not found - skipping frontmatter validation${NC}"", ""  Checking: $md_file"", ""$TARGET_DIR"", ""${GREEN}\u2705 No duplicate shortcuts${NC}"", "".agents"", ""$TARGET_DIR"", "" -eq 0 ]; then\n  echo -e "", ""$TARGET_DIR"", "" -eq 0 ]; then\n  echo -e "", ""\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501"", ""\necho "", ""\n    WARNINGS=$((WARNINGS + 1))\n  fi\ndone\n\necho "", "" -eq 0 ] && [ "", "" -eq 0 ]; then\n  echo -e "", "" -eq 0 ]; then\n  echo -e "", ""\n  echo "", ""\n  exit 0\nelse\n  echo -e "", ""\n  echo ""]",[],pass/fail,"[""include""]",text
2,scripts/validate-plugin.js,plugin,"["": {\n    title: "", "",\n    description: "", "": {\n    title: "", "",\n    description: "", "": {\n    title: "", "",\n    description: "", "",\n    why: "", "",\n      "", "": {\n    title: "", "",\n    description: "", "",\n    why: "", "",\n    fix: [\n      "", "",\n      "", "": {\n    title: "", "",\n    description: "", "",\n    fix: [\n      "", ""\n    ],\n    autofix: false\n  },\n\n  "", "",\n    fix: [\n      "", ""reset"", ""utf8"", ""invalid-json"", "", { filename, error: err.message });\n      return false;\n    }\n  }\n\n  validatePluginManifest(data) {\n    const required = ["", ""missing-plugin-json"", ""\u2717 plugin.json contains deprecated "", ""\u26a0 No skills directory found"", ""\u26a0 Skills directory is empty"", ""${skillName}"", ""utf8"", ""${skillName}"", ""missing-2025-schema"", "", { skill: skillName, file: skillFile });\n        return;\n      }\n\n      // Extract frontmatter\n      const frontmatterMatch = content.match(/^---\\n([\\s\\S]*?)\\n---/);\n      if (!frontmatterMatch) {\n  "", ""allowed-tools:"", ""${skillName}"", ""missing-2025-schema"", "", { skill: skillName, file: skillFile });\n      }\n\n      // Check for trigger phrases in description\n      if (!frontmatter.includes("", ""${skillName}"", ""${skillName}"", ""script-not-executable"", ""hardcoded-secret"", ""\u2713 No hardcoded secrets detected"", ""\u2717 No component directories found"", ""\ud83d\udcc4 Checking Required Files..."", "");\n    this.checkFileExists("", "");\n    this.checkFileExists("", "");\n\n    // Validate JSONs\n    this.log("", ""yellow"", ""yellow"", ""red"", ""red"", "", ""]",[],pass/fail,"[""installed"", ""installed"", ""fix"", ""BEGIN"", ""fix"", ""fix"", ""fix"", ""installed"", ""fix"", ""no-fixes"", ""verbose"", ""help"", ""installed"", ""installed"", ""fix""]",json
3,scripts/validate-skills-schema.py,skill,"[""Use when"", ""ERROR: pyyaml required. Install: pip install pyyaml"", ""description"", ""name"", ""name"", ""t error)\nDEPRECATED_FIELDS = {"", "",\n    "", ""^---\\s*\\n(.*?)\\n---\\s*\\n(.*)$"", "")\n    if fm.get("", "")\n    if fm.get("", "")\n    if fm.get("", "")\n    breakdown["", "" in body_lower:\n        feedback_score += 2\n        feedback_notes.append("", "")\n    if re.search(r"", ""name"", ""missing: {"", "")\n    if not fm_notes:\n        fm_notes.append("", "")\n    if not opt_notes:\n        opt_notes.append("", ""fatal"", ""}\n\n    errors: List[str] = []\n    warnings: List[str] = []\n\n    # Required: name\n    if "", ""[command] Missing required field: name"", ""[command] "", ""[command] "", ""description"", ""[command] Missing required field: description"", ""[command] "", ""[command] "", ""[command] "", ""[command] "", ""[command] "", ""[command] Unknown category: {fm["", ""[command] Unknown difficulty: {fm["", "": errors, "", "": warnings, "", ""fatal"", ""}\n\n    errors: List[str] = []\n    warnings: List[str] = []\n\n    # Required: name\n    if "", ""[agent] Missing required field: name"", ""[agent] "", ""description"", ""[agent] Missing required field: description"", ""[agent] "", ""[agent] "", ""[agent] Missing recommended field: capabilities"", ""[agent] "", ""[agent] "", ""[agent] "", ""[agent] "", ""[agent] Unknown expertise_level: {fm["", ""[agent] Unknown activation_priority: {fm["", ""[agent] Unknown effort level: {fm[""]","[""agent"", ""effort"", ""category"", ""tags"", ""difficulty"", ""description"", ""license"", ""compatibility"", ""activation_priority"", ""model"", ""mode"", ""allowed-tools"", ""argument-hint"", ""capabilities"", ""shortcut"", ""version"", ""hooks"", ""compatible-with"", ""author"", ""name"", ""expertise_level"", ""disable-model-invocation"", ""maxTurns"", ""disallowedTools"", ""user-invocable"", ""context""]",100-point scale,"[""--verbose""]",text
4,scripts/check-package-manager.mjs,package-manager,"[""enforce pnpm for root"", ""enforce npm for marketplace""]",[],pass/fail,"[""frozen-lockfile""]",text
5,scripts/check-performance.mjs,build-performance,"[""total bundle size"", ""largest file size"", ""build time"", ""route count""]","[""build_duration"", ""route_count"", ""dist_size"", ""file_sizes""]",pass/fail,[],text
6,scripts/check-routes.mjs,routes,"[""plugin page routes exist""]",[],pass/fail,[],text
7,scripts/check-official-links.mjs,links,"[""internal links resolve"", ""skill-to-plugin links valid""]",[],pass/fail,[],text
8,scripts/audit-plugin-agents.sh,plugin,"[""plugin.json"", ""$plugin_name: agents/ exists but no .md files"", ""$agent_file"", ""\n            agent_violations+=("", "")\n            has_violation=true\n            ((non_compliant_agents++))\n            continue\n        fi\n\n        # Extract frontmatter\n        frontmatter=$(awk "", ""$frontmatter"", ""$plugin_name/$agent_name: Description too short"", ""    \u2713 description: Present ($desc_length chars)"", ""description"", "")\n            has_violation=true\n        fi\n\n        # Check for capabilities field (RECOMMENDED)\n        if echo "", ""$plugin_name/$agent_name: Empty capabilities list"", ""    \u2139 No capabilities defined (recommended but not required)"", ""$plugin_name/$agent_name: No heading"", ""$content_after_frontmatter"", ""$plugin_name/$agent_name: Minimal content"", ""    \u2713 Content: $content_lines lines"", ""AGENT WARNINGS (${#agent_warnings[@]}):"", ""${agent_warnings[@]}"", ""\n    done\nfi\n\necho ""]",[],pass/fail,[],text
9,scripts/audit-plugin-commands.sh,plugin,"[""plugin.json"", ""$plugin_name: commands/ exists but no .md files"", ""$cmd_file"", ""\n            command_violations+=("", "")\n            has_violation=true\n            ((non_compliant_commands++))\n            continue\n        fi\n\n        # Extract frontmatter\n        frontmatter=$(awk "", ""$plugin_name/$cmd_name: Description too short"", ""    \u2713 description: Present ($desc_length chars)"", ""description"", "")\n            has_violation=true\n        fi\n\n        # Check for optional fields in frontmatter\n        if echo "", ""$plugin_name/$cmd_name: No heading"", ""$content_after_frontmatter"", ""$plugin_name/$cmd_name: Minimal content"", ""    \u2713 Content: $content_lines lines"", ""COMMAND WARNINGS (${#command_warnings[@]}):"", ""${command_warnings[@]}"", ""\n    done\nfi\n\necho ""]",[],pass/fail,[],text
10,scripts/audit-plugin-directories.sh,plugin,"[""plugin.json"", ""$plugin_json"", ""\n            structure_warnings+=("", ""$plugin_dir/commands"", ""\n            structure_warnings+=("", ""$plugin_dir/agents"", ""\n            structure_warnings+=("", ""$plugin_dir/README.md"", ""\n        structure_warnings+=("", ""STATUS: \u274c STRUCTURE VIOLATIONS"", ""STATUS: \u26a0 COMPLIANT WITH WARNINGS"", ""STRUCTURE WARNINGS (${#structure_warnings[@]}):"", ""${structure_warnings[@]}"", ""\n    done\nfi\n\necho ""]",[],pass/fail,[],text
