Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
windsurf-cascade-onboarding,Platform Engineers,Configure Cascade AI agent for new team projects,New project initialization or team onboarding,Windsurf IDE workspace settings,Cascade agent responds to prompts within 2 seconds and maintains context across 50+ file edits,Developer productivity increases 40% within first week of adoption,Enable seamless AI-assisted development from day one,true,onboarding,skills/windsurf-cascade-onboarding/SKILL.md,"Read,Write,Edit,Bash,Grep,Glob",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-workspace-setup,Development Teams,Initialize Windsurf workspace with project-specific AI rules,Starting new development projects or migrating existing codebases,Windsurf project root directory,.windsurfrules file configured with valid YAML syntax and project-specific patterns,Consistent AI behavior across all team members reduces onboarding time by 60%,Standardize AI-assisted development workflows,true,onboarding,skills/windsurf-workspace-setup/SKILL.md,"Read,Write,Edit,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-extension-pack,Individual Developers,Install and configure essential Windsurf extensions,IDE setup or productivity optimization,Windsurf extensions marketplace,All recommended extensions installed with no conflicts and verified functionality,Developer environment fully operational within 30 minutes of installation,Accelerate developer environment setup,true,onboarding,skills/windsurf-extension-pack/SKILL.md,"Read,Write,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-keyboard-shortcuts,Power Users,Configure custom keyboard shortcuts for Cascade and AI features,Productivity optimization or ergonomic customization,Windsurf keybindings configuration,All shortcuts functional with no conflicts and sub-100ms response times,Reduced context switching increases coding velocity by 25%,Optimize human-AI interaction speed,true,onboarding,skills/windsurf-keyboard-shortcuts/SKILL.md,"Read,Write,Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-theme-customization,Development Teams,Configure Windsurf themes and visual settings for accessibility,Workspace personalization or accessibility compliance,Windsurf settings and theme files,Theme renders correctly across all panels with WCAG 2.1 AA compliance,Reduced eye strain improves developer focus and reduces fatigue,Improve developer experience and accessibility,true,onboarding,skills/windsurf-theme-customization/SKILL.md,"Read,Write,Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-git-integration,DevOps Engineers,Configure Git integration with Cascade AI assistance,Repository setup or version control workflow optimization,Windsurf source control panel,Git operations complete successfully with AI-suggested commit messages and branch strategies,Code review cycles shortened by 35% through AI-assisted commits,Streamline version control workflows,true,onboarding,skills/windsurf-git-integration/SKILL.md,"Read,Write,Edit,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-cascade-context,Senior Developers,Manage Cascade context window and memory for complex projects,Large codebase navigation or multi-session development,Cascade AI conversation panel,Context maintained across 100+ file references with accurate cross-file understanding,Complex refactoring tasks completed 50% faster with maintained accuracy,Maximize AI context utilization,true,operations,skills/windsurf-cascade-context/SKILL.md,"Read,Write,Edit,Grep,Glob",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-multi-file-editing,Full Stack Developers,Execute multi-file edits with Cascade coordination,Feature implementation spanning multiple modules,Project source directories,All files modified atomically with consistent syntax and no broken references,Cross-cutting changes implemented in single AI interaction vs multiple manual edits,Enable coherent multi-file modifications,true,operations,skills/windsurf-multi-file-editing/SKILL.md,"Read,Write,Edit,Grep,Glob",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-terminal-ai,Backend Developers,Leverage AI-assisted terminal commands and debugging,Command execution or troubleshooting sessions,Windsurf integrated terminal,AI suggestions reduce command errors by 80% with context-aware completions,Debugging time reduced by 45% through intelligent command suggestions,Accelerate terminal-based workflows,true,operations,skills/windsurf-terminal-ai/SKILL.md,"Read,Bash,Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-code-completion,All Developers,Configure and optimize Supercomplete code suggestions,Active coding sessions across all file types,Windsurf editor panels,Completions appear within 150ms with 85%+ acceptance rate,Boilerplate code written 60% faster with fewer syntax errors,Maximize code completion utility,true,operations,skills/windsurf-code-completion/SKILL.md,"Read,Write,Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-flows-automation,Platform Engineers,Create and manage Windsurf Flows for repetitive tasks,Process automation or workflow standardization,Windsurf Flows configuration,Flows execute reliably with rollback capability and audit logging,Repetitive tasks automated saving 10+ hours per developer per month,Automate common development patterns,true,operations,skills/windsurf-flows-automation/SKILL.md,"Read,Write,Edit,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-debugging-ai,QA Engineers,Use Cascade for intelligent debugging and error analysis,Bug investigation or runtime error analysis,Windsurf debugger panel,AI identifies root cause in 90% of common error patterns within 3 interactions,Mean time to resolution reduced by 55% for standard bugs,Accelerate bug identification and resolution,true,operations,skills/windsurf-debugging-ai/SKILL.md,"Read,Grep,Glob,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-cicd-github-actions,DevOps Engineers,Generate and maintain GitHub Actions with Cascade assistance,CI/CD pipeline creation or maintenance,Repository .github/workflows directory,Workflows pass validation and execute successfully on first commit,Pipeline setup time reduced from days to hours with AI assistance,Automate CI/CD pipeline generation,true,cicd,skills/windsurf-cicd-github-actions/SKILL.md,"Read,Write,Edit,Bash,Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-dockerfile-generation,Container Engineers,Create optimized Dockerfiles with AI-driven best practices,Container image creation or optimization,Project root and container directories,Images build successfully with minimal size and security best practices,Container build failures reduced by 70% with optimized layer caching,Generate production-ready container configurations,true,cicd,skills/windsurf-dockerfile-generation/SKILL.md,"Read,Write,Edit,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-test-generation,QA Engineers,Generate comprehensive test suites using Cascade,Test coverage expansion or TDD implementation,Test directories across project,Generated tests achieve 80%+ code coverage with meaningful assertions,Test writing time reduced by 65% while maintaining quality standards,Accelerate test-driven development,true,cicd,skills/windsurf-test-generation/SKILL.md,"Read,Write,Edit,Bash,Grep,Glob",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-linting-config,Platform Engineers,Configure and enforce code quality with AI-assisted linting,Code quality standardization or team onboarding,Project configuration files,Linting rules enforced with zero false positives and auto-fix capability,Code review comments on style issues reduced by 90%,Standardize code quality enforcement,true,cicd,skills/windsurf-linting-config/SKILL.md,"Read,Write,Edit,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-dependency-management,Security Engineers,Analyze and update dependencies with vulnerability scanning,Dependency auditing or version upgrades,Package manager files and lock files,All dependencies updated with no breaking changes and zero high/critical CVEs,Security vulnerabilities addressed within SLA with minimal developer intervention,Maintain secure dependency chains,true,cicd,skills/windsurf-dependency-management/SKILL.md,"Read,Write,Edit,Bash,Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-release-automation,Release Engineers,Automate release processes with semantic versioning,Release preparation or changelog generation,Release configuration and changelog files,Releases tagged correctly with comprehensive changelogs and artifact generation,Release cycle time reduced by 50% with consistent quality,Streamline release engineering,true,cicd,skills/windsurf-release-automation/SKILL.md,"Read,Write,Edit,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-enterprise-sso,Security Architects,Configure enterprise SSO integration for Windsurf,Enterprise deployment or security compliance,Windsurf authentication configuration,SSO authentication works with MFA and audit logging enabled,Compliance requirements met with centralized identity management,Enable enterprise identity integration,true,enterprise,skills/windsurf-enterprise-sso/SKILL.md,"Read,Write,Edit,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-team-settings,Engineering Managers,Manage team-wide Windsurf settings and AI policies,Team standardization or policy enforcement,Team configuration files and admin portal,Settings synchronized across all team members within 5 minutes,Consistent developer experience reduces support tickets by 40%,Standardize team development environments,true,enterprise,skills/windsurf-team-settings/SKILL.md,"Read,Write,Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-audit-logging,Compliance Officers,Configure AI interaction audit logging for compliance,Security auditing or regulatory compliance,Windsurf logging configuration,All AI interactions logged with timestamps and user attribution,SOC 2 and ISO 27001 audit requirements satisfied,Enable compliance audit trails,true,enterprise,skills/windsurf-audit-logging/SKILL.md,"Read,Write,Edit,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-code-privacy,Security Engineers,Configure code privacy and data retention policies,Data governance or privacy compliance,Windsurf privacy settings,Code never transmitted without explicit consent with configurable retention,GDPR and data residency requirements met for all jurisdictions,Protect intellectual property and privacy,true,enterprise,skills/windsurf-code-privacy/SKILL.md,"Read,Write,Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-usage-analytics,Engineering Directors,Analyze team AI usage patterns and productivity metrics,Performance review or tool ROI assessment,Windsurf analytics dashboard,Accurate metrics on AI acceptance rates and time savings,Clear ROI data supports continued investment in AI tooling,Measure AI-assisted development impact,true,enterprise,skills/windsurf-usage-analytics/SKILL.md,"Read,Grep,Glob",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-license-management,IT Administrators,Manage Windsurf licenses and seat allocation,License optimization or team scaling,Windsurf admin portal,License utilization optimized with no unused seats and accurate billing,Software costs reduced by 20% through efficient license management,Optimize software licensing costs,true,enterprise,skills/windsurf-license-management/SKILL.md,"Read,Write,Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-cascade-agents,AI Engineers,Create custom Cascade agent configurations for specialized tasks,Domain-specific AI customization,Windsurf agent configuration files,Custom agents respond appropriately to domain-specific prompts with 90%+ accuracy,Specialized workflows enabled without external tool dependencies,Extend AI capabilities for specific domains,true,advanced,skills/windsurf-cascade-agents/SKILL.md,"Read,Write,Edit,Bash,Grep,Glob",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-mcp-integration,Platform Architects,Integrate MCP servers with Windsurf for extended capabilities,Tool integration or capability extension,Windsurf MCP configuration,MCP tools available in Cascade with sub-second response times,External tool capabilities accessible without context switching,Enable Model Context Protocol integrations,true,advanced,skills/windsurf-mcp-integration/SKILL.md,"Read,Write,Edit,Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-custom-prompts,Prompt Engineers,Create and manage custom prompt libraries for Cascade,Prompt optimization or team knowledge sharing,Prompt library configuration,Prompts retrieve relevant context with 95%+ precision,Team knowledge captured and reusable across all developers,Build organizational prompt knowledge base,true,advanced,skills/windsurf-custom-prompts/SKILL.md,"Read,Write,Edit,Grep,Glob",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-api-development,API Engineers,Generate API clients and documentation with Cascade,API integration or SDK generation,API specification and client directories,Generated clients pass contract tests with 100% endpoint coverage,API integration time reduced by 75% with accurate type definitions,Accelerate API development workflows,true,advanced,skills/windsurf-api-development/SKILL.md,"Read,Write,Edit,Bash,Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-refactoring-large,Staff Engineers,Execute large-scale refactoring with Cascade coordination,Technical debt reduction or architecture migration,Entire codebase across multiple modules,Refactoring maintains all tests passing with zero runtime regressions,Major refactoring completed in days instead of weeks,Enable safe large-scale code transformations,true,advanced,skills/windsurf-refactoring-large/SKILL.md,"Read,Write,Edit,Bash,Grep,Glob",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
windsurf-performance-profiling,Performance Engineers,Profile and optimize code with AI-assisted analysis,Performance optimization or bottleneck identification,Windsurf profiler and source files,Performance improvements measurable with 20%+ latency reduction,Application performance SLAs consistently met after optimization,Optimize application performance systematically,true,advanced,skills/windsurf-performance-profiling/SKILL.md,"Read,Write,Edit,Bash,Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
