observation_type,paths_json,evidence,category
inconsistent_version_range,"[""plugins/mcp/conversational-api-debugger/package.json"", ""plugins/mcp/ai-experiment-logger/package.json"", ""plugins/mcp/workflow-orchestrator/package.json"", ""plugins/mcp/project-health-auditor/package.json"", ""package.json""]","Package @types/node declared with 4 different ranges: ^20.19.27, ^22.10.2, ^22.13.10, ^25.0.6",dependency_drift
inconsistent_version_range,"[""plugins/mcp/project-health-auditor/package.json"", ""plugins/devops/sugar/mcp-server/package.json"", ""package.json"", ""packages/cli/package.json""]","Package eslint declared with 2 different ranges: ^9.39.1, ^9.39.2",dependency_drift
inconsistent_version_range,"[""plugins/mcp/conversational-api-debugger/package.json"", ""plugins/mcp/ai-experiment-logger/package.json"", ""packages/analytics-dashboard/package.json"", ""plugins/mcp/workflow-orchestrator/package.json"", ""plugins/mcp/project-health-auditor/package.json""]","Package typescript declared with 5 different ranges: ^5.3.2, ^5.4.0, ^5.5.0, ^5.6.0, ^5.7.3",dependency_drift
inconsistent_version_range,"[""plugins/mcp/conversational-api-debugger/package.json"", ""plugins/mcp/workflow-orchestrator/package.json"", ""plugins/mcp/project-health-auditor/package.json"", ""plugins/skill-enhancers/web-to-github-issue/package.json"", ""package.json""]","Package vitest declared with 4 different ranges: ^2.0.0, ^3.0.8, ^3.2.4, ^4.0.17",dependency_drift
inconsistent_version_range,"[""packages/analytics-daemon/package.json"", ""plugins/mcp/ai-experiment-logger/package.json""]","Package express declared with 2 different ranges: ^4.21.2, ^5.2.1",dependency_drift
inconsistent_version_range,"[""packages/analytics-daemon/package.json"", ""plugins/mcp/ai-experiment-logger/package.json""]","Package @types/express declared with 2 different ranges: ^5.0.0, ^5.0.6",dependency_drift
inconsistent_version_range,"[""plugins/mcp/pr-to-spec/package.json"", ""packages/cli/package.json""]","Package commander declared with 2 different ranges: ^12.1.0, ^13.1.0",dependency_drift
inconsistent_version_range,"[""plugins/mcp/conversational-api-debugger/package.json"", ""plugins/mcp/pr-to-spec/package.json"", ""packages/cli/package.json""]","Package yaml declared with 2 different ranges: ^2.7.0, ^2.8.2",dependency_drift
inconsistent_version_range,"[""plugins/mcp/project-health-auditor/package.json"", ""packages/cli/package.json""]","Package typescript-eslint declared with 2 different ranges: ^8.46.0, ^8.53.0",dependency_drift
inconsistent_version_range,"[""plugins/mcp/conversational-api-debugger/package.json"", ""plugins/mcp/ai-experiment-logger/package.json"", ""plugins/mcp/workflow-orchestrator/package.json"", ""plugins/mcp/project-health-auditor/package.json"", ""plugins/mcp/pr-to-spec/package.json""]","Package @modelcontextprotocol/sdk declared with 3 different ranges: ^1.0.0, ^1.25.2, ^1.27.1",dependency_drift
inconsistent_version_range,"[""plugins/mcp/conversational-api-debugger/package.json"", ""plugins/mcp/ai-experiment-logger/package.json"", ""plugins/mcp/workflow-orchestrator/package.json"", ""plugins/mcp/project-health-auditor/package.json"", ""plugins/mcp/pr-to-spec/package.json""]","Package zod declared with 2 different ranges: ^3.24.2, ^4.3.5",dependency_drift
inconsistent_version_range,"[""plugins/mcp/conversational-api-debugger/package.json"", ""plugins/skill-enhancers/web-to-github-issue/package.json"", ""plugins/mcp/domain-memory-agent/package.json""]","Package @vitest/coverage-v8 declared with 2 different ranges: ^3.2.4, ^4.0.17",dependency_drift
inconsistent_version_range,"[""plugins/skill-enhancers/web-to-github-issue/package.json"", ""plugins/mcp/pr-to-spec/package.json""]","Package @octokit/rest declared with 2 different ranges: ^20.0.2, ^21.1.1",dependency_drift
inconsistent_version_range,"[""plugins/skill-enhancers/web-to-github-issue/package.json"", ""tests/e2e/package.json""]","Package @vitest/ui declared with 2 different ranges: ^2.0.0, ^3.2.4",dependency_drift
