Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
appfolio-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure AppFolio SDK/CLI authentication,"appfolio install auth, install and configure appfolio sdk/cli authentication",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio install auth in under 15 minutes,true,onboarding,plugins/saas-packs/appfolio-pack/skills/appfolio-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
appfolio-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working AppFolio example,"appfolio hello world, create a minimal working appfolio example",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio hello world in under 15 minutes,true,onboarding,plugins/saas-packs/appfolio-pack/skills/appfolio-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
appfolio-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure AppFolio local development workflow,"appfolio local dev loop, configure appfolio local development workflow",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/appfolio-pack/skills/appfolio-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
appfolio-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready AppFolio SDK patterns,"appfolio sdk patterns, apply production-ready appfolio sdk patterns",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/appfolio-pack/skills/appfolio-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
appfolio-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute AppFolio primary workflow,"appfolio primary workflow, execute appfolio primary workflow",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/appfolio-pack/skills/appfolio-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
appfolio-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement AppFolio core feature integration,"appfolio core feature, implement appfolio core feature integration",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio core feature in under 15 minutes,true,onboarding,plugins/saas-packs/appfolio-pack/skills/appfolio-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
appfolio-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix AppFolio common errors,"appfolio common errors, diagnose and fix appfolio common errors",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio common errors in under 15 minutes,true,operations,plugins/saas-packs/appfolio-pack/skills/appfolio-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
appfolio-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect AppFolio debug evidence for support,"appfolio debug bundle, collect appfolio debug evidence for support",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio debug bundle in under 15 minutes,true,operations,plugins/saas-packs/appfolio-pack/skills/appfolio-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
appfolio-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement AppFolio rate limiting and backoff,"appfolio rate limits, implement appfolio rate limiting and backoff",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio rate limits in under 15 minutes,true,operations,plugins/saas-packs/appfolio-pack/skills/appfolio-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
appfolio-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply AppFolio security best practices,"appfolio security basics, apply appfolio security best practices",Claude Code skill; AppFolio SDK; local/cloud development,Working AppFolio integration; Tests passing; Documentation updated,Faster AppFolio integration; Reduced errors; Team productivity,Complete AppFolio security basics in under 15 minutes,true,operations,plugins/saas-packs/appfolio-pack/skills/appfolio-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
