Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
lokalise-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Lokalise SDK/CLI authentication,"lokalise install auth, install and configure lokalise sdk/cli authentication",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise install auth in under 15 minutes,true,onboarding,plugins/saas-packs/lokalise-pack/skills/lokalise-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lokalise-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Lokalise example,"lokalise hello world, create a minimal working lokalise example",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise hello world in under 15 minutes,true,onboarding,plugins/saas-packs/lokalise-pack/skills/lokalise-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lokalise-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Lokalise local development workflow,"lokalise local dev loop, configure lokalise local development workflow",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/lokalise-pack/skills/lokalise-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lokalise-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Lokalise SDK patterns,"lokalise sdk patterns, apply production-ready lokalise sdk patterns",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/lokalise-pack/skills/lokalise-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lokalise-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Lokalise primary workflow,"lokalise primary workflow, execute lokalise primary workflow",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/lokalise-pack/skills/lokalise-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lokalise-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Lokalise core feature integration,"lokalise core feature, implement lokalise core feature integration",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise core feature in under 15 minutes,true,onboarding,plugins/saas-packs/lokalise-pack/skills/lokalise-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lokalise-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Lokalise common errors,"lokalise common errors, diagnose and fix lokalise common errors",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise common errors in under 15 minutes,true,operations,plugins/saas-packs/lokalise-pack/skills/lokalise-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lokalise-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Lokalise debug evidence for support,"lokalise debug bundle, collect lokalise debug evidence for support",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise debug bundle in under 15 minutes,true,operations,plugins/saas-packs/lokalise-pack/skills/lokalise-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lokalise-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Lokalise rate limiting and backoff,"lokalise rate limits, implement lokalise rate limiting and backoff",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise rate limits in under 15 minutes,true,operations,plugins/saas-packs/lokalise-pack/skills/lokalise-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lokalise-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Lokalise security best practices,"lokalise security basics, apply lokalise security best practices",Claude Code skill; Lokalise SDK; local/cloud development,Working Lokalise integration; Tests passing; Documentation updated,Faster Lokalise integration; Reduced errors; Team productivity,Complete Lokalise security basics in under 15 minutes,true,operations,plugins/saas-packs/lokalise-pack/skills/lokalise-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
