id,skill_path,field_name,raw_value
1,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/SKILL.md,name,validating-ai-ethics-and-fairness
2,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/SKILL.md,description,"Validate AI/ML models and datasets for bias, fairness, and ethical concerns.
Use when auditing AI systems for ethical compliance, fairness assessment, or bias detection.
Trigger with phrases like ""evaluate model fairness"", ""check for bias"", or ""validate AI ethics"".
"
3,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(python:*)"
4,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/SKILL.md,version,1.0.0
5,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
6,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/SKILL.md,license,MIT
7,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/SKILL.md,compatible-with,"claude-code, codex, openclaw"
8,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/SKILL.md,name,orchestrating-multi-agent-systems
9,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/SKILL.md,description,"Execute orchestrate multi-agent systems with handoffs, routing, and workflows across AI providers.
Use when building complex AI systems requiring agent collaboration, task delegation, or workflow coordination.
Trigger with phrases like ""create multi-agent system"", ""orchestrate agents"", or ""coordinate agent workflows"".
"
10,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(npm:*)"
11,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/SKILL.md,version,1.0.0
12,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
13,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/SKILL.md,license,MIT
14,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/SKILL.md,compatible-with,"claude-code, codex, openclaw"
15,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/SKILL.md,name,detecting-data-anomalies
16,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/SKILL.md,description,"Process identify anomalies and outliers in datasets using machine learning algorithms.
Use when analyzing data for unusual patterns, outliers, or unexpected deviations from normal behavior.
Trigger with phrases like ""detect anomalies"", ""find outliers"", or ""identify unusual patterns"".
"
17,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/SKILL.md,allowed-tools,"Read, Bash(python:*), Grep, Glob"
18,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/SKILL.md,version,1.0.0
19,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
20,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/SKILL.md,license,MIT
21,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/SKILL.md,compatible-with,"claude-code, codex, openclaw"
22,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/SKILL.md,name,building-automl-pipelines
23,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/SKILL.md,description,"Build automated machine learning pipelines with feature engineering, model selection, and hyperparameter tuning.
Use when automating ML workflows from data preparation through model deployment.
Trigger with phrases like ""build automl pipeline"", ""automate ml workflow"", or ""create automated training pipeline"".
"
24,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(python:*)"
25,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/SKILL.md,version,1.0.0
26,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
27,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/SKILL.md,license,MIT
28,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/SKILL.md,compatible-with,"claude-code, codex, openclaw"
29,plugins/ai-ml/classification-model-builder/skills/building-classification-models/SKILL.md,name,building-classification-models
30,plugins/ai-ml/classification-model-builder/skills/building-classification-models/SKILL.md,description,"Build and evaluate classification models for supervised learning tasks with labeled data. Use when requesting ""build a classifier"", ""create classification model"", or ""train classifier"". Trigger with relevant phrases based on skill purpose.
"
31,plugins/ai-ml/classification-model-builder/skills/building-classification-models/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
32,plugins/ai-ml/classification-model-builder/skills/building-classification-models/SKILL.md,version,1.0.0
33,plugins/ai-ml/classification-model-builder/skills/building-classification-models/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
34,plugins/ai-ml/classification-model-builder/skills/building-classification-models/SKILL.md,license,MIT
35,plugins/ai-ml/classification-model-builder/skills/building-classification-models/SKILL.md,compatible-with,"claude-code, codex, openclaw"
36,plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms/SKILL.md,name,running-clustering-algorithms
37,plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms/SKILL.md,description,"Analyze datasets by running clustering algorithms (K-means, DBSCAN, hierarchical) to identify data groups. Use when requesting ""run clustering"", ""cluster analysis"", or ""group data points"". Trigger with relevant phrases based on skill purpose.
"
38,plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
39,plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms/SKILL.md,version,1.0.0
40,plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
41,plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms/SKILL.md,license,MIT
