Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
documenso-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Documenso SDK/CLI authentication,"documenso install auth, install and configure documenso sdk/cli authentication",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso install auth in under 15 minutes,true,onboarding,plugins/saas-packs/documenso-pack/skills/documenso-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
documenso-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Documenso example,"documenso hello world, create a minimal working documenso example",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso hello world in under 15 minutes,true,onboarding,plugins/saas-packs/documenso-pack/skills/documenso-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
documenso-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Documenso local development workflow,"documenso local dev loop, configure documenso local development workflow",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/documenso-pack/skills/documenso-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
documenso-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Documenso SDK patterns,"documenso sdk patterns, apply production-ready documenso sdk patterns",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/documenso-pack/skills/documenso-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
documenso-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Documenso primary workflow,"documenso primary workflow, execute documenso primary workflow",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/documenso-pack/skills/documenso-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
documenso-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Documenso core feature integration,"documenso core feature, implement documenso core feature integration",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso core feature in under 15 minutes,true,onboarding,plugins/saas-packs/documenso-pack/skills/documenso-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
documenso-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Documenso common errors,"documenso common errors, diagnose and fix documenso common errors",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso common errors in under 15 minutes,true,operations,plugins/saas-packs/documenso-pack/skills/documenso-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
documenso-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Documenso debug evidence for support,"documenso debug bundle, collect documenso debug evidence for support",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso debug bundle in under 15 minutes,true,operations,plugins/saas-packs/documenso-pack/skills/documenso-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
documenso-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Documenso rate limiting and backoff,"documenso rate limits, implement documenso rate limiting and backoff",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso rate limits in under 15 minutes,true,operations,plugins/saas-packs/documenso-pack/skills/documenso-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
documenso-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Documenso security best practices,"documenso security basics, apply documenso security best practices",Claude Code skill; Documenso SDK; local/cloud development,Working Documenso integration; Tests passing; Documentation updated,Faster Documenso integration; Reduced errors; Team productivity,Complete Documenso security basics in under 15 minutes,true,operations,plugins/saas-packs/documenso-pack/skills/documenso-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
