Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
remofirst-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure RemoFirst SDK/CLI authentication,"remofirst install auth, install and configure remofirst sdk/cli authentication",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst install auth in under 15 minutes,true,onboarding,plugins/saas-packs/remofirst-pack/skills/remofirst-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working RemoFirst example,"remofirst hello world, create a minimal working remofirst example",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst hello world in under 15 minutes,true,onboarding,plugins/saas-packs/remofirst-pack/skills/remofirst-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure RemoFirst local development workflow,"remofirst local dev loop, configure remofirst local development workflow",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/remofirst-pack/skills/remofirst-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready RemoFirst SDK patterns,"remofirst sdk patterns, apply production-ready remofirst sdk patterns",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/remofirst-pack/skills/remofirst-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute RemoFirst primary workflow,"remofirst primary workflow, execute remofirst primary workflow",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/remofirst-pack/skills/remofirst-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement RemoFirst core feature integration,"remofirst core feature, implement remofirst core feature integration",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst core feature in under 15 minutes,true,onboarding,plugins/saas-packs/remofirst-pack/skills/remofirst-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix RemoFirst common errors,"remofirst common errors, diagnose and fix remofirst common errors",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst common errors in under 15 minutes,true,operations,plugins/saas-packs/remofirst-pack/skills/remofirst-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect RemoFirst debug evidence for support,"remofirst debug bundle, collect remofirst debug evidence for support",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst debug bundle in under 15 minutes,true,operations,plugins/saas-packs/remofirst-pack/skills/remofirst-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement RemoFirst rate limiting and backoff,"remofirst rate limits, implement remofirst rate limiting and backoff",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst rate limits in under 15 minutes,true,operations,plugins/saas-packs/remofirst-pack/skills/remofirst-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply RemoFirst security best practices,"remofirst security basics, apply remofirst security best practices",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst security basics in under 15 minutes,true,operations,plugins/saas-packs/remofirst-pack/skills/remofirst-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute RemoFirst production deployment checklist,"remofirst prod checklist, execute remofirst production deployment checklist",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst prod checklist in under 15 minutes,true,operations,plugins/saas-packs/remofirst-pack/skills/remofirst-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
remofirst-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute RemoFirst SDK upgrades,"remofirst upgrade migration, plan and execute remofirst sdk upgrades",Claude Code skill; RemoFirst SDK; local/cloud development,Working RemoFirst integration; Tests passing; Documentation updated,Faster RemoFirst integration; Reduced errors; Team productivity,Complete RemoFirst upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/remofirst-pack/skills/remofirst-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
