Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
linktree-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Linktree SDK/CLI authentication,"linktree install auth, install and configure linktree sdk/cli authentication",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree install auth in under 15 minutes,true,onboarding,plugins/saas-packs/linktree-pack/skills/linktree-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Linktree example,"linktree hello world, create a minimal working linktree example",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree hello world in under 15 minutes,true,onboarding,plugins/saas-packs/linktree-pack/skills/linktree-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Linktree local development workflow,"linktree local dev loop, configure linktree local development workflow",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/linktree-pack/skills/linktree-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Linktree SDK patterns,"linktree sdk patterns, apply production-ready linktree sdk patterns",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/linktree-pack/skills/linktree-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Linktree primary workflow,"linktree primary workflow, execute linktree primary workflow",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/linktree-pack/skills/linktree-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Linktree core feature integration,"linktree core feature, implement linktree core feature integration",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree core feature in under 15 minutes,true,onboarding,plugins/saas-packs/linktree-pack/skills/linktree-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Linktree common errors,"linktree common errors, diagnose and fix linktree common errors",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree common errors in under 15 minutes,true,operations,plugins/saas-packs/linktree-pack/skills/linktree-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Linktree debug evidence for support,"linktree debug bundle, collect linktree debug evidence for support",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree debug bundle in under 15 minutes,true,operations,plugins/saas-packs/linktree-pack/skills/linktree-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Linktree rate limiting and backoff,"linktree rate limits, implement linktree rate limiting and backoff",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree rate limits in under 15 minutes,true,operations,plugins/saas-packs/linktree-pack/skills/linktree-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Linktree security best practices,"linktree security basics, apply linktree security best practices",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree security basics in under 15 minutes,true,operations,plugins/saas-packs/linktree-pack/skills/linktree-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linktree-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Linktree production deployment checklist,"linktree prod checklist, execute linktree production deployment checklist",Claude Code skill; Linktree SDK; local/cloud development,Working Linktree integration; Tests passing; Documentation updated,Faster Linktree integration; Reduced errors; Team productivity,Complete Linktree prod checklist in under 15 minutes,true,operations,plugins/saas-packs/linktree-pack/skills/linktree-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
