Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
runway-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Runway SDK/CLI authentication,"runway install auth, install and configure runway sdk/cli authentication",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway install auth in under 15 minutes,true,onboarding,plugins/saas-packs/runway-pack/skills/runway-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
runway-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Runway example,"runway hello world, create a minimal working runway example",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway hello world in under 15 minutes,true,onboarding,plugins/saas-packs/runway-pack/skills/runway-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
runway-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Runway local development workflow,"runway local dev loop, configure runway local development workflow",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/runway-pack/skills/runway-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
runway-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Runway SDK patterns,"runway sdk patterns, apply production-ready runway sdk patterns",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/runway-pack/skills/runway-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
runway-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Runway primary workflow,"runway primary workflow, execute runway primary workflow",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/runway-pack/skills/runway-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
runway-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Runway core feature integration,"runway core feature, implement runway core feature integration",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway core feature in under 15 minutes,true,onboarding,plugins/saas-packs/runway-pack/skills/runway-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
runway-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Runway common errors,"runway common errors, diagnose and fix runway common errors",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway common errors in under 15 minutes,true,operations,plugins/saas-packs/runway-pack/skills/runway-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
runway-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Runway debug evidence for support,"runway debug bundle, collect runway debug evidence for support",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway debug bundle in under 15 minutes,true,operations,plugins/saas-packs/runway-pack/skills/runway-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
runway-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Runway rate limiting and backoff,"runway rate limits, implement runway rate limiting and backoff",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway rate limits in under 15 minutes,true,operations,plugins/saas-packs/runway-pack/skills/runway-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
runway-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Runway security best practices,"runway security basics, apply runway security best practices",Claude Code skill; Runway SDK; local/cloud development,Working Runway integration; Tests passing; Documentation updated,Faster Runway integration; Reduced errors; Team productivity,Complete Runway security basics in under 15 minutes,true,operations,plugins/saas-packs/runway-pack/skills/runway-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
