Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
elevenlabs-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure ElevenLabs SDK/CLI authentication,"elevenlabs install auth, install and configure elevenlabs sdk/cli authentication",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs install auth in under 15 minutes,true,onboarding,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working ElevenLabs example,"elevenlabs hello world, create a minimal working elevenlabs example",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs hello world in under 15 minutes,true,onboarding,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure ElevenLabs local development workflow,"elevenlabs local dev loop, configure elevenlabs local development workflow",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready ElevenLabs SDK patterns,"elevenlabs sdk patterns, apply production-ready elevenlabs sdk patterns",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute ElevenLabs primary workflow,"elevenlabs primary workflow, execute elevenlabs primary workflow",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement ElevenLabs core feature integration,"elevenlabs core feature, implement elevenlabs core feature integration",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs core feature in under 15 minutes,true,onboarding,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix ElevenLabs common errors,"elevenlabs common errors, diagnose and fix elevenlabs common errors",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs common errors in under 15 minutes,true,operations,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect ElevenLabs debug evidence for support,"elevenlabs debug bundle, collect elevenlabs debug evidence for support",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs debug bundle in under 15 minutes,true,operations,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement ElevenLabs rate limiting and backoff,"elevenlabs rate limits, implement elevenlabs rate limiting and backoff",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs rate limits in under 15 minutes,true,operations,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply ElevenLabs security best practices,"elevenlabs security basics, apply elevenlabs security best practices",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs security basics in under 15 minutes,true,operations,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute ElevenLabs production deployment checklist,"elevenlabs prod checklist, execute elevenlabs production deployment checklist",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs prod checklist in under 15 minutes,true,operations,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute ElevenLabs SDK upgrades,"elevenlabs upgrade migration, plan and execute elevenlabs sdk upgrades",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
elevenlabs-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure ElevenLabs CI/CD integration,"elevenlabs ci integration, configure elevenlabs ci/cd integration",Claude Code skill; ElevenLabs SDK; local/cloud development,Working ElevenLabs integration; Tests passing; Documentation updated,Faster ElevenLabs integration; Reduced errors; Team productivity,Complete ElevenLabs ci integration in under 15 minutes,true,cicd,plugins/saas-packs/elevenlabs-pack/skills/elevenlabs-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
