Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
langchain-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure LangChain SDK/CLI authentication,"langchain install auth, install and configure langchain sdk/cli authentication",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain install auth in under 15 minutes,true,onboarding,plugins/saas-packs/langchain-pack/skills/langchain-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langchain-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working LangChain example,"langchain hello world, create a minimal working langchain example",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain hello world in under 15 minutes,true,onboarding,plugins/saas-packs/langchain-pack/skills/langchain-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langchain-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure LangChain local development workflow,"langchain local dev loop, configure langchain local development workflow",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/langchain-pack/skills/langchain-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langchain-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready LangChain SDK patterns,"langchain sdk patterns, apply production-ready langchain sdk patterns",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/langchain-pack/skills/langchain-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langchain-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute LangChain primary workflow,"langchain primary workflow, execute langchain primary workflow",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/langchain-pack/skills/langchain-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langchain-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement LangChain core feature integration,"langchain core feature, implement langchain core feature integration",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain core feature in under 15 minutes,true,onboarding,plugins/saas-packs/langchain-pack/skills/langchain-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langchain-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix LangChain common errors,"langchain common errors, diagnose and fix langchain common errors",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain common errors in under 15 minutes,true,operations,plugins/saas-packs/langchain-pack/skills/langchain-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langchain-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect LangChain debug evidence for support,"langchain debug bundle, collect langchain debug evidence for support",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain debug bundle in under 15 minutes,true,operations,plugins/saas-packs/langchain-pack/skills/langchain-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langchain-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement LangChain rate limiting and backoff,"langchain rate limits, implement langchain rate limiting and backoff",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain rate limits in under 15 minutes,true,operations,plugins/saas-packs/langchain-pack/skills/langchain-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langchain-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply LangChain security best practices,"langchain security basics, apply langchain security best practices",Claude Code skill; LangChain SDK; local/cloud development,Working LangChain integration; Tests passing; Documentation updated,Faster LangChain integration; Reduced errors; Team productivity,Complete LangChain security basics in under 15 minutes,true,operations,plugins/saas-packs/langchain-pack/skills/langchain-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
