id,keys,count,key_count
1,"allowed-tools,author,compatible-with,description,license,name,version",1356,7
2,"allowed-tools,author,compatible-with,description,license,name,tags,version",42,8
3,"allowed-tools,argument-hint,author,description,license,name,version",12,7
4,"description,name",5,2
5,"allowed-tools,argument-hint,author,compatible-with,description,effort,license,name,version",3,9
6,"allowed-tools,argument-hint,author,description,license,name,user-invocable,version",3,8
7,"allowed-tools,author,compatible-with,description,effort,license,name,version",2,8
8,"allowed-tools,argument-hint,author,compatible-with,description,effort,license,model,name,tags,version",1,11
9,"allowed-tools,author,description,license,name,version",1,6
10,"allowed-tools,author,compatible-with,description,license,model,name,tags,version",1,9
