Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
groq-install-auth,Developers new to Groq,Set up Groq SDK and configure API key authentication,Starting a new project or onboarding to Groq,Local development environment,SDK installed and API key validated with successful test call,Developer can make first API call within 10 minutes,Enable rapid Groq adoption with secure authentication,false,Onboarding,groq-install-auth/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-hello-world,First-time Groq users,Create minimal working Groq inference call,Initial exploration of Groq capabilities,Development workstation,Working code that returns Llama/Mixtral response in under 100ms,Demonstrate Groq value proposition with ultra-low latency,Validate Groq integration with minimal code,false,Onboarding,groq-hello-world/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-local-dev-loop,Developers building Groq applications,Configure efficient local development workflow with hot reload,During active development phase,Local IDE and terminal,Sub-second feedback loop with automatic request retries,Maximize developer productivity during Groq integration,Establish fast iteration cycle for LLM development,false,Onboarding,groq-local-dev-loop/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-common-errors,Developers troubleshooting Groq,Diagnose and resolve frequent Groq API errors,When API calls fail or return unexpected results,Any Groq integration environment,All common errors mapped to solutions with code fixes,Reduce support tickets and debugging time by 80%,Create self-service error resolution capability,false,Onboarding,groq-common-errors/SKILL.md,"Read, Write, Edit, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-known-pitfalls,Developers scaling Groq usage,Avoid common mistakes when building with Groq,Before major feature development or production push,Code review and architecture planning,Checklist of 15+ pitfalls with prevention strategies,Prevent costly refactoring and production incidents,Proactively avoid known failure modes,false,Onboarding,groq-known-pitfalls/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-data-handling,Backend developers,Handle request/response data efficiently with Groq,Processing LLM inputs and outputs,Application data layer,Proper JSON parsing and token counting implemented,Data processing overhead under 5ms per request,Optimize data flow for ultra-low latency inference,true,Operations,groq-data-handling/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-security-basics,Security-conscious developers,Implement API key security and input sanitization,Setting up production-ready Groq integration,Secrets management and input validation layer,Keys rotated every 90 days with no hardcoded secrets,Zero security incidents from Groq integration,Establish security baseline for LLM API usage,true,Operations,groq-security-basics/SKILL.md,"Read, Write, Edit, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-rate-limits,High-throughput application developers,Implement rate limiting and quota management,Building applications with variable traffic patterns,API client layer and queue systems,Graceful degradation at 95% quota with zero dropped requests,Maintain SLA during traffic spikes without overage charges,Handle Groq rate limits without user impact,true,Operations,groq-rate-limits/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-sdk-patterns,SDK-focused developers,Apply idiomatic SDK patterns for Python/TypeScript/Go,Building maintainable Groq applications,Application codebase,Type-safe API calls with proper error handling in all SDKs,Reduce code maintenance burden by 50%,Establish SDK best practices across languages,true,Operations,groq-sdk-patterns/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-streaming-responses,Real-time application developers,Implement streaming responses for chat interfaces,Building interactive LLM applications,Frontend and backend streaming infrastructure,First token in under 50ms with smooth chunk delivery,User-perceived latency under 200ms for first response,Deliver real-time LLM experience with streaming,true,Operations,groq-streaming-responses/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-ci-integration,DevOps engineers,Add Groq tests to CI/CD pipeline,Establishing automated testing for LLM features,GitHub Actions or GitLab CI,All Groq calls mocked in CI with integration test suite,Zero LLM-related regressions in production,Automate Groq integration quality gates,true,CI/CD,groq-ci-integration/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-multi-env-setup,Platform engineers,Configure Groq for dev/staging/production environments,Setting up multi-environment infrastructure,Environment configuration and secrets management,Environment-specific configs with proper key isolation,Consistent behavior across all environments,Enable safe promotion through environments,true,CI/CD,groq-multi-env-setup/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-deploy-pipeline,Release engineers,Create deployment pipeline for Groq-powered features,Automating production releases,CI/CD platform and deployment infrastructure,Blue-green deployment with automatic rollback on latency spike,Zero-downtime deployments with sub-minute rollback,Achieve reliable Groq feature deployments,true,CI/CD,groq-deploy-pipeline/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-prod-checklist,Technical leads,Validate production readiness for Groq integration,Before production launch or major release,Production environment and monitoring systems,All 20+ checklist items verified with evidence,Launch confidence score above 95%,Ensure production-grade Groq deployment,true,CI/CD,groq-prod-checklist/SKILL.md,"Read, Write, Edit, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-upgrade-migration,Maintenance engineers,Upgrade Groq SDK and migrate to new API versions,SDK updates or API deprecation notices,Existing Groq integration codebase,Zero breaking changes with full test coverage for migration,Upgrade completed in under 2 hours with no downtime,Maintain current SDK with minimal disruption,true,CI/CD,groq-upgrade-migration/SKILL.md,"Read, Write, Edit, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-observability,SRE and platform engineers,Implement comprehensive monitoring for Groq usage,Building production observability stack,Monitoring and alerting infrastructure,Dashboards for latency/throughput/errors with P99 tracking,MTTR under 5 minutes for Groq-related incidents,Achieve full visibility into Groq performance,true,Enterprise,groq-observability/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-cost-tuning,FinOps and engineering leads,Optimize Groq costs through model selection and token management,Managing LLM inference costs at scale,Cost monitoring and application optimization,30% cost reduction through model/prompt optimization,Monthly Groq spend within budget with clear unit economics,Minimize inference costs while maintaining quality,true,Enterprise,groq-cost-tuning/SKILL.md,"Read, Write, Edit, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-load-scale,Performance engineers,Scale Groq integration for high-throughput workloads,Preparing for traffic growth or load testing,Load balancing and scaling infrastructure,Handle 10x traffic with sub-100ms P99 latency,Scale to 1M+ requests/day without architecture changes,Achieve horizontal scalability for Groq workloads,true,Enterprise,groq-load-scale/SKILL.md,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-model-selection,ML engineers and architects,Choose optimal Groq model for specific use cases,Designing LLM-powered features,Architecture planning and model evaluation,Model selection matrix with latency/quality/cost tradeoffs,Right-sized model for each use case within budget,Select best Groq model per use case,true,Enterprise,groq-model-selection/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-reference-architecture,Solutions architects,Design production-grade Groq integration architecture,Planning enterprise LLM infrastructure,Architecture documentation and design,Reference architecture with all components documented,Architecture approved for production with security sign-off,Establish enterprise Groq integration pattern,true,Enterprise,groq-reference-architecture/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
groq-advanced-troubleshooting,Senior engineers and SREs,Debug complex Groq integration issues,Investigating production incidents or edge cases,Production debugging and log analysis,Root cause identified with permanent fix for complex issues,Incident resolution time under 30 minutes,Resolve difficult Groq issues systematically,true,Advanced,groq-advanced-troubleshooting/SKILL.md,"Read, Write, Edit, Grep, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
