Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
supabase-install-auth,"Backend developers, DevOps engineers, Full-stack developers","Install and configure Supabase SDK/CLI authentication including API key setup and environment configuration","install supabase, setup supabase, supabase auth, configure supabase API key","Claude Code skill; Supabase SDK; local/cloud development","Installed SDK package; Environment variable or .env file with API key; Successful connection verification","Faster onboarding; Standardized Supabase configuration across team; Reduced setup errors","Complete Supabase SDK installation and authentication in under 10 minutes",true,onboarding,plugins/saas-packs/supabase-pack/skills/supabase-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
supabase-hello-world,"New developers, Learning developers, Full-stack developers","Create a minimal working Supabase example demonstrating core functionality","supabase hello world, supabase example, supabase quick start, simple supabase code","Claude Code skill; Supabase SDK; local/cloud development","Working code file with Supabase client initialization; Successful API response confirming connection","Quick validation of Supabase setup; Learning foundation for new team members","Create working Supabase example in under 5 minutes",true,onboarding,plugins/saas-packs/supabase-pack/skills/supabase-hello-world/,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
supabase-local-dev-loop,"Backend developers, Full-stack developers","Configure Supabase local development with hot reload and testing workflows","supabase dev setup, supabase local development, supabase dev environment, develop with supabase","Claude Code skill; Supabase SDK; local/cloud development","Working development environment with hot reload; Configured test suite with mocking; Environment variable management","Faster development iteration; Standardized dev workflow across team; Reduced debugging time","Establish fast local development cycle with hot reload",true,onboarding,plugins/saas-packs/supabase-pack/skills/supabase-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pnpm:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
supabase-sdk-patterns,"Backend developers, Full-stack developers, Tech leads","Apply production-ready Supabase SDK patterns for TypeScript and Python including singleton, error handling, and retry logic","supabase SDK patterns, supabase best practices, supabase code patterns, idiomatic supabase","Claude Code skill; Supabase SDK; local/cloud development","Type-safe client singleton; Robust error handling with structured logging; Automatic retry with exponential backoff","Code quality improvement; Reduced production errors; Team coding standards","Implement production-ready SDK patterns",true,onboarding,plugins/saas-packs/supabase-pack/skills/supabase-sdk-patterns/,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
supabase-schema-from-requirements,"Backend developers, Database architects, Full-stack developers","Execute Supabase primary workflow: generate database schema from natural language requirements","supabase schema from requirements, generate database schema with supabase","Claude Code skill; Supabase SDK; local/cloud development","Completed schema generation; Expected results from Supabase API; Migration files created","Faster project initialization; Accurate schema from business requirements; Reduced rework","Generate production-ready schema from requirements",true,onboarding,plugins/saas-packs/supabase-pack/skills/supabase-schema-from-requirements/,"Read, Write, Edit, Bash(npm:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
supabase-auth-storage-realtime-core,"Backend developers, Full-stack developers","Implement the core Supabase trifecta: authentication, file storage, and real-time subscriptions","supabase auth storage realtime, implement full stack features with supabase","Claude Code skill; Supabase SDK; local/cloud development","Completed Auth + Storage + Realtime execution; Results from Supabase API; Success confirmation","Full-stack Supabase integration; Modern real-time application capabilities","Implement complete auth, storage, and realtime features",true,onboarding,plugins/saas-packs/supabase-pack/skills/supabase-auth-storage-realtime-core/,"Read, Write, Edit, Bash(npm:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
supabase-common-errors,"Backend developers, DevOps engineers, Support engineers","Diagnose and fix Supabase common errors and exceptions including JWT, RLS, and connection issues","supabase error, fix supabase, supabase not working, debug supabase","Claude Code skill; Supabase SDK; local/cloud development","Identified error cause; Applied fix; Verified resolution","Faster incident resolution; Reduced downtime; Self-service troubleshooting","Resolve common Supabase errors in under 15 minutes",true,operations,plugins/saas-packs/supabase-pack/skills/supabase-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
supabase-debug-bundle,"Backend developers, DevOps engineers, Support engineers","Collect Supabase debug evidence for support tickets and troubleshooting","supabase debug, supabase support bundle, collect supabase logs, supabase diagnostic","Claude Code skill; Supabase SDK; local/cloud development","Debug bundle archive with summary, logs, and redacted config; Network test results","Faster support ticket resolution; Complete evidence for root cause analysis","Create comprehensive debug bundle for support escalation",true,operations,plugins/saas-packs/supabase-pack/skills/supabase-debug-bundle/,"Read, Bash(grep:*), Bash(curl:*), Bash(tar:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
supabase-rate-limits,"Backend developers, Full-stack developers","Implement Supabase rate limiting, backoff, and idempotency patterns","supabase rate limit, supabase throttling, supabase 429, supabase retry, supabase backoff","Claude Code skill; Supabase SDK; local/cloud development","Reliable API calls with automatic retry; Idempotent requests preventing duplicates; Rate limit headers properly handled","Improved application reliability; Reduced failed requests; Better user experience","Implement robust rate limit handling with exponential backoff",true,operations,plugins/saas-packs/supabase-pack/skills/supabase-rate-limits/,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
supabase-security-basics,"Security engineers, Backend developers, DevOps engineers","Apply Supabase security best practices for secrets and access control","supabase security, supabase secrets, secure supabase, supabase API key security","Claude Code skill; Supabase SDK; local/cloud development","Secure API key storage; Environment-specific access controls; Audit logging enabled","Reduced security vulnerabilities; Compliance with security policies; Protected sensitive data","Implement security best practices for Supabase integration",true,operations,plugins/saas-packs/supabase-pack/skills/supabase-security-basics/,"Read, Write, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
